fold,feature,gain,split
1,w180_orders,3204819.7773418427,67
1,to_ord_sum_all,2321354.0958156586,128
1,to_ord_sum_120d,1391684.9103679657,60
1,w365_orders,420872.4878501892,13
1,w180_orders_per_day,300672.94089126587,6
1,w180_days_buy,288157.88115882874,24
1,recency_buy_over_buydays,254265.63242149353,181
1,w90_orders,218939.8643875122,52
1,w90_days_buy,181304.4828300476,19
1,lifetime_gmv_per_day,167631.18499183655,194
1,all_days_buy,149058.4654750824,42
1,has_search_to_ord_sum_60d,142837.31309890747,29
1,gmv_sum_all,136631.66181755066,126
1,w180_lgmv_std,131222.88485336304,117
1,has_search_to_ord_sum_120d,119149.94953918457,19
1,to_ord_sum_60d,112624.40206336975,42
1,w90_gmv,112372.88843822479,95
1,b1_expected_next_order_overdue_ratio,108930.96024990082,102
1,gmv_sum_60d,92221.6544265747,100
1,w365_orders_per_day,71878.26443481445,4
1,b1_order_cycle_phase,62597.13217353821,128
1,gmv_sum_30d,57974.36665725708,92
1,searches_sum_7d,57760.258675575256,243
1,b1_regular_buyer_overdue_score,56957.603437423706,41
1,searches_sum_14d,48907.660610198975,205
1,b1_multi_order_day_count_all,43766.80917739868,51
1,w365_gmv_per_day,42292.45709991455,19
1,w90_orders_per_day,35488.23714065552,9
1,b1_fresh_buyer_high_intent_score,34651.57652282715,70
1,search_to_ord_sum_all,34343.76553916931,54
1,buyday_rate_all,32481.19757461548,189
1,w365_days_buy,26598.983097076416,6
1,b1_search_intent_score,26149.543140411377,153
1,b1_cart_pressure_30d,24754.653816223145,142
1,b1_active_gap_last_over_mean,22754.035420417786,285
1,to_ord_sum_30d,21276.972455978394,35
1,gmv_sum_120d,21172.99415588379,63
1,b1_weekend_gmv_all,20142.919914245605,145
1,to_ord_mean_all,20111.443788528442,113
1,w180_gmv,18817.100191116333,93
1,w90_gmv_per_day,18317.040534973145,18
1,w90_lgmv_std,17822.21978855133,143
1,gmv_search_sum_all,17673.154512405396,78
1,first_buy_age_days,15498.238576889038,201
1,search_to_ord_sum_60d,15471.261310577393,34
1,b1_order_gmv_p25_all,15450.582030296326,177
1,gmv_mean_all,15334.160991668701,130
1,tenure_days,14588.305499076843,239
1,b1_order_gmv_top3_share,14068.03844833374,118
1,w180_gmv_per_day,13581.689622879028,12
1,b1_order_gap_last_over_median,13106.91598033905,163
1,active_days_7d,12904.0927734375,79
1,b1_weekend_active_share_all,12108.847668647766,240
1,b1_order_gap_std_all,11761.955638885498,132
1,active_days_14d,11403.23391342163,93
1,recency_to_ord_days,11219.77219581604,36
1,b1_order_gmv_median_all,11180.620927810669,139
1,recency_buy_over_tenure,11132.897322654724,82
1,b1_expected_next_order_overdue_days,11059.708084106445,102
1,gmv_sum_14d,10744.685453414917,44
1,search_sum_14d,9686.165392875671,49
1,gmv_search_sum_30d,9638.295421600342,64
1,has_search_to_cart_sum_14d,9628.24146270752,28
1,post_order_search_share_all,9429.651502609253,137
1,b1_cart_days_30d,9426.426315307617,29
1,all_lgmv_std,9261.2330160141,172
1,b1_order_gmv_top1_share,9044.767572402954,130
1,b1_last_order_day_gmv,8959.538764953613,126
1,b1_active_gap_cv_all,8828.924198150635,160
1,b1_search_day_share_active_90d,8416.749128341675,159
1,all_lgmv_mean,8283.683420181274,110
1,b1_active_gap_max_all,7936.663402557373,156
1,w365_gmv,7664.911306381226,23
1,search_mean_all,7264.219992637634,148
1,post_order_searches_per_day,7117.334348678589,72
1,recency_days,6763.196930885315,120
1,has_search_to_ord_sum_30d,6749.706356048584,13
1,has_search_to_cart_sum_7d,6737.298717498779,30
1,w180_avg_order_value,6712.831162452698,104
1,searches_sum_all,6502.771391868591,113
1,w180_lgmv_mean,6304.428203582764,103
1,b1_search_spike_ratio_90d,6231.435579299927,140
1,cat_mean_all,6222.192398071289,145
1,gmv_search_mean_all,6036.988345146179,90
