feature,gain_mean,split_mean
w180_orders,2894162.58867836,71.0
to_ord_sum_all,2199862.387814522,110.0
w180_days_buy,902375.1013326645,31.0
to_ord_sum_120d,897781.923377037,44.5
to_ord_sum_60d,366230.05359458923,54.0
w90_days_buy,335082.95310115814,22.0
w365_orders,289913.18190670013,16.0
recency_buy_over_buydays,277521.3709144592,195.5
lifetime_gmv_per_day,276715.33713150024,238.0
w180_orders_per_day,252485.35787963867,8.0
w90_orders,238968.88207101822,39.5
all_days_buy,141823.98003292084,56.5
w90_buyday_rate,135664.86038398743,5.0
gmv_sum_60d,122458.60910987854,108.0
gmv_sum_all,116111.29265022278,122.0
has_search_to_ord_sum_60d,96589.5881948471,24.5
b1_expected_next_order_overdue_ratio,89113.12881803513,92.0
w180_lgmv_std,68347.07732582092,113.5
w90_gmv,68055.613717556,93.0
b1_regular_buyer_overdue_score,67241.78712844849,38.5
has_search_to_ord_sum_120d,59973.52666759491,17.0
gmv_sum_30d,58025.769998550415,73.0
gmv_sum_120d,50395.77522277832,70.0
w365_orders_per_day,48478.526262283325,3.0
b1_order_cycle_phase,48284.8718252182,115.0
searches_sum_14d,40753.07821846008,171.0
buyday_rate_all,40265.49601364136,223.5
searches_sum_7d,38605.67058420181,193.0
b1_fresh_buyer_high_intent_score,28494.13825559616,71.5
b1_cart_pressure_30d,28292.15853023529,127.0
w365_gmv_per_day,27426.24574661255,12.0
active_days_7d,26923.956641197205,119.0
w90_orders_per_day,26562.217759132385,8.5
to_ord_sum_30d,26538.839428901672,34.5
b1_multi_order_day_count_all,26409.698627471924,35.0
b1_active_gap_last_over_mean,23461.648269176483,269.0
b1_order_gmv_p25_all,20917.500749111176,205.0
b1_weekend_gmv_all,19422.652409553528,123.0
w365_days_buy,18943.19351196289,9.5
search_to_ord_sum_all,17696.169618606567,39.0
b1_search_intent_score,17546.123289108276,135.0
active_days_14d,16361.424456596375,105.0
b1_order_gmv_top3_share,15617.066526412964,117.5
to_ord_mean_all,15376.906259536743,119.0
b1_expected_next_order_overdue_days,15264.435828208923,91.5
w180_gmv,15093.414946556091,85.0
has_search_to_cart_sum_14d,14923.171352386475,39.0
gmv_mean_all,14714.035009384155,135.0
b1_cart_days_30d,14283.678463935852,40.0
w180_buyday_rate,13980.012660980225,4.5
gmv_search_sum_all,13307.002692222595,81.0
tenure_days,13240.7075548172,211.5
w90_lgmv_std,12132.03701210022,117.5
first_buy_age_days,11887.674178123474,187.5
gmv_sum_14d,11873.774310112,45.0
w90_gmv_per_day,11753.673636436462,17.5
b1_order_gmv_median_all,10922.360521316528,137.5
b1_order_gap_last_over_median,10764.195188522339,146.5
b1_weekend_active_share_all,10609.545534610748,219.5
has_search_to_ord_sum_30d,10465.785111427307,19.0
recency_to_ord_days,10148.927244186401,40.5
w365_avg_order_value,10079.164953708649,104.5
search_mean_all,10009.82906627655,170.0
b1_order_gap_std_all,9996.725260734558,127.5
gmv_search_sum_30d,9796.40433883667,53.0
search_sum_14d,9059.657631397247,45.0
b1_active_gap_cv_all,8975.46167230606,181.5
all_lgmv_mean,8946.253671169281,116.0
search_to_ord_sum_60d,8835.507409095764,32.5
b1_order_gmv_top1_share,8738.35825920105,122.0
all_lgmv_std,8269.34654045105,152.0
recency_buy_over_tenure,7970.80174779892,78.0
post_order_search_share_all,7910.563513755798,132.5
searches_sum_all,7416.5425934791565,122.5
b1_last_order_day_gmv,7395.656858444214,113.5
w180_gmv_per_day,7231.004063606262,11.5
w180_avg_order_value,7102.201309680939,108.5
recency_days,7023.975122928619,127.5
b1_search_day_share_active_90d,6956.653922080994,137.0
searches_mean_all,6829.964488983154,134.5
has_search_to_ord_mean_all,6752.692435741425,100.5
b1_active_gap_max_all,6662.689841270447,141.0
