feature,delta_mean,delta_min,delta_max
to_ord_sum_all,0.007791586689054664,0.006781379602358806,0.008801793775750522
w180_orders,0.006166424064979026,0.005942943412119428,0.006389904717838624
lifetime_gmv_per_day,0.003190751374268719,0.0012749386470123358,0.005106564101525102
recency_buy_over_buydays,0.0023145208169239595,0.001924996126150491,0.002704045507697428
to_ord_sum_120d,0.0019615858242345574,0.0005151727743022416,0.003407998874166873
buyday_rate_all,0.0017368395791415026,0.0017368395791415026,0.0017368395791415026
gmv_sum_60d,0.0015033408253998237,0.000607099687426782,0.0023995819633728654
to_ord_sum_60d,0.0013765477171447937,0.00043198990452664177,0.0023211055297629457
w180_days_buy,0.001283072382072592,0.0003951467805576314,0.0021709979835875526
gmv_sum_all,0.0009814221506670995,0.0006812709821828467,0.0012815733191513523
w90_days_buy,0.0007571036465064962,0.0005873110990297636,0.0009268961939832288
b1_order_gmv_p25_all,0.0006321408977842946,0.0006321408977842946,0.0006321408977842946
w90_gmv,0.000580959770966949,0.000580959770966949,0.000580959770966949
w90_orders,0.000551711148003009,0.000550488895912471,0.0005529334000935471
b1_order_cycle_phase,0.0005411004377616768,0.00025428548780248583,0.0008279153877208678
gmv_sum_120d,0.0005337976815551482,0.0005337976815551482,0.0005337976815551482
searches_sum_14d,0.0004752169670206863,0.0003789402987868229,0.0005714936352545497
gmv_sum_30d,0.00044429550775992865,0.00030856224165609625,0.0005800287738637611
b1_regular_buyer_overdue_score,0.0003722674046471308,0.00028886387744475606,0.0004556709318495056
all_days_buy,0.00035039964871930174,0.00023908861276811244,0.00046171068467049103
w90_buyday_rate,0.00034673986535382895,0.00034673986535382895,0.00034673986535382895
w365_orders,0.00033288844139833795,0.00029606144435256887,0.00036971543844410704
b1_expected_next_order_overdue_ratio,0.00033139479609767264,0.00025066313662014394,0.00041212645557520133
to_ord_sum_30d,0.00033114642593234933,0.00033114642593234933,0.00033114642593234933
w180_orders_per_day,0.0003203946181028483,0.00029611180743560617,0.00034467742877009044
searches_sum_7d,0.00030662190599950456,0.00030662190599950456,0.00030662190599950456
has_search_to_ord_sum_60d,0.0002570748166770276,0.00015388259722604047,0.0003602670361280147
b1_multi_order_day_count_all,0.0002480154438733173,0.0002480154438733173,0.0002480154438733173
active_days_7d,0.00024355049417623675,0.00024355049417623675,0.00024355049417623675
has_search_to_ord_sum_120d,0.00022706351905932287,0.00022706351905932287,0.00022706351905932287
b1_fresh_buyer_high_intent_score,0.00016570754193567794,0.00016570754193567794,0.00016570754193567794
w90_orders_per_day,0.00011454693780366121,0.00011454693780366121,0.00011454693780366121
w365_gmv_per_day,0.00010167019111051445,0.00010167019111051445,0.00010167019111051445
w180_lgmv_std,8.798642918383948e-05,8.798642918383948e-05,8.798642918383948e-05
b1_cart_pressure_30d,7.554434188628001e-05,7.554434188628001e-05,7.554434188628001e-05
w180_buyday_rate,5.959194063720474e-05,5.959194063720474e-05,5.959194063720474e-05
b1_active_gap_last_over_mean,5.626719618723186e-05,5.626719618723186e-05,5.626719618723186e-05
search_to_ord_sum_all,5.230935125299929e-05,5.230935125299929e-05,5.230935125299929e-05
w365_orders_per_day,3.099264706307725e-05,6.771452009335377e-06,5.521384211681912e-05
