source_path,artifact_type,experiment,description,git_repo,git_commit_if_known,used_by_final_solution,destination,sha256,status
C:\Users\Admin\Desktop\e-cup-research-clean\.gitattributes,UNKNOWN,,unknown: .gitattributes,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,.gitattributes,6cc9a343fe9d144a03b8443367f36992d9fd6995adc63ae2549692d5dc358679,PROVENANCE_INCOMPLETE
C:\Users\Admin\Desktop\e-cup-research-clean\.gitignore,UNKNOWN,,unknown: .gitignore,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,.gitignore,df9a83559f12deab544bb711e9a92ef66c40fee5cfce82ab97a9516f6dbcb4d8,PROVENANCE_INCOMPLETE
C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\manifests\prediction_sources.csv,UNKNOWN,,unknown: prediction_sources.csv,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,artifacts/manifests/prediction_sources.csv,dd98abb348f4a3616c63ce6c84733b9f7b01be65c02a74c5ad5b221aa5323022,PROVENANCE_INCOMPLETE
C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\oof\EXP_037_STRONGEST_CURRENT.parquet,EXPERIMENT,,experiment: EXP_037_STRONGEST_CURRENT.parquet,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,SUBMIT_STRONGEST55_TEAMB45,artifacts/oof/EXP_037_STRONGEST_CURRENT.parquet,8ac8aebea5dd875a34f5ccfbcedbd6dc12be39147e29c9a5efae236d895b5c9d,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\README.md,REPORT,,report: README.md,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,artifacts/README.md,b53af433015d33024bd50c7975dfad3cd7675d679a2189f2b0064bc4df6855c5,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\submissions\.gitkeep,UNKNOWN,,unknown: .gitkeep,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,artifacts/submissions/.gitkeep,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PROVENANCE_INCOMPLETE
C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\test\.gitkeep,DUPLICATE,,unknown: .gitkeep; byte-identical to C:\Users\Admin\Desktop\e-cup-research-clean\artifacts\submissions\.gitkeep,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,artifacts/test/.gitkeep,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PROVENANCE_INCOMPLETE
C:\Users\Admin\Desktop\e-cup-research-clean\baselines\manifests\EXP_037_STRONGEST_CURRENT.json,EXPERIMENT,,experiment: EXP_037_STRONGEST_CURRENT.json,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,SUBMIT_STRONGEST55_TEAMB45,baselines/manifests/EXP_037_STRONGEST_CURRENT.json,7f1791cbad54fca2a46cff343eaad2a00e59ac7af282a14072fee63fc919a653,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\baselines\README.md,REPORT,,report: README.md,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,baselines/README.md,c402fce67a93f539d60d929fbf8ba78968b2ed2e93e3ee20cf5a0dd005109a4c,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\config\competition.yaml,CONFIG,,config: competition.yaml,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,config/competition.yaml,7d0855749683589b12f459123329f885cd743404ee040d547755299eb06f6e4d,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\config\paths.example.yaml,CONFIG,,config: paths.example.yaml,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,config/paths.example.yaml,6cfa32d02400c056b479e3e1e94c696d581019037c7c3d7c2abfb398b513ca66,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\config\paths.local.yaml,CONFIG,,config: paths.local.yaml,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,NO,config/paths.local.yaml,4de00d6b0cb656a6cd06a095835289cf739e373f97c5be8171f26c125d606809,FOUND
C:\Users\Admin\Desktop\e-cup-research-clean\delivery\submission_STRONGEST_CURRENT_training_bundle_v2.zip,UNKNOWN,,unknown: submission_STRONGEST_CURRENT_training_bundle_v2.zip,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,SUBMIT_STRONGEST55_TEAMB45,delivery/submission_STRONGEST_CURRENT_training_bundle_v2.zip,d0840d0d853a496213109b3310d91bada22559bde8e17f42c7013ee2c840224a,EXTERNAL_LARGE
C:\Users\Admin\Desktop\e-cup-research-clean\delivery\submission_STRONGEST_CURRENT_training_bundle_v2\artifacts\logs\ETX1_test_ETX-01-S42.log,UNKNOWN,,unknown: ETX1_test_ETX-01-S42.log,C:/Users/Admin/Desktop/e-cup-research-clean,80e911f6b3dae0bac66e6351af5b40b5e8132dc9,SUBMIT_STRONGEST55_TEAMB45,delivery/submission_STRONGEST_CURRENT_training_bundle_v2/artifacts/logs/ETX1_test_ETX-01-S42.log,092753d7a7f9b9b08d3e1c4c4e41e4c1be8da23670d335e9923570f17a3f5166,PROVENANCE_INCOMPLETE
