event_date,rows,active_users,search,cat,search_to_cart,search_to_ord,cat_to_cart,cat_to_ord,to_cart,to_ord,searches,gmv_search,gmv_cat,gmv,purchasing_rows,positive_gmv_rows
2025-01-01,43516,43516,36918,8010,34989,8194,3559,633,38548,8827,136443,335724.7398264217,38341.72919001372,374066.46901643544,5620,5620
2025-01-02,52556,52556,44387,10571,46626,11384,5153,997,51779,12381,174063,443611.1495598441,45616.84646263026,489227.99602247437,7394,7394
2025-01-03,53609,53609,45432,10414,46365,11359,5023,981,51388,12340,175456,434329.9636775718,39002.51375993433,473332.47743750614,7487,7487
2025-01-04,54882,54882,46431,10840,48438,11704,5617,1081,54055,12785,182234,406579.11289835663,43640.2762992567,450219.38919761335,7681,7681
2025-01-05,55531,55531,47007,10981,49199,11771,5610,1122,54809,12893,184256,428938.98068818124,36988.00597714717,465926.9866653284,7725,7725
2025-01-06,54063,54063,45673,10400,46476,11156,5220,931,51696,12087,174812,420273.19557049917,32807.019543080016,453080.2151135792,7269,7269
2025-01-07,55408,55408,47047,10442,48266,11679,5290,1004,53556,12683,182888,410948.3349349334,45760.92468600859,456709.259620942,7530,7530
2025-01-08,59303,59303,50443,11462,54146,13007,6065,1192,60211,14199,199851,450633.53091388056,48304.287628805454,498937.818542686,8342,8342
2025-01-09,58872,58872,49837,11203,49373,12111,5360,1094,54733,13205,189641,443675.03005438246,41048.07640452056,484723.106458903,7931,7931
2025-01-10,58060,58060,48509,11489,48860,12188,5627,1143,54487,13331,184372,434521.59985510324,42013.66137494744,476535.2612300507,7958,7958
2025-01-11,58337,58337,49177,11208,51439,12869,5876,1326,57315,14195,191370,485915.9152947464,46513.622657081374,532429.5379518277,8279,8279
2025-01-12,60368,60368,51447,11850,55480,13237,6035,1303,61515,14540,206851,436594.97289565834,47749.59751295106,484344.5704086094,8459,8459
2025-01-13,57115,57115,48002,10546,47915,11759,5241,1086,53156,12845,180612,415926.203719751,42959.420135794775,458885.62385554577,7744,7744
2025-01-14,57995,57995,48454,10836,47726,12009,5067,1049,52793,13058,183059,435789.0237364156,46589.685550847425,482378.709287263,7810,7810
2025-01-15,59558,59558,49564,11090,50149,13287,5194,1110,55343,14397,188129,494291.6762690512,46695.56147681998,540987.2377458712,8628,8628
2025-01-16,59008,59008,49202,10965,49490,12827,5294,982,54784,13809,187635,465519.6351539326,38477.60543405916,503997.2405879918,8285,8285
2025-01-17,56928,56928,47161,10660,46143,11576,5204,1044,51347,12620,175970,412085.7737304924,39185.658758893085,451271.4324893855,7544,7544
2025-01-18,56672,56672,47661,10654,49484,12217,5380,1068,54864,13285,186848,425598.3517597944,41341.8490522264,466940.2008120208,7771,7771
2025-01-19,59358,59358,50054,11391,52530,12513,5843,1229,58373,13742,199760,429701.17389554984,51863.051679837095,481564.22557538695,8085,8085
