event_date,rows,explicit_zero_rows,visible_activity_rows,explicit_zero_share
2025-01-01,43516,4220,39296,0.09697582498391397
2025-01-02,52556,5051,47505,0.0961070096658802
2025-01-03,53609,5234,48375,0.09763286015407861
2025-01-04,54882,5282,49600,0.0962428482927007
2025-01-05,55531,5389,50142,0.09704489384307864
2025-01-06,54063,5375,48688,0.0994210458169173
2025-01-07,55408,5467,49941,0.09866806237366445
2025-01-08,59303,5764,53539,0.09719575738158272
2025-01-09,58872,5739,53133,0.09748267427639624
2025-01-10,58060,6009,52051,0.10349638305201515
2025-01-11,58337,5869,52468,0.10060510482198262
2025-01-12,60368,5625,54743,0.09317850516830109
2025-01-13,57115,6066,51049,0.10620677580320406
2025-01-14,57995,6343,51652,0.10937149754289163
2025-01-15,59558,6764,52794,0.11356996541186742
2025-01-16,59008,6576,52432,0.11144251626898048
2025-01-17,56928,6483,50445,0.11388069139966273
2025-01-18,56672,6018,50654,0.10619000564652739
2025-01-19,59358,6070,53288,0.10226085784561474
2025-01-20,58704,6273,52431,0.10685813573180704
2025-01-21,58279,6236,52043,0.10700252234938828
2025-01-22,58700,6304,52396,0.10739352640545145
2025-01-23,58423,6731,51692,0.11521147493281755
2025-01-24,56371,6454,49917,0.1144914938532224
2025-01-25,56853,6089,50764,0.10710076864897192
2025-01-26,60621,6038,54583,0.09960244799656885
2025-01-27,59303,6487,52816,0.10938738343760013
2025-01-28,58777,6320,52457,0.10752505231638226
2025-01-29,58451,6586,51865,0.11267557441275598
2025-01-30,58348,6502,51846,0.11143483924041955
2025-01-31,56360,6629,49731,0.11761887863733145
2025-02-01,57541,6026,51515,0.10472532628908084
2025-02-02,61110,6141,54969,0.10049091801669122
2025-02-03,59631,6656,52975,0.11161979507303248
2025-02-04,59360,6501,52859,0.10951819407008086
2025-02-05,60359,7132,53227,0.1181596779270697
2025-02-06,59720,6929,52791,0.11602478231748158
2025-02-07,58198,6930,51268,0.11907625691604523
2025-02-08,58870,6369,52501,0.10818753184983863
2025-02-09,62991,6700,56291,0.1063644012636726
2025-02-10,62296,7390,54906,0.11862719917811737
2025-02-11,62095,7146,54949,0.11508172960785892
2025-02-12,62115,7243,54872,0.11660629477581905
2025-02-13,61827,7383,54444,0.11941384831869571
2025-02-14,59315,7644,51671,0.128871280451825
2025-02-15,61127,7361,53766,0.1204214177041242
2025-02-16,65217,7332,57885,0.11242467454804729
2025-02-17,64758,8168,56590,0.12613113437721982
2025-02-18,63974,7909,56065,0.12362834901678807
2025-02-19,64157,8112,56045,0.126439827298658
2025-02-20,63582,7883,55699,0.12398163002107515
2025-02-21,61682,7908,53774,0.12820595959923478
2025-02-22,61715,7538,54177,0.12214210483674957
2025-02-23,61233,7062,54171,0.11532996913429033
2025-02-24,63233,7890,55343,0.12477661980295099
2025-02-25,63461,7861,55600,0.12387135405997385
2025-02-26,64570,8280,56290,0.1282329255072015
2025-02-27,64338,8758,55580,0.13612484068513164
2025-02-28,61714,8233,53481,0.13340571021162134
2025-03-01,62679,7577,55102,0.12088578311715248
2025-03-02,66154,8251,57903,0.12472412854853826
2025-03-03,66520,8403,58117,0.12632291040288635
2025-03-04,67087,8416,58671,0.12544904377897356
2025-03-05,66001,8669,57332,0.13134649475007953
2025-03-06,63127,8330,54797,0.13195621524862577
2025-03-07,58392,8293,50099,0.14202287984655432
2025-03-08,54310,7187,47123,0.1323329037009759
2025-03-09,64276,7716,56560,0.12004480677080093
2025-03-10,65510,8694,56816,0.13271256296748588
2025-03-11,64544,8165,56379,0.126502850768468
2025-03-12,65149,8989,56160,0.13797602419070132
2025-03-13,64319,8569,55750,0.1332265737962344
2025-03-14,62900,8440,54460,0.134181240063593
2025-03-15,62603,7817,54786,0.12486622046866763
2025-03-16,66619,7900,58719,0.11858478812350831
2025-03-17,65747,8923,56824,0.13571721903661005
2025-03-18,64688,8382,56306,0.129575810042048
2025-03-19,65294,8903,56391,0.1363524979324287
2025-03-20,65902,9665,56237,0.146657157597645
2025-03-21,63087,8741,54346,0.1385546943110308
2025-03-22,63912,8545,55367,0.1336994617599199
2025-03-23,66554,7976,58578,0.11984253388226102
2025-03-24,64808,8493,56315,0.1310486359708678
2025-03-25,65537,8596,56941,0.1311625493995758
2025-03-26,65490,8947,56543,0.1366162772942434
2025-03-27,64533,8942,55591,0.13856476531387044
2025-03-28,62499,9218,53281,0.14749035984575753
2025-03-29,61066,7977,53089,0.1306291553401238
2025-03-30,64938,7893,57045,0.12154670608888478
2025-03-31,65523,8798,56725,0.13427346122735528
2025-04-01,64796,8817,55979,0.13607321439595035
2025-04-02,65485,9504,55981,0.14513247308543942
2025-04-03,64496,9249,55247,0.14340424212354255
2025-04-04,62616,9112,53504,0.14552191133256676
2025-04-05,62451,8249,54202,0.13208755664440922
2025-04-06,66305,8289,58016,0.12501319659150895
2025-04-07,64369,8762,55607,0.13612142490950613
2025-04-08,65137,8796,56341,0.13503845740516143
2025-04-09,65090,9549,55541,0.14670456291288986
2025-04-10,65715,9740,55975,0.14821578026325802
2025-04-11,64228,9566,54662,0.14893815781279193
2025-04-12,63861,8484,55377,0.13285103584347255
2025-04-13,67645,8952,58693,0.13233794071993496
2025-04-14,67238,9927,57311,0.14763972753502483
2025-04-15,66838,9393,57445,0.14053382806188097
2025-04-16,66869,10142,56727,0.15166968251357132
2025-04-17,64129,9672,54457,0.1508210014190148
2025-04-18,62040,9431,52609,0.1520148291424887
2025-04-19,58350,8267,50083,0.1416795201371037
2025-04-20,62750,9205,53545,0.14669322709163346
2025-04-21,66520,10081,56439,0.15154840649428744
2025-04-22,66362,9585,56777,0.14443506826195715
2025-04-23,66608,10315,56293,0.15486127792457363
2025-04-24,66449,10603,55846,0.15956598293428043
2025-04-25,64440,10382,54058,0.16111111111111112
2025-04-26,63149,9023,54126,0.1428842895374432
