feature,gain,split,gain_share
history_age_days,2762306.2105858326,347,0.4868640448656328
pct_w30_to_ord,821268.4522657394,709,0.1447508169291036
w30_to_ord,681546.0004456043,1641,0.12012435162594393
order_recency,539823.4237999916,158,0.09514535883722296
rel_w30_to_ord,525982.9652124643,1867,0.09270594005559203
pct_w30_gmv,106735.49312984943,148,0.01881242337173963
w30_to_cart,56061.306560993195,74,0.009880959021899602
rel_w30_to_cart,54982.25707423687,76,0.009690773590712031
rel_w30_active_days,32227.461637556553,408,0.005680178493058943
w30_gmv,22178.784266650677,165,0.003909071549302908
pct_w30_to_cart,21865.166347265244,8,0.003853795530956646
cart_recency,21734.803749203682,8,0.0038308187655465634
annual_lag_active_days,12084.212717533112,74,0.0021298756307785082
w30_active_days,3282.864462375641,301,0.0005786138643039413
w30_max_daily_gmv,2491.042336165905,58,0.0004390530430947611
annual_lag_searches,2412.699628651142,55,0.00042524492605104154
hist_active_days,2384.78054946661,40,0.0004203241117804823
rel_w30_gmv,1208.6417571902275,89,0.0002130264242407587
pct_w30_active_days,1108.4745411872864,113,0.00019537167772524524
w30_gmv_search,530.4009400606155,40,9.34846202382751e-05
annual_lag_gmv,355.95931828022003,20,6.273880601700803e-05
visible_days_change_30,203.78782451152802,25,3.591816293060726e-05
w180_std_activity_gap,105.83802962303162,10,1.865424296749113e-05
w60_to_ord,100.25047039985657,14,1.7669420331283705e-05
w60_searches,97.48383432626724,10,1.7181793136189643e-05
annual_lag_to_ord,88.84772086143494,9,1.5659654454643873e-05
w7_searches,55.48459994792938,18,9.77931289980749e-06
w60_gmv,51.21517896652222,9,9.026815743526884e-06
w90_searches,46.34373438358307,6,8.168210276508247e-06
w30_explicit_zero_share,44.322460651397705,13,7.811955238141696e-06
w30_search,42.20448017120361,8,7.4386553702334754e-06
purchase_cycle_phase,33.863149642944336,10,5.9684729896608965e-06
w180_std_purchase_gap,31.8813573718071,9,5.619176667076626e-06
w90_gmv,27.04027009010315,5,4.765921757651471e-06
w30_visible_activity_days,22.402999877929688,2,3.948590165671717e-06
w90_to_cart,19.526701867580414,7,3.441634753490738e-06
w30_searches,17.63100004196167,3,3.1075121080204637e-06
w7_gmv,17.58836007118225,5,3.0999966962362585e-06
w180_max_activity_gap,16.116250038146973,3,2.8405332658518212e-06
w7_to_ord,13.57151985168457,4,2.3920175919106596e-06
w60_active_days,12.294630408287048,2,2.1669623258158484e-06
w7_to_cart,9.306520104408264,5,1.6402996902702534e-06
w60_to_cart,7.37365984916687,3,1.2996277696770373e-06
w30_max_daily_searches,5.984359979629517,3,1.0547598577047435e-06
hist_purchase_days,5.191380023956299,3,9.149949658774344e-07
last_purchase_gap,5.139820098876953,1,9.05907387686103e-07
cat_recency,4.178189992904663,3,7.364174443684346e-07
w30_gmv_cat,3.1176400184631348,2,5.494926029587491e-07
w30_cat,2.9512299299240112,2,5.201623684966461e-07
w180_median_purchase_gap,2.728060007095337,2,4.808280575848677e-07
pct_w30_searches,1.7204699516296387,1,3.032375471300624e-07
w7_active_days,1.1207900047302246,1,1.975423119481754e-07
w30_explicit_zero_days,0.9626320004463196,1,1.6966652996627575e-07
w90_to_ord,0.9099900126457214,1,1.603882352529134e-07
rel_w30_searches,0.8050519824028015,1,1.418926196442931e-07
w90_active_days,0.0,0,0.0
activity_recency,0.0,0,0.0
search_recency,0.0,0,0.0
last_activity_gap,0.0,0,0.0
w180_median_activity_gap,0.0,0,0.0
zero_days_change_30,0.0,0,0.0
