exp_id,timestamp,commit,description,scenario,n_features,model,params,cutoffs,L,panel_blocks,fold_scores,cv_mean,cv_std,bias_mean,best_offset,cv_mean_calib,delta_vs_b0,runtime_s,verdict,conclusion,wcv,fold_cal,mean_z,lb_public
S1-B0,2026-08-10T20:59:45,37828cd,"B0 naive: uncapped feats, 1-block train panel, 3 recent cutoffs",S1,236,direct,"{""L"": null, ""calendar"": false, ""cutoffs"": ""recent3"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",3 @ step 7,,3,"[1.78975, 1.77428, 1.75873, 1.7524]",1.76879,0.01448,-0.10222,-0.10000,1.76570,,158.10000,,,1.75743,"[1.77868, 1.77096, 1.7585, 1.75086]",2.72704,
S1-E01,2026-08-10T21:02:55,37828cd,E01: 3-block panel rule re-applied on train cutoffs (vs B0 1-block),S1,236,direct,"{""L"": null, ""calendar"": false, ""cutoffs"": ""recent3"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 3, ""weight_tau"": null}",3 @ step 7,,3,"[1.79156, 1.77452, 1.75982, 1.75332]",1.76980,0.01472,-0.10634,-0.10500,1.76647,,142.40000,,,1.75816,"[1.77959, 1.77091, 1.7596, 1.75158]",2.73114,
S1-E02,2026-08-10T21:15:37,37828cd,"E02: dense cutoff grid (all, step 7) vs 3 recent; uncapped, 1-block train panel",S1,236,direct,"{""L"": null, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,,3,"[1.78022, 1.7676, 1.75316, 1.7463]",1.76182,0.01311,-0.09500,-0.09500,1.75913,,733.70000,,,1.75151,"[1.77152, 1.76427, 1.75287, 1.74513]",2.71989,
S1-E03a,2026-08-10T21:29:03,b2f0287,"E03a: L=180 relaxed (min_hist 90, 29 cutoffs)",S1,195,direct,"{""L"": 180, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,180,3,"[1.77887, 1.77267, 1.76256, 1.75737]",1.76787,0.00840,-0.06899,-0.07000,1.76640,,656.30000,,,1.76064,"[1.77699, 1.77203, 1.76145, 1.75534]",2.69468,
S1-E03b,2026-08-10T21:34:17,b2f0287,"E03b: L=180 strict (min_hist 180, 16 cutoffs)",S1,195,direct,"{""L"": 180, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 180, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",11 @ step 7,180,3,"[1.78326, 1.77491, 1.76406, 1.75775]",1.76999,0.00981,-0.06651,-0.06500,1.76861,,312.70000,,,1.76208,"[1.78138, 1.77418, 1.76309, 1.75614]",2.69213,
S1-E04,2026-08-10T21:47:14,b2f0287,E04: uncapped минус длинные признаки (w365/all/tenure/lifetime),S1,195,direct,"{""L"": null, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [""long""], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,,3,"[1.76029, 1.7538]",1.75705,0.00324,-0.07482,-0.07500,1.75542,,877.60000,,,,"[1.75898, 1.75189]",2.70941,
S1-E03c,2026-08-10T21:48:34,b2f0287,"E03c: L=90 (min_hist 90, 29 cutoffs)",S1,165,direct,"{""L"": 90, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,90,3,"[1.8092, 1.80558, 1.79461, 1.78786]",1.79931,0.00852,-0.01311,-0.01500,1.79914,,855.50000,,,1.79323,"[1.80912, 1.80554, 1.79458, 1.78749]",2.63890,
S1-E10,2026-08-10T22:19:20,b2f0287,"E10: длинные окна, нормированные на доступную глубину истории (all_*/lifetime_* выброшены как дубликаты w365_*)",S1,227,direct,"{""L"": null, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""direct"", ""norm_long"": true, ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,,3,"[1.77429, 1.76617, 1.75356, 1.7455]",1.75988,0.01111,-0.05447,-0.05500,1.75889,,1589.10000,,,1.75170,"[1.77209, 1.76537, 1.75326, 1.74495]",2.67982,
EXP-MIN,2026-08-10T23:27:00,e3b1cde,"EXP-MIN: 15 устойчивых признаков, extreme regularization (детали exp_007)",S1,15,direct,"{""L"": null, ""cutoffs"": ""all"", ""feature_fraction"": 1.0, ""lambda_l2"": 20.0, ""min_data_in_leaf"": 800, ""min_history"": 90, ""model"": ""direct"", ""num_leaves"": 31, ""panel_blocks"": 3, ""rounds"": 400, ""step"": 7, ""train_blocks"": 1}",24 @ step 7,,3,"[1.78521, 1.7776, 1.76795, 1.76262]",1.77335,0.00870,-0.09545,-0.09500,1.77065,,,REJECT,LB 1.6674246 против 1.6512803 у submission_strategy_1.csv (+0.01614); файл submissions/experimental_submission_1.csv,,,,1.6674246
EXP-SIM,2026-08-10T23:27:00,e3b1cde,EXP-SIM: rank-cohort similarity (чистая модель); сабмит — смесь 0.50 с S1-BEST (детали exp_008),S1,4,similarity,"{""bins"": [8, 6, 8, 6], ""blend_weight"": 0.5, ""cutoffs"": ""all"", ""feats"": [""w180_days_buy"", ""w30_days_buy"", ""w30_lgmv"", ""rec_buy""], ""panel_blocks"": 3, ""smoothing_coarse"": 500, ""smoothing_fine"": 100, ""step"": 7, ""train_blocks"": 1}",24 @ step 7,,3,"[1.86578, 1.86318, 1.84892, 1.82889]",1.85169,0.01465,0.33448,,1.82105,,,REJECT,"строка описывает чистую similarity; сабмит = смесь 0.50 с S1-BEST: калиброванный OOF 1.77210 (+0.01494), LB 1.6682180 (+0.01694); файл submissions/experimental_submission_2.csv",,,,1.6682180
S1-E11,2026-08-10T23:52:14,e3b1cde,E11: двухчастная модель на нормированных длинных окнах,S1,227,two_part,"{""L"": null, ""calendar"": false, ""cutoffs"": ""all"", ""drop_groups"": [], ""keep_only"": null, ""min_history"": 90, ""model"": ""two_part"", ""norm_long"": true, ""panel_blocks"": 3, ""params"": {}, ""rounds"": 600, ""step"": 7, ""train_blocks"": 1, ""weight_tau"": null}",24 @ step 7,,3,"[1.77344, 1.76548, 1.75209, 1.74469]",1.75893,0.01121,-0.05520,-0.05500,1.75792,,1985.10000,OPEN,"−0.00095 CV к S1-E10; калиброванный OOF 1.75792 против 1.75716 у S1-BEST; сабмита нет, на LB не отправлялся; детали exp_013",1.75070,"[1.77123, 1.76469, 1.75177, 1.7441]",2.68057,
S1-DIST,2026-08-11T19:52:11,0ef1396,"E0: голова распределения (multiclass 16 бинов z, ẑ=sum p_k m_k) на признаках S1-E10, 250 раундов",S1,227,dist,"{""L"": null, ""cutoffs"": ""all"", ""min_history"": 90, ""model"": ""dist"", ""n_bins"": 16, ""norm_long"": true, ""panel_blocks"": 3, ""rounds"": 250, ""step"": 7, ""train_blocks"": 1}",24 @ step 7,,3,"[1.77183, 1.7644, 1.7522, 1.74491]",1.75834,0.01045,-0.05147,-0.05000,1.75744,,3952.0,ПРИНЯТО; LB 1.6507774106,"E0. Голова распределения лучше S1-E10 на 4 фолдах из 4: калиброванный OOF 1.75744 против 1.75889 (-0.00145). Пре-регистрированный порог >=0.003 на >=3 фолдах НЕ выполнен: эталон N12 (-0.00396) снимался на базе из 3 cutoff'ов, на плотной сетке остаётся -0.0007..-0.0019. Var(z-z_E10)=0.01320 при пороге разнообразия 0.10 — та же функция, а не новый класс. Смесь 0.15/0.30/0.10/0.45 с S1-E10/S1-E02/S1-E03a: OOF 1.75645 против 1.75716 у S1-BEST, лучше на 4 фолдах из 4. Сабмит submissions/submission_dist_head.csv -> LB 1.6507774106 против 1.6512803 (-0.0005029), ЛУЧШИЙ результат проекта. Перенос OOF->LB оказался 0.64x, а не 1.13-1.20x по R10: константа калибровалась на ухудшениях и на улучшение не переносится. Детали exp_014",1.75062,"[1.77015, 1.76382, 1.75183, 1.74426]",2.67693,1.6507774 (в смеси S1-DIST-MIX)
S1-DIST-F4,2026-08-11T21:09:59,521835d,"S1-DIST, обученная только на обучающей выборке фолда 2025-10-16 (24 cutoff'а вместо 29)",S1,227,dist,"{""L"": null, ""cutoffs"": ""train_for_fold 2025-10-16"", ""min_history"": 90, ""model"": ""dist"", ""n_bins"": 16, ""norm_long"": true, ""rounds"": 250, ""step"": 7, ""train_blocks"": 1}",24 @ step 7 (2025-04-03..2025-09-11),,3,[1.74491],,,,,1.74427,,1242.0,REJECT,"Только тестовая модель, отдельной CV нет: обучена на той же выборке, что и фолд 2025-10-16, поэтому её единственный валидационный скор — 1.74491 (калибр. 1.74427) на этом фолде. 1.744 — свойство ФОЛДА, а не модели. Отправлены оба сабмита (чистая модель и контрольная смесь), лучший дал LB 1.6512012383165489 — хуже S1-DIST-MIX на +0.00042. Отказ от пяти самых свежих cutoff'ов стоит примерно 0.0004 на LB, обе закономерности проекта (плотная сетка, свежие cutoff'ы) устояли. Ключевое: эта дельта СТРУКТУРНО НЕИЗМЕРИМА локально — обучающая выборка фолда 10-16 и есть эти 24 cutoff'а. Детали exp_015, правило в exp_016 §5",,,,1.6512012 (лучший из двух)
S1-VAL-W,2026-08-11T23:30:00,e3032ca,"exp_016: калибровка валидатора по LB — единая схема wCV (веса фолдов 1:2:4:8, калиброванные пофолдовые RMSLE)",S1,,none,"{""fold_weights"": [1, 2, 4, 8], ""calibrated"": true, ""folds"": ""VAL_FOLDS_S1""}",,,3,,,,,,,,,ПРИНЯТО,"Не модель, а схема валидации. По 5 сабмитам с известным LB: Spearman = 1.0 у ВСЕХ локальных метрик (порядок ничего не различает), различает устойчивость коэффициента переноса dLB/dлокальная. wCV 1:2:4:8: перенос 1.000 +- 0.057 против 1.007 +- 0.151 у равных весов и 0.999 +- 0.240 у OOF cal. Асимметрия переноса 0.64x из STATE.md оказалась артефактом OOF cal: на wCV тот же замер даёт 0.975. Парный шум public LB = 0.00025, а не 0.0058 (непарный) — прежний порог 0.01 завышен в 20 раз. Реализация: src/report.py, src/validation.py (calibrate, wcv), FOLD_WEIGHTS_S1; 10 проверок в src/test_validation.py; пересчёт python -m src.cv_lb",,,,
S1-MIX-E11,2026-08-11T23:55:49,e3032ca,"Смесь 0.10 S1-E10 + 0.35 S1-E02 + 0.30 S1-DIST + 0.25 S1-E11 (S1-E03a обнулён), --level 2.3293",S1,,blend,"{""level"": 2.3293, ""selection"": ""\u043f\u0435\u0440\u0435\u0431\u043e\u0440 \u043f\u043e wCV, \u0448\u0430\u0433 0.05, 10626 \u043a\u043e\u043c\u0431\u0438\u043d\u0430\u0446\u0438\u0439"", ""weights"": {""S1-DIST"": 0.3, ""S1-E02"": 0.35, ""S1-E03a"": 0.0, ""S1-E10"": 0.1, ""S1-E11"": 0.25}}",,,3,"[1.76913, 1.76241, 1.75032, 1.74268]",1.75770,,-0.06754,,1.75613,,,REJECT,"Последний сабмит проекта, отправлен вопреки вердикту exp_016 §7. wCV 1.74911 против 1.74948 у S1-DIST-MIX (-0.00038; LOFO-честно -0.00036), лучше на 4 фолдах из 4. LB 1.6510029 против 1.6507774 — НА +0.00023 ХУЖЕ. Промах прогноза +0.00060 = 2.4 парных SE, прогноз отвергается; сама дельта LB t=+0.9, то есть кандидат не «хуже», а «не лучше». Коэффициент переноса -0.60 (к S1-DIST-MIX) и 0.288 (к S1-BEST) против ~1.0 на крупных дельтах. Первая инверсия порядка в проекте: Spearman(wCV, LB) упал с 1.00 до 0.90. Механизм: обнуление S1-E03a снимает страховку против 120-дневной экстраполяции, её ценность (~0.0005) лежит в неизмеримой оси exp_016 §5, а прирост от переподбора весов — в измеримой. Порог -0.0020 подтверждён. Детали exp_016 §8",1.74911,"[1.76913, 1.76241, 1.75032, 1.74268]",2.69317,1.6510029
