catalog_id,namespace,experiment_id,title,kind,original_path,source_ref,source_commit,source_files,commands,model,features,validation,score,submission,seed,preprocessing,postprocessing,external_data,reproducibility,notes,preserved_document
team_a_current__exp_001_s1_b0_baseline,team_a_current,exp_001_s1_b0_baseline,exp_001 — S1-B0: воспроизводимый бейзлайн,experiment card,experiments/exp_001_s1_b0_baseline.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/train.py | src/models.py,python -m src.train --exp S1-B0 --L 0 --min-history 90 --train-blocks 1 --cutoffs recent3,LightGBM,window aggregates,## Протокол валидации (общий для ВСЕХ экспериментов Strategy 1),"CV mean 1.76879, std 0.01448",None documented,"bagging 0.8/1, lambda_l2 5, max_bin 63, 600 раундов, seed 42 (config.SEED)",See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_002_s1_e01_panel_rule,team_a_current,exp_002_s1_e01_panel_rule,exp_002 — S1-E01: переприменение 3-блочного правила панели на обучении,experiment card,experiments/exp_002_s1_e01_panel_rule.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/train.py | src/models.py,python -m src.train --exp S1-E01 --L 0 --min-history 90 --cutoffs recent3,Unknown / not recoverable from repository history,recency,Панель валидации в обоих случаях 3-блочная.,| **CV mean** | **1.76879** | **1.76981** | **+0.00102** |,None documented,Seed from src/config.py unless the preserved card explicitly states otherwise,See preserved experiment card and frozen implementation,"Причина: разница уровня 0.198 — это **маргинальная**, а не **условная** разница.",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_003_s1_e02_dense_cutoffs,team_a_current,exp_003_s1_e02_dense_cutoffs,exp_003 — S1-E02: плотная сетка cutoff'ов,experiment card,experiments/exp_003_s1_e02_dense_cutoffs.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/train.py | src/models.py,python -m src.train --exp S1-E02 --L 0 --min-history 90 --train-blocks 1 --cutoffs all,LightGBM,See preserved experiment card and implementation,`cutoffs: recent3 → all` (18–24 cutoff'а в зависимости от фолда вместо 3).,Ожидание стратегии: −0.005…−0.012 RMSLE.,None documented,"LightGBM как в B0, 600 раундов, seed 42",See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_004_s1_e03_history_depth,team_a_current,exp_004_s1_e03_history_depth,exp_004 — S1-E03: фиксированная глубина истории `L`,experiment card,experiments/exp_004_s1_e03_history_depth.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/train.py | src/models.py,"python -m src.train --exp S1-E03a --L 180 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03b --L 180 --min-history 180 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03c --L  90 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E03d --L 270 --min-history  90 --train-blocks 1 --cutoffs all
python -m src.train --exp S1-E04  --L 0   --min-history  90 --train-blocks 1 --cutoffs all --drop long --folds 2 | python -m src.train --exp S1-E03a --L 180 --min-history  90 --train-blocks 1 --cutoffs all | python -m src.train --exp S1-E03b --L 180 --min-history 180 --train-blocks 1 --cutoffs all | python -m src.train --exp S1-E03c --L  90 --min-history  90 --train-blocks 1 --cutoffs all | python -m src.train --exp S1-E03d --L 270 --min-history  90 --train-blocks 1 --cutoffs all | python -m src.train --exp S1-E04  --L 0   --min-history  90 --train-blocks 1 --cutoffs all --drop long --folds 2",Unknown / not recoverable from repository history,See preserved experiment card and implementation,| эксперимент | L | min_history | cutoff'ов | признаков | CV mean | CV std | bias | CV после сдвига |,4. `L = 90` («минимум смещения») — провал: +0.0375 к RMSLE. Правило «выбирать L по,None documented,Seed from src/config.py unless the preserved card explicitly states otherwise,See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_005_s1_e10_normalized_long,team_a_current,exp_005_s1_e10_normalized_long,"exp_005 — S1-E10: длинные окна, нормированные на доступную глубину истории",experiment card,experiments/exp_005_s1_e10_normalized_long.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/train.py | src/models.py,"python -m src.features --L 0 --min-history 90 --norm-long
python -m src.train --exp S1-E10 --L 0 --min-history 90 --train-blocks 1 --cutoffs all --norm-long | python -m src.features --L 0 --min-history 90 --norm-long | python -m src.train --exp S1-E10 --L 0 --min-history 90 --train-blocks 1 --cutoffs all --norm-long",Unknown / not recoverable from repository history,"gap/burst features, 227 tabular features",| фолд | E02 (uncapped) | E10 (нормированные) | Δ | bias E02 → E10 |,| **CV mean** | **1.76182** | **1.75988** | **−0.00194** | −0.0950 → **−0.0545** |,None documented,Seed from src/config.py unless the preserved card explicitly states otherwise,See preserved experiment card and frozen implementation,"до `L = 180`, где то же снижение смещения стоило +0.0061. Уровень прогноза на тесте",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_006_s1_best_submission,team_a_current,exp_006_s1_best_submission,exp_006 — S1-BEST: итоговая конфигурация и сабмит,experiment card,experiments/exp_006_s1_best_submission.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/blend.py | src/predict.py | src/submit.py,"python -m src.predict --exp S1-NORM --variant S1-NORM --L 0 --norm-long --min-history 90 --train-blocks 1
python -m src.predict --exp S1-UNC  --variant S1-UNC  --L 0             --min-history 90 --train-blocks 1
python -m src.predict --exp S1-CAP  --variant S1-CAP  --L 180           --min-history 90 --train-blocks 1
python -m src.submit --z S1-NORM S1-UNC S1-CAP --weights 0.45 0.45 0.10 \
                     --level 2.339 --out submission_strategy_1.csv | python -m src.predict --exp S1-NORM --variant S1-NORM --L 0 --norm-long --min-history 90 --train-blocks 1 | python -m src.predict --exp S1-UNC  --variant S1-UNC  --L 0             --min-history 90 --train-blocks 1 | python -m src.predict --exp S1-CAP  --variant S1-CAP  --L 180           --min-history 90 --train-blocks 1 | python -m src.submit --z S1-NORM S1-UNC S1-CAP --weights 0.45 0.45 0.10 \","LightGBM, CatBoost, calibration diagnostic",227 tabular features,"панель     обучение — 1-блочная, валидация и тест — 3-блочная (правило организатора)","CV mean 1.75886, std 0.01162** (B0: 1.76879, std 0.01448)",level 2.339 --out submission_strategy_1.csv,"feature_fraction 0.7, bagging 0.8/1, lambda_l2 5, max_bin 63, seed 42",See preserved experiment card and frozen implementation,level 2.339 --out submission_strategy_1.csv,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_007_radical_minimalism,team_a_current,exp_007_radical_minimalism,exp_007 — radical feature minimalism,experiment card,experiments/exp_007_radical_minimalism.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/final_experiments.py,"python src/final_experiments.py`; cutoff'ы 2025-04-03..2025-10-16, шаг 7,","LightGBM, calibration diagnostic",recency,CV по фолдам: 1.78521 / 1.77760 / 1.76795 / 1.76262.,"CV mean: **1.77335 ± 0.00870** (текущий лучший: S1-BEST, 1.75886 ± 0.01162).",Файл: `submissions/experimental_submission_1.csv`.,"min leaf 800, lambda_l2 20, seed 42 из `config.py`, уровень test 2.3293.",See preserved experiment card and frozen implementation,"min leaf 800, lambda_l2 20, seed 42 из `config.py`, уровень test 2.3293.",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_008_cohort_similarity,team_a_current,exp_008_cohort_similarity,exp_008 — hierarchical rank-cohort similarity,experiment card,experiments/exp_008_cohort_similarity.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/final_experiments.py,"python src/final_experiments.py`; признаки `w180_days_buy`, `w30_days_buy`,","blend, calibration diagnostic",recency,Чистый similarity CV по фолдам: 1.86578 / 1.86318 / 1.84892 / 1.82889;,дала полезной декорреляции ошибок: 50% rank-cohort сигнала ухудшили LB на 0.01694.,Файл: `submissions/experimental_submission_2.csv`.,cutoff'ы и seed из `config.py`; итоговый уровень test 2.3293.,See preserved experiment card and frozen implementation,cutoff'ы и seed из `config.py`; итоговый уровень test 2.3293.,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_013_s1_e11_two_part,team_a_current,exp_013_s1_e11_two_part,exp_013 — S1-E11: двухчастная модель на нормированных длинных окнах,experiment card,experiments/exp_013_s1_e11_two_part.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/models.py | src/train.py,,"LightGBM, calibration diagnostic",227 tabular features,CV по фолдам: 1.77344 / 1.76548 / 1.75209 / 1.74469.,"CV mean: **1.75893 ± 0.01121**; bias −0.05520, оптимальный сдвиг −0.055,","принятой смеси `S1-BEST`, поэтому в состав сабмита не входила и на leaderboard не","LightGBM 600 раундов, параметры по умолчанию из config.LGB_PARAMS, seed из config.py",See preserved experiment card and frozen implementation,"после закрытия вопроса об уровне. `eda_findings.md` (`e08`) до этого показал, что",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_014_s1_dist_head,team_a_current,exp_014_s1_dist_head,exp_014 — E0 / S1-DIST: голова распределения вместо L2,experiment card,experiments/exp_014_s1_dist_head.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/models.py | src/train.py | src/predict.py | src/test_pipeline.py,"model=dist (multiclass, 16 бинов z, центроиды по train), norm_long=True, L=None
min_history=90, cutoffs=all шаг 7 (18/20/22/24 обучающих cutoff'а на фолд)
train_blocks=1, panel_blocks=3, 250 раундов, LGB_PARAMS из config.py, seed 42
227 признаков

# 4 фолда двумя процессами
LGB_THREADS=6 python -m src.train --exp S1-DIST-A --model dist --L 0 --norm-long \
  --rounds 250 --snap 100 150 200 --train-blocks 1 --val 2025-10-16 2025-09-04 --no-log
LGB_THREADS=6 python -m src.train --exp S1-DIST-B --model dist --L 0 --norm-long \
  --rounds 250 --snap 100 150 200 --train-blocks 1 --val 2025-10-02 2025-09-18 --no-log
python -m src.merge_oof --out S1-DIST --parts S1-DIST-A S1-DIST-B --ref S1-E10

# тестовые предсказания и сабмит
python -m src.predict --exp S1-DIST --variant S1-DIST --L 0 --norm-long \
  --min-history 90 --step 7 --train-blocks 1 --rounds 250 --blend dist
python -m src.submit --z S1-NORM S1-UNC S1-CAP S1-DIST --weights 0.15 0.30 0.10 0.45 \
  --level 2.3293 --out submission_dist_head.csv | python -m src.merge_oof --out S1-DIST --parts S1-DIST-A S1-DIST-B --ref S1-E10 | python -m src.predict --exp S1-DIST --variant S1-DIST --L 0 --norm-long \ | python -m src.submit --z S1-NORM S1-UNC S1-CAP S1-DIST --weights 0.15 0.30 0.10 0.45 \","LightGBM, distribution head, blend, calibration diagnostic",227 tabular features,Замер `N12` (`research/strategy_NN_1.md` §1.4) показал на одном фолде,"CV mean 1.75834 ± 0.01045, bias −0.0515, оптимальный сдвиг −0.050.","Сабмиты кончились, `S1-DIST-MIX` остаётся лучшим результатом проекта —","train_blocks=1, panel_blocks=3, 250 раундов, LGB_PARAMS из config.py, seed 42",See preserved experiment card and frozen implementation,level 2.3293 --out submission_dist_head.csv,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
