ord30_bin,cycle_bin,n,target_zero,target_z_mean
0,0,7250,0.705103448275862,1.0317761186094407
0,1,6519,0.6206473385488572,1.3349722103872996
0,2,5518,0.5982239942007974,1.415040820123064
0,3,4537,0.550363676438175,1.604409171122682
0,4,27540,0.5099491648511256,1.836633654663741
1,0,14254,0.4823207520695945,1.8777562544249102
1,1,5934,0.40781934614088305,2.2053923041740933
1,2,3393,0.3704686118479222,2.3930355616900303
1,3,2478,0.33292978208232443,2.5891699894011326
1,4,5611,0.27588665122081624,2.900076360472107
2,0,16793,0.3215030072053832,2.6347831858131414
2,1,7508,0.29128929142248267,2.793540222596534
2,2,4202,0.27153736316039984,2.8715501039363835
2,3,3047,0.24778470626846077,3.0290146571254404
2,4,7125,0.21150877192982456,3.278986132456594
3,0,28308,0.10505864066694927,4.25420836391051
3,1,12329,0.11339119149971612,4.112697922329148
3,2,6368,0.11290829145728644,4.084052797669092
3,3,5177,0.11319296890090787,4.152839850823215
3,4,10595,0.12317130722038698,4.106494569029683
