row_group,rows,user_id_min,user_id_max,event_date_min,event_date_max
0,122880,2,3694,2025-01-01,2026-02-13
1,122880,3694,7537,2025-01-01,2026-02-13
2,122880,7537,11492,2025-01-01,2026-02-13
3,122880,11492,14830,2025-01-01,2026-02-13
4,122880,14830,18411,2025-01-01,2026-02-13
5,122880,18411,22139,2025-01-01,2026-02-13
6,122880,22139,25772,2025-01-01,2026-02-13
7,122880,25772,29573,2025-01-01,2026-02-13
8,122880,29573,33056,2025-01-01,2026-02-13
9,122880,33056,36660,2025-01-01,2026-02-13
10,122880,36660,40182,2025-01-01,2026-02-13
11,122880,40182,43736,2025-01-01,2026-02-13
12,122880,43736,47300,2025-01-01,2026-02-13
13,122880,47300,50957,2025-01-01,2026-02-13
14,122880,50957,54638,2025-01-01,2026-02-13
15,122880,54638,58299,2025-01-01,2026-02-13
16,122880,58299,61971,2025-01-01,2026-02-13
17,122880,61971,65559,2025-01-01,2026-02-13
18,122880,65559,69441,2025-01-01,2026-02-13
19,122880,69441,73187,2025-01-01,2026-02-13
20,122880,73187,76894,2025-01-01,2026-02-13
21,122880,76894,80456,2025-01-01,2026-02-13
22,122880,80456,84010,2025-01-01,2026-02-13
23,122880,84010,87727,2025-01-01,2026-02-13
24,122880,87727,91514,2025-01-01,2026-02-13
25,122880,91514,95184,2025-01-01,2026-02-13
26,122880,95184,98950,2025-01-01,2026-02-13
27,122880,98950,102689,2025-01-01,2026-02-13
28,122880,102689,106351,2025-01-01,2026-02-13
29,122880,106351,109984,2025-01-01,2026-02-13
30,122880,109984,113707,2025-01-01,2026-02-13
31,122880,113707,117354,2025-01-01,2026-02-13
32,122880,117354,121126,2025-01-01,2026-02-13
33,122880,121126,124877,2025-01-01,2026-02-13
34,122880,124877,128463,2025-01-01,2026-02-13
35,122880,128463,131838,2025-01-01,2026-02-13
36,122880,131838,135430,2025-01-01,2026-02-13
37,122880,135430,138999,2025-01-01,2026-02-13
38,122880,138999,142517,2025-01-01,2026-02-13
39,122880,142517,146299,2025-01-01,2026-02-13
40,122880,146299,149743,2025-01-01,2026-02-13
41,122880,149743,153320,2025-01-01,2026-02-13
42,122880,153320,156843,2025-01-01,2026-02-13
43,122880,156843,160442,2025-01-01,2026-02-13
44,122880,160442,164143,2025-01-01,2026-02-13
45,122880,164143,167628,2025-01-01,2026-02-13
46,122880,167628,171374,2025-01-01,2026-02-13
47,122880,171374,175037,2025-01-01,2026-02-13
48,122880,175037,178593,2025-01-01,2026-02-13
49,122880,178593,182275,2025-01-01,2026-02-13
50,122880,182275,185852,2025-01-01,2026-02-13
51,122880,185852,189502,2025-01-01,2026-02-13
52,122880,189502,193103,2025-01-01,2026-02-13
53,122880,193103,196688,2025-01-01,2026-02-13
54,122880,196688,200268,2025-01-01,2026-02-13
55,122880,200268,203920,2025-01-01,2026-02-13
56,122880,203920,207336,2025-01-01,2026-02-13
57,122880,207336,210850,2025-01-01,2026-02-13
58,122880,210850,214532,2025-01-01,2026-02-13
59,122880,214532,218102,2025-01-01,2026-02-13
60,122880,218102,221665,2025-01-01,2026-02-13
61,122880,221665,225347,2025-01-01,2026-02-13
62,122880,225347,229143,2025-01-01,2026-02-13
63,122880,229143,232857,2025-01-01,2026-02-13
64,122880,232857,236261,2025-01-01,2026-02-13
65,122880,236261,239954,2025-01-01,2026-02-13
66,122880,239954,243631,2025-01-01,2026-02-13
67,122880,243631,247399,2025-01-01,2026-02-13
68,122880,247399,250898,2025-01-01,2026-02-13
69,122880,250898,254465,2025-01-01,2026-02-13
70,122880,254465,258133,2025-01-01,2026-02-13
71,122880,258133,261735,2025-01-01,2026-02-13
72,122880,261735,265542,2025-01-01,2026-02-13
73,122880,265542,269130,2025-01-01,2026-02-13
74,122880,269130,272870,2025-01-01,2026-02-13
75,122880,272870,276298,2025-01-01,2026-02-13
76,122880,276298,280162,2025-01-01,2026-02-13
77,122880,280162,284125,2025-01-01,2026-02-13
78,122880,284125,287769,2025-01-01,2026-02-13
79,122880,287769,291493,2025-01-01,2026-02-13
80,122880,291493,294954,2025-01-01,2026-02-13
81,122880,294954,298432,2025-01-01,2026-02-13
82,122880,298432,302042,2025-01-01,2026-02-13
83,122880,302042,305697,2025-01-01,2026-02-13
84,122880,305697,309348,2025-01-01,2026-02-13
85,122880,309348,313029,2025-01-01,2026-02-13
86,122880,313029,316764,2025-01-01,2026-02-13
87,122880,316764,320393,2025-01-01,2026-02-13
88,122880,320393,324138,2025-01-01,2026-02-13
89,122880,324138,327809,2025-01-01,2026-02-13
90,122880,327809,331392,2025-01-01,2026-02-13
91,122880,331392,335091,2025-01-01,2026-02-13
92,122880,335091,338719,2025-01-01,2026-02-13
93,122880,338719,342332,2025-01-01,2026-02-13
94,122880,342332,346125,2025-01-01,2026-02-13
95,122880,346125,350066,2025-01-01,2026-02-13
96,122880,350066,353797,2025-01-01,2026-02-13
97,122880,353797,357595,2025-01-01,2026-02-13
98,122880,357595,361120,2025-01-01,2026-02-13
99,122880,361120,364788,2025-01-01,2026-02-13
100,122880,364788,368592,2025-01-01,2026-02-13
101,122880,368592,372566,2025-01-01,2026-02-13
102,122880,372566,376419,2025-01-01,2026-02-13
103,122880,376419,380119,2025-01-01,2026-02-13
104,122880,380119,383871,2025-01-01,2026-02-13
105,122880,383871,387485,2025-01-01,2026-02-13
106,122880,387485,391075,2025-01-01,2026-02-13
107,122880,391075,394821,2025-01-01,2026-02-13
108,122880,394821,398430,2025-01-01,2026-02-13
109,122880,398430,402315,2025-01-01,2026-02-13
110,122880,402315,406008,2025-01-01,2026-02-13
111,122880,406008,409909,2025-01-01,2026-02-13
