seed,segment,n,vol_error,fresh_error,delta
42,rec_buy 15-60,28056,1.9413187276617359,1.941251589501759,-6.71381599768317e-05
42,w180_days_buy 2-15,55633,1.9419750054853118,1.941847848803463,-0.0001271566818488168
42,пересечение,22851,1.9834727094981122,1.9834088460069856,-6.386349112652567e-05
42,никогда не покупал,10252,1.1707564752454835,1.1707096049618981,-4.687028358540957e-05
42,w180_days_buy 0-1,21519,1.4620616573767098,1.4620377784296437,-2.3878947066124923e-05
42,w180_days_buy 16+,21555,1.4099973196443296,1.409866716380885,-0.0001306032634447174
43,rec_buy 15-60,28056,1.9388102399419187,1.93876585991779,-4.438002412876507e-05
43,w180_days_buy 2-15,55633,1.9399686063464197,1.9399030179439551,-6.558840246451147e-05
43,пересечение,22851,1.9806992491942108,1.980694357987613,-4.891206597745779e-06
43,никогда не покупал,10252,1.1748185919923915,1.175118511220728,0.0002999192283366092
43,w180_days_buy 0-1,21519,1.4623638057068502,1.4624672366601714,0.00010343095332121521
43,w180_days_buy 16+,21555,1.4078708221839957,1.4079227299573007,5.19077733049933e-05
44,rec_buy 15-60,28056,1.9412367124253005,1.9411483334143564,-8.837901094405076e-05
44,w180_days_buy 2-15,55633,1.9415593290586208,1.9414492467861921,-0.00011008227242870205
44,пересечение,22851,1.9826280582664138,1.9825352640024725,-9.279426394126489e-05
44,никогда не покупал,10252,1.1665366000813173,1.1665757657848568,3.916570353945659e-05
44,w180_days_buy 0-1,21519,1.459437827946726,1.4593864210791168,-5.140686760918278e-05
44,w180_days_buy 16+,21555,1.4112595428858212,1.4109045796812905,-0.00035496320453076713
