kind,cutoff,n_panel,p_positive,c_T,sd_z,n_pos,n_pos_b,y_win_end
CLEAN,2025-04-03,197912,0.5003587453009418,4.238476421112278,1.3134112307704262,99027,49591,2025-05-03
CLEAN,2025-04-10,198671,0.4999169481202591,4.233570658396854,1.3138316749828127,99319,49760,2025-05-10
CLEAN,2025-04-17,199382,0.500411270826855,4.225854553631123,1.3100686685106044,99773,49905,2025-05-17
CLEAN,2025-04-24,199994,0.5026450793523806,4.225390491174578,1.3081620584901021,100526,50324,2025-05-24
CLEAN,2025-05-01,200639,0.504393462886079,4.227977152542561,1.311194997714794,101201,50748,2025-05-31
CLEAN,2025-05-08,201274,0.508083508053698,4.24296889799831,1.3155442923449958,102264,51232,2025-06-07
CLEAN,2025-05-15,201556,0.5157623687709619,4.267542872329241,1.3146176076179894,103955,52112,2025-06-14
CLEAN,2025-05-22,202557,0.5174889043577857,4.268201328428569,1.3150064913684303,104821,52527,2025-06-21
CLEAN,2025-05-29,203292,0.5208124274442674,4.276085596959692,1.3082235666465918,105877,53007,2025-06-28
CLEAN,2025-06-05,203992,0.5247705792384015,4.279155588229719,1.3051973127205712,107049,53535,2025-07-05
CLEAN,2025-06-12,205122,0.525545772759626,4.275147999633186,1.3050433105634784,107801,54070,2025-07-12
CLEAN,2025-06-19,205683,0.5309529713199438,4.2875426692159255,1.3036104963674238,109208,54793,2025-07-19
CLEAN,2025-06-26,206429,0.5339559848664674,4.290540079872379,1.3078469216988629,110224,55422,2025-07-26
CLEAN,2025-07-03,207093,0.5377680558975919,4.291871087658232,1.31016275412728,111368,55824,2025-08-02
CLEAN,2025-07-10,207577,0.542680547459497,4.298197986733649,1.3089272046806875,112648,56463,2025-08-09
CLEAN,2025-07-17,208274,0.5481193043778868,4.306502012494993,1.3117290376215662,114159,57117,2025-08-16
CLEAN,2025-07-24,209056,0.5560854507883055,4.324820250633558,1.3116175448938778,116253,58096,2025-08-23
CLEAN,2025-07-31,209914,0.5646645769219776,4.340386885755266,1.3142983652124862,118531,59223,2025-08-30
CLEAN,2025-08-07,211018,0.5670321963055285,4.339649941285598,1.3186456666638244,119654,59895,2025-09-06
CLEAN,2025-08-14,212368,0.5645954192722067,4.329689445003818,1.3208895733808088,119902,59997,2025-09-13
CLEAN,2025-08-21,213792,0.5622614503816794,4.312692277527334,1.3230512253792177,120207,60185,2025-09-20
CLEAN,2025-08-28,215249,0.5575775032636621,4.292820360155852,1.325942382219964,120018,60024,2025-09-27
CLEAN,2025-09-04,216510,0.5571105260726987,4.2919532792681165,1.3282942308511736,120620,60415,2025-10-04
CLEAN,2025-09-11,217820,0.5619548250849326,4.295123816074276,1.330215792365248,122405,61202,2025-10-11
CLEAN,2025-09-18,219167,0.5681421016850164,4.299254412193185,1.3362283780996038,124518,62363,2025-10-18
CLEAN,2025-09-25,220479,0.5698184407585303,4.296311467644324,1.338186691811679,125633,62936,2025-10-25
CLEAN,2025-10-02,222054,0.5701135759770146,4.278704233447746,1.3380131023813688,126596,63425,2025-11-01
CLEAN,2025-10-09,223667,0.5703925925594746,4.269756630917601,1.3392979522625172,127578,63927,2025-11-08
CLEAN,2025-10-16,225431,0.5723125923231499,4.266448213996208,1.3402648067261385,129017,64545,2025-11-15
EXTRA,2025-10-22,226851,0.575906652384164,4.265709893382599,1.3398674620170676,130645,65389,2025-11-21
EXTRA,2025-10-29,228672,0.5779806884970613,4.270790492596876,1.3386114090190002,132168,66170,2025-11-28
EXTRA,2025-11-05,230480,0.5818335647344672,4.287588333701318,1.339163836445416,134101,67088,2025-12-05
EXTRA,2025-11-12,232358,0.5843310753234233,4.2997144647629515,1.341849568735562,135774,68034,2025-12-12
EXTRA,2025-11-19,234931,0.5875682647245362,4.3234300468630416,1.3479723206683338,138038,69130,2025-12-19
EXTRA,2025-11-26,238157,0.5934278648118678,4.3694767036349305,1.3534275936394697,141329,70836,2025-12-26
EXTRA,2025-12-03,241772,0.5855516767863937,4.365157945039431,1.3551192726687826,141570,71036,2026-01-02
EXTRA,2025-12-10,246086,0.5742179563242119,4.331223433351804,1.3539274736871576,141307,70826,2026-01-09
EXTRA,2025-12-17,249063,0.5609143068219687,4.2786122901280015,1.351246940604785,139703,70002,2026-01-16
EXTRA,2025-12-24,247160,0.5493040945136753,4.219070091066246,1.3455145453558226,135766,67912,2026-01-23
EXTRA,2025-12-31,246413,0.5400405011099252,4.158885878656654,1.338195690742788,133073,66682,2026-01-30
EXTRA,2026-01-07,247053,0.5421103973641284,4.144947690853947,1.3391281371825814,133930,67144,2026-02-06
EXTRA,2026-01-14,250000,0.54066,4.146966419841377,1.3362477031448026,135165,67747,2026-02-13
