variant,fold,n_groupA,rmsle,rmsle_cal,bias,mean_z,rmsle_cal_full
A,2025-09-04,94238,1.7703124619026886,1.7692905456081398,-0.060142979553812204,2.6477472344574093,1.7711953676344085
A,2025-09-18,95497,1.76173232308756,1.7615783419994084,-0.02329212764230526,2.6616812765772124,1.7645994717401485
A,2025-10-02,96810,1.7464071784595716,1.7463604201351852,-0.012779513307688894,2.649838578863022,1.7517581989239466
A,2025-10-16,98707,1.7370384570047792,1.7368184870728725,-0.02764315603259515,2.6575373204487946,1.744128915136323
B,2025-09-04,94238,1.7683736564913535,1.7677755043056822,-0.04599081809873029,2.6335950730023274,1.7693876740671763
B,2025-09-18,95497,1.7602087354519582,1.7601686140407264,-0.011884549100817043,2.650273698035724,1.763347695662185
B,2025-10-02,96810,1.7456209187425802,1.7456020445179439,-0.008117519723583655,2.6451765852789166,1.751022579782936
B,2025-10-16,98707,1.7360511806205396,1.7358778591979478,-0.024530790454433404,2.654424954870633,1.7432960643944515
C,2025-09-04,94238,1.7701931022827686,1.7692041095418178,-0.059164500757098004,2.646768755660695,1.7708978532326627
C,2025-09-18,95497,1.7617269244336489,1.761561435535317,-0.02414674117135407,2.6625358901062612,1.7645741570681257
C,2025-10-02,96810,1.7464991979931546,1.7464443733956547,-0.01383832451529532,2.6508973900706283,1.7517263331180553
C,2025-10-16,98707,1.7368848859994832,1.7366313147513532,-0.02967800260166742,2.659572167017867,1.74397732543546
