segment,n,share,rmsle_A,rmsle_B,rmsle_C,d_BA,d_CA
покупок180=0 / y=0,44011,0.1142395107617871,0.649012563049937,0.6393192966501167,0.6497809919661721,-0.009693266399820377,0.0007684289162350755
покупок180=1 / y=0,23490,0.06097307736234984,1.1758632978838977,1.1605849173997957,1.176239504287629,-0.015278380484101906,0.0003762064037313717
покупок180=2-3 / y=0,31273,0.0811754384143366,1.6081294578947976,1.5948037089315314,1.6100334535554295,-0.013325748963266104,0.0019039956606319297
покупок180=4-7 / y=0,31025,0.08053170392366554,2.2674429542186645,2.257909304431912,2.269901457783334,-0.00953364978675264,0.0024585035646693676
покупок180=8-15 / y=0,16977,0.044067259871460755,3.1441502101464187,3.139465209765516,3.1447856692176015,-0.004685000380902693,0.0006354590711827868
покупок180=16-30 / y=0,3868,0.010040181491595112,4.078379983403778,4.085675929437091,4.078833754348987,0.007295946033313072,0.0004537709452092642
покупок180=0 / y>0,7283,0.01890450925627901,3.0255414965409124,3.0358859245484444,3.0244169722454686,0.010344428007531992,-0.0011245242954438517
покупок180=1 / y>0,9959,0.025850612066906857,2.5799355119202962,2.5929445742027877,2.578843183929403,0.013009062282491435,-0.001092327990893427
покупок180=2-3 / y>0,23831,0.06185821228702252,2.268439975140935,2.278925973156642,2.2667998047038775,0.010485998015707043,-0.0016401704370574421
покупок180=4-7 / y>0,47349,0.12290396934993199,1.8453673285415004,1.851199519675991,1.8437743872276005,0.005832191134490516,-0.001592941313899976
покупок180=8-15 / y>0,68318,0.17733327795832338,1.4222683766158986,1.4229700743507367,1.4215347880713833,0.0007016977348381914,-0.0007335885445152179
покупок180=16-30 / y>0,53105,0.13784483922211954,1.1573376756377676,1.1537366672079503,1.157102183031083,-0.003601008429817254,-0.00023549260668453975
покупок180=31+ / y>0,24512,0.06362588643277647,0.9158864204542129,0.9131956045493087,0.9153537912593791,-0.0026908159049041647,-0.0005326291948337669
rec_buy нет,41390,0.10743617164868709,1.1883579084012341,1.187550459943424,1.188472940515526,-0.0008074484578102226,0.00011503211429197968
rec_buy 0-7,124899,0.3242007828642032,1.6383905356323698,1.6369906165396162,1.638452255554592,-0.0013999190927536098,0.00006171992222214762
rec_buy 8-14,50330,0.13064176175594155,1.8562600586942595,1.855392820150999,1.8562397282714866,-0.000867238543260429,-0.000020330422772829593
rec_buy 15-30,61870,0.16059618120087632,1.9416169051436123,1.940326765883717,1.9412783740396475,-0.0012901392598951844,-0.0003385311039647565
rec_buy 31-60,49638,0.12884553487068204,1.9518983610784637,1.9510679279745033,1.951940149282872,-0.0008304331039603596,0.00004178820440836617
rec_buy 61-90,22218,0.05767134239406933,1.887666291273797,1.8866165879047625,1.88768615775593,-0.001049703369034427,0.000019866482133146235
rec_buy 91-180,25157,0.06530011524923945,1.774473278308823,1.7739634386415002,1.7740741970841216,-0.0005098396673228756,-0.00039908122470144747
rec_buy 180+,9750,0.025308110016301018,1.6172726868480367,1.6167981469909314,1.6167515014281315,-0.0004745398571053272,-0.0005211854199052013
полоса 2-15 покупок,218773,0.5678698618047407,1.9469582820532174,1.945958064202475,1.9469612582881186,-0.0010002178507424464,2.976234901197472e-6
rec_buy 15-60,111508,0.28944171607155833,1.9462892678252937,1.9452083585204651,1.9461238299837362,-0.0010809093048285145,-0.00016543784155742536
пересечение 2-15 и rec 15-60,90585,0.2351318098283721,1.9881206418164132,1.9871201194847972,1.987948562559721,-0.0010005223316160716,-0.00017207925669215918
