exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E10-K5-G030-S42-R50,e10,30,35,5,42,50,1.759589520653115,"[1.7798801298764844, 1.774323322326531, 1.7611746634763716, 1.7525771726702115]","[-0.056980028174861364, -0.03953700304480279, -0.03263398063462919, -0.01611919888278779]","[1.7807919587475511, 1.7747637664662934, 1.761476985930606, 1.752651298672196]",2.6616985176214154
GAP-E10-K5-G030-S42-R75,e10,30,35,5,42,75,1.7527966345700745,"[1.772818520073477, 1.7669906998765117, 1.7543365093749645, 1.7459754451530949]","[-0.07477801925697491, -0.05523159891729623, -0.04375594098949254, -0.030174537269442858]","[1.7743948989104734, 1.767853688224522, 1.7548820958964195, 1.74623616895796]",2.6763384777101695
GAP-E10-K5-G030-S42-R100,e10,30,35,5,42,100,1.7516171800061977,"[1.77186427758108, 1.7656946989534257, 1.7531708188486455, 1.7447900936513066]","[-0.08190043990261575, -0.05982746315327203, -0.04389498847178386, -0.03463310771376227]","[1.773756099418453, 1.766707982451991, 1.7537202428196372, 1.7451337837121967]",2.6803970364472276
GAP-E10-K5-G030-S42-R150,e10,30,35,5,42,150,1.7514149647119917,"[1.7720003887175713, 1.7653835533220803, 1.7529868621978817, 1.744563690815827]","[-0.08861104272144837, -0.061788838095853116, -0.03562872747299828, -0.03475344698889993]","[1.7742145571629198, 1.7664645342755485, 1.7533488943332758, 1.7449098181254383]",2.6804779695689063
GAP-E10-K5-G030-S42-R200,e10,30,35,5,42,200,1.7516652535088313,"[1.7726468386929888, 1.7655433681298802, 1.753259943042691, 1.7447756819386195]","[-0.09069180843509717, -0.06134932110537461, -0.03205935708710017, -0.03394601961031718]","[1.774965306131928, 1.766608935703871, 1.753553030351491, 1.7451058743044099]",2.6797740758288544
GAP-E10-K5-G030-S42-R250,e10,30,35,5,42,250,1.7520322685761063,"[1.7730413417827289, 1.7658926180636674, 1.7533914206574666, 1.7452614710127081]","[-0.09120387560892906, -0.06135995648458126, -0.029154145800233344, -0.03331499264343396]","[1.775385534872223, 1.7669583609599155, 1.753633781663047, 1.745579415710745]",2.679010131187288
GAP-E10-K5-G030-S42-R300,e10,30,35,5,42,300,1.7524586020775919,"[1.773537441896122, 1.7663161527557643, 1.7537767268479159, 1.7457002970455702]","[-0.09267326815051513, -0.06024242007416003, -0.02865305381324923, -0.03327331400991307]","[1.7759570528356898, 1.7673431956551613, 1.7540107787020285, 1.7460173669873662]",2.6789559466803756
GAP-E10-K5-G060-S42-R50,e10,60,63,5,42,50,1.7629671002776084,"[1.7804855531886576, 1.7763320433154393, 1.7651964002523057, 1.7563214079169203]","[-0.011501231772476306, 0.019809450377335835, -0.0343135314059424, -0.08199462612044695]","[1.7805226995030994, 1.7764424962360745, 1.7655298779406836, 1.75823434348778]",2.65315667168867
GAP-E10-K5-G060-S42-R75,e10,60,63,5,42,75,1.7554028890883804,"[1.7732090351418845, 1.768325134734021, 1.7573228427396257, 1.7489865825946593]","[-0.029088193071103774, 0.0013060787630259085, -0.05395903284839321, -0.10075808865923985]","[1.7734476043246823, 1.7683256170665596, 1.75815106030182, 1.7518864856281093]",2.671789550530476
GAP-E10-K5-G060-S42-R100,e10,60,63,5,42,100,1.7540772753211817,"[1.7720274659107593, 1.7666565951557307, 1.7559855153983925, 1.747734551500242]","[-0.03316980001848391, -0.004577538657929203, -0.06234337467371853, -0.1068997264453011]","[1.772337884144943, 1.7666625255173678, 1.7570918663105428, 1.7510007464366864]",2.6779269801016676
