exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E03A-K5-G030-S42-R50,e03a,30,35,5,42,50,1.7672081503670796,"[1.7841976645781554, 1.7805057758439695, 1.7690724827253765, 1.760827888542324]","[-0.05671392499777461, -0.041719745645996564, -0.042331586951404265, -0.022009053759112884]","[1.785098813952549, 1.7809944848287718, 1.7695788799570227, 1.7609654316640604]",2.666120557898558
GAP-E03A-K5-G030-S42-R75,e03a,30,35,5,42,75,1.7617009677327264,"[1.7785164926349741, 1.7745190750702988, 1.7634035561947279, 1.7555432060545517]","[-0.07353276678188347, -0.057193541211054466, -0.057094393742404215, -0.0373877429656595]","[1.7800359497395577, 1.7754405225026857, 1.7643275976408195, 1.7559412836562507]",2.681720329521191
GAP-E03A-K5-G030-S42-R100,e03a,30,35,5,42,100,1.7609026753984247,"[1.7776364694113906, 1.7736989732743844, 1.7625260998214063, 1.7548001644663236]","[-0.0778672373898388, -0.0612424719080682, -0.06104773281562803, -0.042014934354129174]","[1.7793410926632698, 1.7747559517184373, 1.7635830227787934, 1.7553030712443416]",2.6859631965055013
GAP-E03A-K5-G060-S42-R50,e03a,60,63,5,42,50,1.768432938649841,"[1.782716969383888, 1.7797213147840558, 1.7698725861788849, 1.7631055170100096]","[-0.033858519460917336, 0.011462678676656068, -0.03566379956934718, -0.08909684380954364]","[1.7830384718982817, 1.7797582283274131, 1.7702318712268335, 1.7653552933299166]",2.6628535384698826
GAP-E03A-K5-G060-S42-R75,e03a,60,63,5,42,75,1.7629590660945633,"[1.7777138288046972, 1.7738418296947427, 1.7641347730874835, 1.7578061763592914]","[-0.05392041258335167, -0.007446649427509389, -0.05462811918715138, -0.10775184192694764]","[1.7785313795422937, 1.7738574602719601, 1.7649803763844947, 1.7611056223536175]",2.681993502039571
GAP-E03A-K5-G060-S42-R100,e03a,60,63,5,42,100,1.7621349472766297,"[1.7770527697242005, 1.7728084040831942, 1.7632811751146809, 1.7570287413500165]","[-0.05891087780725757, -0.012744897956962653, -0.060058704981496014, -0.11307564610170706]","[1.7780289755536813, 1.7728542156680382, 1.764303701338821, 1.7606635395984498]",2.6872562651764365
GAP-E03A-K5-G090-S42-R50,e03a,90,91,5,42,50,1.767586273785614,"[1.7814843217757148, 1.777973558807969, 1.7686722987290087, 1.7627091840595657]","[-0.08743581611063878, -0.014056767241764856, -0.012984605153549822, -0.03636497753420276]","[1.7836287199615317, 1.7780291247686477, 1.7687199609498245, 1.7630842518606429]",2.6630795265750407
GAP-E03A-K5-G090-S42-R75,e03a,90,91,5,42,75,1.7626173889289167,"[1.7781138219536654, 1.773100273094855, 1.7636178537759528, 1.7575593813358203]","[-0.11053654926605594, -0.0348565859444574, -0.03494454106971334, -0.058468109083297914]","[1.781546264497871, 1.7734428550231758, 1.7639640175207292, 1.7585316314190451]",2.68506763895533
GAP-E03A-K5-G090-S42-R100,e03a,90,91,5,42,100,1.762042833004689,"[1.77789489241459, 1.7725163778013755, 1.7629413321576035, 1.7569936898028224]","[-0.11366698313331147, -0.039789608735111504, -0.040594556574120144, -0.06493955402466689]","[1.7815247490642714, 1.7729629219296725, 1.76340864766312, 1.7581933829029899]",2.6901339433722704
GAP-E03A-K5-G120-S42-R50,e03a,120,126,5,42,50,1.766461711678993,"[1.7845668239952506, 1.7783066632101878, 1.767024292497663, 1.7609560443473269]","[-0.14888271143538923, -0.09225091587589374, -0.08087550286864031, -0.07582331858693792]","[1.7907665428717527, 1.7806978463225291, 1.7688741326734134, 1.7625876902341402]",2.7246655700731517
GAP-E03A-K5-G120-S42-R75,e03a,120,126,5,42,75,1.7629150958731852,"[1.780729854961173, 1.7753153367447136, 1.7638983458254343, 1.7570965657931799]","[-0.166475759762025, -0.11749593136136127, -0.10370573735021571, -0.10000507269149361]","[1.7884946169721572, 1.7791992127829501, 1.766944326900272, 1.7599401569616557]",2.7471593740541613
GAP-E03A-K5-G120-S42-R100,e03a,120,126,5,42,100,1.7626346001634579,"[1.7802997062133872, 1.775096082278057, 1.7634953286284916, 1.7568807271460498]","[-0.1616437467633376, -0.12066298816590981, -0.10964405420751344, -0.10555154307594794]","[1.7876229313843464, 1.7791924173714415, 1.7669005610722899, 1.7600485838927702]",2.749675593186613
