exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E03A-K5-G030-S42-R100,e03a,30,35,5,42,100,1.7609026753984247,"[1.7776364694113906, 1.7736989732743844, 1.7625260998214063, 1.7548001644663236]","[-0.0778672373898388, -0.0612424719080682, -0.06104773281562803, -0.042014934354129174]","[1.7793410926632698, 1.7747559517184373, 1.7635830227787934, 1.7553030712443416]",2.6859631965055013
GAP-E03A-K5-G030-S42-R150,e03a,30,35,5,42,150,1.7609157683960035,"[1.777652279722564, 1.7735773411222675, 1.7625266754344537, 1.7548528577793923]","[-0.07941474451041675, -0.06343767377320653, -0.06221249278071639, -0.043547887277293196]","[1.7794252806028366, 1.774711504272198, 1.763624301226318, 1.7553931100875426]",2.687571327033993
GAP-E03A-K5-G030-S42-R200,e03a,30,35,5,42,200,1.7611554747907112,"[1.7779420163217186, 1.7737829218268173, 1.7627061611483825, 1.7551249521614734]","[-0.07976685830141195, -0.06365067713297856, -0.06284306635216019, -0.043637053405221504]","[1.7797304754333108, 1.7749245853480273, 1.7638260350803325, 1.7556673346991747]",2.6878915988593413
GAP-E03A-K5-G030-S42-R250,e03a,30,35,5,42,250,1.761546993252836,"[1.7783723317610913, 1.7741694328317463, 1.7630302509827032, 1.755546587179643]","[-0.07990391776897798, -0.06381253311830015, -0.062373572535227684, -0.043974516474581726]","[1.780166505282596, 1.7753166541163334, 1.7641332582014104, 1.7560972575165832]",2.6879336777989082
GAP-E03A-K5-G030-S42-R300,e03a,30,35,5,42,300,1.7619126553127888,"[1.778654500902643, 1.774591265198933, 1.7632630856908231, 1.7559750569535042]","[-0.0797372654409223, -0.0639604262602469, -0.06258239403342136, -0.04445999049252425]","[1.7804409192367732, 1.7757435420463812, 1.7643733438943308, 1.7565378166758054]",2.6881064021795575
GAP-E03A-K5-G060-S42-R100,e03a,60,63,5,42,100,1.7621349472766297,"[1.7770527697242005, 1.7728084040831942, 1.7632811751146809, 1.7570287413500165]","[-0.05891087780725757, -0.012744897956962653, -0.060058704981496014, -0.11307564610170706]","[1.7780289755536813, 1.7728542156680382, 1.764303701338821, 1.7606635395984498]",2.6872562651764365
GAP-E03A-K5-G060-S42-R150,e03a,60,63,5,42,150,1.7621450814531459,"[1.7771307956375757, 1.7723916453730173, 1.7631916476158171, 1.7571869431187888]","[-0.060513017228553956, -0.01522607727100267, -0.06242254125342317, -0.1159030183253913]","[1.7781607604650225, 1.7724570454646098, 1.764296278939202, 1.7610052421057951]",2.6895815792146633
GAP-E03A-K5-G060-S42-R200,e03a,60,63,5,42,200,1.762497187254898,"[1.7775438897352571, 1.772706944679931, 1.7633445942352253, 1.7576402065984311]","[-0.06052719564409692, -0.016036961453522736, -0.06305042832470509, -0.11645222733126781]","[1.7785740977951092, 1.772779483141972, 1.764471455699714, 1.7614937460834732]",2.6900845434929326
GAP-E03A-K5-G060-S42-R250,e03a,60,63,5,42,250,1.7628457452765585,"[1.7779593754739411, 1.7730296239305492, 1.7635437378751964, 1.7580615755390692]","[-0.06099685809732458, -0.016268564131088237, -0.06333504690786729, -0.11668191032921893]","[1.7790053845288492, 1.773104259064929, 1.7646806641290003, 1.7619293914046228]",2.6903872172502115
GAP-E03A-K5-G060-S42-R300,e03a,60,63,5,42,300,1.7631931381820454,"[1.7783427107737377, 1.773250696036756, 1.763801216494706, 1.7584810129880757]","[-0.061358975112648206, -0.017049428089886742, -0.06324448117966508, -0.11702697140326102]","[1.7794009446042545, 1.773332657742021, 1.7649347335295578, 1.7623708051551776]",2.6907349856391356
