exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E10-K5-G030-S42-R50,e10,30,35,5,42,50,1.759589520653115,"[1.7798801298764844, 1.774323322326531, 1.7611746634763716, 1.7525771726702115]","[-0.056980028174861364, -0.03953700304480279, -0.03263398063462919, -0.01611919888278779]","[1.7807919587475511, 1.7747637664662934, 1.761476985930606, 1.752651298672196]",2.6616985176214154
GAP-E10-K5-G030-S42-R75,e10,30,35,5,42,75,1.7527966345700745,"[1.772818520073477, 1.7669906998765117, 1.7543365093749645, 1.7459754451530949]","[-0.07477801925697491, -0.05523159891729623, -0.04375594098949254, -0.030174537269442858]","[1.7743948989104734, 1.767853688224522, 1.7548820958964195, 1.74623616895796]",2.6763384777101695
GAP-E10-K5-G030-S42-R100,e10,30,35,5,42,100,1.7516171800061977,"[1.77186427758108, 1.7656946989534257, 1.7531708188486455, 1.7447900936513066]","[-0.08190043990261575, -0.05982746315327203, -0.04389498847178386, -0.03463310771376227]","[1.773756099418453, 1.766707982451991, 1.7537202428196372, 1.7451337837121967]",2.6803970364472276
GAP-E10-K5-G060-S42-R50,e10,60,63,5,42,50,1.7629671002776084,"[1.7804855531886576, 1.7763320433154393, 1.7651964002523057, 1.7563214079169203]","[-0.011501231772476306, 0.019809450377335835, -0.0343135314059424, -0.08199462612044695]","[1.7805226995030994, 1.7764424962360745, 1.7655298779406836, 1.75823434348778]",2.65315667168867
GAP-E10-K5-G060-S42-R75,e10,60,63,5,42,75,1.7554028890883804,"[1.7732090351418845, 1.768325134734021, 1.7573228427396257, 1.7489865825946593]","[-0.029088193071103774, 0.0013060787630259085, -0.05395903284839321, -0.10075808865923985]","[1.7734476043246823, 1.7683256170665596, 1.75815106030182, 1.7518864856281093]",2.671789550530476
GAP-E10-K5-G060-S42-R100,e10,60,63,5,42,100,1.7540772753211817,"[1.7720274659107593, 1.7666565951557307, 1.7559855153983925, 1.747734551500242]","[-0.03316980001848391, -0.004577538657929203, -0.06234337467371853, -0.1068997264453011]","[1.772337884144943, 1.7666625255173678, 1.7570918663105428, 1.7510007464366864]",2.6779269801016676
GAP-E10-K5-G090-S42-R50,e10,90,91,5,42,50,1.7643572490111379,"[1.781402950624176, 1.7773594221827058, 1.7654959365056737, 1.7584066492693484]","[-0.00750481323810126, 0.042481250873159127, 0.013621443251954801, -0.023036747575855276]","[1.7814187589430674, 1.7778670288571612, 1.7655484829180739, 1.7585575441063994]",2.619409589342057
GAP-E10-K5-G090-S42-R75,e10,90,91,5,42,75,1.7565280442582385,"[1.7741318638419608, 1.769197241361618, 1.7576015618608367, 1.7506235087331292]","[-0.026705100155527628, 0.024547177838951217, -0.005355998497627024, -0.04442120401058869]","[1.7743328415699422, 1.769367526202913, 1.7576097225992917, 1.7511870010638049]",2.6387994219166906
GAP-E10-K5-G090-S42-R100,e10,90,91,5,42,100,1.7551164829695138,"[1.7727954448091836, 1.767628055551797, 1.7563247616794546, 1.7491745802390142]","[-0.02952908131562504, 0.021035982661506747, -0.009808331183112085, -0.05155539973560774]","[1.773041357605495, 1.7677532224098367, 1.7563521491571645, 1.7499341905901002]",2.6433070208820655
GAP-E10-K5-G120-S42-R50,e10,120,126,5,42,50,1.7657669163533432,"[1.7888777875748143, 1.7786855337563516, 1.7655889790560788, 1.7597373717485392]","[0.07078155127275965, 0.025875811301997675, 0.00950711815981009, 0.012933597483757442]","[1.7902775669932136, 1.7788737407710122, 1.7656145752286911, 1.759784900342178]",2.596195426355692
GAP-E10-K5-G120-S42-R75,e10,120,126,5,42,75,1.7577867022021612,"[1.7799159582154938, 1.7710118587830959, 1.7582893378997786, 1.7514629382064524]","[0.06364352185979705, 0.005031282728664266, -0.0108131887390015, -0.007641880338540741]","[1.7810534287844644, 1.7710190054757324, 1.7583225872469328, 1.7514796094290928]",2.6134862195148525
GAP-E10-K5-G120-S42-R100,e10,120,126,5,42,100,1.7564327986319639,"[1.7782518664263751, 1.7694654306077147, 1.7569210168947744, 1.7502031480323195]","[0.0653430758067266, 0.0008933766460450521, -0.014733955365083595, -0.012087373829186898]","[1.7794519993539502, 1.7694656561339577, 1.7569827970265586, 1.7502448868625005]",2.616220295927784
