exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E10-K5-G030-S42-R100,e10,30,35,5,42,100,1.7516171800061977,"[1.77186427758108, 1.7656946989534257, 1.7531708188486455, 1.7447900936513066]","[-0.08190043990261575, -0.05982746315327203, -0.04389498847178386, -0.03463310771376227]","[1.773756099418453, 1.766707982451991, 1.7537202428196372, 1.7451337837121967]",2.6803970364472276
GAP-E10-K5-G030-S42-R150,e10,30,35,5,42,150,1.7514149647119917,"[1.7720003887175713, 1.7653835533220803, 1.7529868621978817, 1.744563690815827]","[-0.08861104272144837, -0.061788838095853116, -0.03562872747299828, -0.03475344698889993]","[1.7742145571629198, 1.7664645342755485, 1.7533488943332758, 1.7449098181254383]",2.6804779695689063
GAP-E10-K5-G030-S42-R200,e10,30,35,5,42,200,1.7516652535088313,"[1.7726468386929888, 1.7655433681298802, 1.753259943042691, 1.7447756819386195]","[-0.09069180843509717, -0.06134932110537461, -0.03205935708710017, -0.03394601961031718]","[1.774965306131928, 1.766608935703871, 1.753553030351491, 1.7451058743044099]",2.6797740758288544
GAP-E10-K5-G030-S42-R250,e10,30,35,5,42,250,1.7520322685761063,"[1.7730413417827289, 1.7658926180636674, 1.7533914206574666, 1.7452614710127081]","[-0.09120387560892906, -0.06135995648458126, -0.029154145800233344, -0.03331499264343396]","[1.775385534872223, 1.7669583609599155, 1.753633781663047, 1.745579415710745]",2.679010131187288
GAP-E10-K5-G030-S42-R300,e10,30,35,5,42,300,1.7524586020775919,"[1.773537441896122, 1.7663161527557643, 1.7537767268479159, 1.7457002970455702]","[-0.09267326815051513, -0.06024242007416003, -0.02865305381324923, -0.03327331400991307]","[1.7759570528356898, 1.7673431956551613, 1.7540107787020285, 1.7460173669873662]",2.6789559466803756
GAP-E10-K5-G060-S42-R100,e10,60,63,5,42,100,1.7540772753211817,"[1.7720274659107593, 1.7666565951557307, 1.7559855153983925, 1.747734551500242]","[-0.03316980001848391, -0.004577538657929203, -0.06234337467371853, -0.1068997264453011]","[1.772337884144943, 1.7666625255173678, 1.7570918663105428, 1.7510007464366864]",2.6779269801016676
GAP-E10-K5-G060-S42-R150,e10,60,63,5,42,150,1.7539112094617009,"[1.7720373485837153, 1.7663067799411412, 1.7559461666615992, 1.7475290708516398]","[-0.03421159931935769, -0.007520521866733354, -0.07048990660787435, -0.10970073497104149]","[1.77236756862215, 1.7663227901816787, 1.7573604545303596, 1.7509689086382418]",2.681676416794288
GAP-E10-K5-G060-S42-R200,e10,60,63,5,42,200,1.7543449776099722,"[1.7724224212884627, 1.7666735398635158, 1.7563490029880904, 1.7480011438977159]","[-0.03478642320485115, -0.009664841403729252, -0.07357410820399268, -0.10953954193682058]","[1.7727637560389828, 1.7666999761174067, 1.7578893508111573, 1.7514300084031995]",2.6830825107669765
GAP-E10-K5-G060-S42-R250,e10,60,63,5,42,250,1.754724208091398,"[1.7729227618783465, 1.7670860268417647, 1.756854372478491, 1.748293851986891]","[-0.035188848448510335, -0.011138036299752407, -0.07476532099073285, -0.10987355002834764]","[1.7732719404088804, 1.7671211283154928, 1.758444527286233, 1.7517431692034178]",2.683931102555506
GAP-E10-K5-G060-S42-R300,e10,60,63,5,42,300,1.7551585600692037,"[1.773399341294579, 1.767663584837263, 1.7573129313294193, 1.7486750205939086]","[-0.036478208663066614, -0.012658777264665577, -0.0769984999361295, -0.10843594118430078]","[1.7737744738550352, 1.7677089110200364, 1.7589990247643759, 1.7520343489298171]",2.6848165847131185
