exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-DIST-K5-G030-S42-R100,dist,30,35,5,42,100,1.7508454678608978,"[1.771745659186194, 1.765459895556093, 1.7521937407062427, 1.7439052005987645]","[-0.08093373312447971, -0.0600320544563413, -0.042002061051573225, -0.03130974587116153]","[1.7735932312688234, 1.7664802547379859, 1.752697086807277, 1.744186242596224]",2.678884259531626
GAP-DIST-K5-G060-S42-R100,dist,60,63,5,42,100,1.7535290897586648,"[1.771183387640214, 1.766063060435998, 1.7553001396572587, 1.7473032849048413]","[-0.030947028257275466, -0.004627339289431376, -0.06161443957254953, -0.10717144186386252]","[1.7714537282160723, 1.7660691225729142, 1.7563811999234766, 1.7505868979831958]",2.6772819393042635
GAP-DIST-K5-G120-S42-R100,dist,120,126,5,42,100,1.7548279523818846,"[1.774039747440154, 1.7674895870356715, 1.755760427930052, 1.7487948315620705]","[0.03582140362534503, 0.0014557931774992205, -0.011842079628274327, -0.01683714628257249]","[1.774401363405477, 1.7674901865677513, 1.7558003631207741, 1.748875882500857]",2.623792546356636
GAP-E02-K5-G030-S42-R150,e02,30,35,5,42,150,1.7514095621711054,"[1.7713084709039408, 1.7641147149489738, 1.7529912991415777, 1.7449550418997979]","[-0.18427386494945353, -0.1258353685352751, -0.04219849134656428, -0.0653689487776834]","[1.7808680032385045, 1.7685969813126035, 1.7534991324600087, 1.746179027968159]",2.7292493853833517
GAP-E02-K5-G060-S42-R100,e02,60,63,5,42,100,1.7532129205637679,"[1.771497274636329, 1.7658502848597755, 1.7548827083336105, 1.7469331413457743]","[-0.12224084246352307, -0.10203333701293227, -0.18672608044337835, -0.21137710049992142]","[1.775709834857636, 1.7687956440474815, 1.7647889264039691, 1.759674881233579]",2.7818981046115328
GAP-E02-K5-G090-S42-R100,e02,90,91,5,42,100,1.7547293921932432,"[1.7738749130797626, 1.76825367026822, 1.7556542280853242, 1.7484927146176434]","[-0.13067277902838415, -0.059256698755379755, -0.12300274614945295, -0.17247657263781413]","[1.778681416789622, 1.769246279850382, 1.7599577961286976, 1.7569789245121474]",2.7473766175058443
GAP-E02-K5-G120-S42-R100,e02,120,126,5,42,100,1.7568049253237552,"[1.776336889855653, 1.7705471986910168, 1.7577730596361802, 1.7504437942592397]","[-0.15639866300591665, -0.13939531066991906, -0.1423448506635796, -0.1342357017298932]","[1.7832087056909776, 1.776026023297342, 1.7635272001568831, 1.7555832935180264]",2.7686022023230246
GAP-E03A-K5-G030-S42-R100,e03a,30,35,5,42,100,1.7609026753984247,"[1.7776364694113906, 1.7736989732743844, 1.7625260998214063, 1.7548001644663236]","[-0.0778672373898388, -0.0612424719080682, -0.06104773281562803, -0.042014934354129174]","[1.7793410926632698, 1.7747559517184373, 1.7635830227787934, 1.7553030712443416]",2.6859631965055013
GAP-E03A-K5-G060-S42-R100,e03a,60,63,5,42,100,1.7621349472766297,"[1.7770527697242005, 1.7728084040831942, 1.7632811751146809, 1.7570287413500165]","[-0.05891087780725757, -0.012744897956962653, -0.060058704981496014, -0.11307564610170706]","[1.7780289755536813, 1.7728542156680382, 1.764303701338821, 1.7606635395984498]",2.6872562651764365
GAP-E03A-K5-G090-S42-R100,e03a,90,91,5,42,100,1.762042833004689,"[1.77789489241459, 1.7725163778013755, 1.7629413321576035, 1.7569936898028224]","[-0.11366698313331147, -0.039789608735111504, -0.040594556574120144, -0.06493955402466689]","[1.7815247490642714, 1.7729629219296725, 1.76340864766312, 1.7581933829029899]",2.6901339433722704
GAP-E03A-K5-G120-S42-R100,e03a,120,126,5,42,100,1.7626346001634579,"[1.7802997062133872, 1.775096082278057, 1.7634953286284916, 1.7568807271460498]","[-0.1616437467633376, -0.12066298816590981, -0.10964405420751344, -0.10555154307594794]","[1.7876229313843464, 1.7791924173714415, 1.7669005610722899, 1.7600485838927702]",2.749675593186613
GAP-E10-K5-G030-S42-R150,e10,30,35,5,42,150,1.7514149647119917,"[1.7720003887175713, 1.7653835533220803, 1.7529868621978817, 1.744563690815827]","[-0.08861104272144837, -0.061788838095853116, -0.03562872747299828, -0.03475344698889993]","[1.7742145571629198, 1.7664645342755485, 1.7533488943332758, 1.7449098181254383]",2.6804779695689063
GAP-E10-K5-G060-S42-R150,e10,60,63,5,42,150,1.7539112094617009,"[1.7720373485837153, 1.7663067799411412, 1.7559461666615992, 1.7475290708516398]","[-0.03421159931935769, -0.007520521866733354, -0.07048990660787435, -0.10970073497104149]","[1.77236756862215, 1.7663227901816787, 1.7573604545303596, 1.7509689086382418]",2.681676416794288
GAP-E10-K5-G090-S42-R150,e10,90,91,5,42,150,1.754935808075627,"[1.7727494416883414, 1.7674503194016293, 1.7558313808891417, 1.74913268963578]","[-0.03084206690699043, 0.020706421659178798, -0.011403614977326448, -0.055509540008995106]","[1.7730177145469872, 1.767571607446456, 1.7558684120826427, 1.7500132785166254]",2.645123667513384
GAP-E10-K5-G120-S42-R150,e10,120,126,5,42,150,1.7563664495777802,"[1.7781791480409102, 1.7693609530725571, 1.7566024953333568, 1.7502732135184065]","[0.07560031017610358, 0.003272360459262824, -0.015475779742219586, -0.012744083699650854]","[1.7797855178156219, 1.7693639791181472, 1.756670665312655, 1.7503196089941382]",2.613475983555164
