feature,group,shap_abs_mean,shap_share,shap_signed_mean,gain_share,split_weighted,shap_S1-NORM,shap_S1-UNC,shap_S1-CAP,gain_S1-NORM,gain_S1-UNC,gain_S1-CAP,in_models
w180_days_buy,-,0.345316,0.145552,0.081979,0.287308,376.250000,0.245483,0.412791,0.490932,0.178715,0.381803,0.350747,S1-NORM+S1-UNC+S1-CAP
w180_orders,-,0.174565,0.073579,0.048841,0.156532,514.250000,0.093898,0.219889,0.335434,0.069536,0.214139,0.288783,S1-NORM+S1-UNC+S1-CAP
w365_days_buy,long,0.160587,0.067688,0.018658,0.120412,497.700000,0.317044,0.050802,0.000000,0.263318,0.004263,0.000000,S1-NORM+S1-UNC
w365_orders,long,0.126317,0.053243,0.030262,0.104513,546.750000,0.236639,0.053201,0.000000,0.222458,0.009794,0.000000,S1-NORM+S1-UNC
w90_days_buy,-,0.114588,0.048299,-0.002849,0.081634,161.950000,0.079791,0.145385,0.135955,0.040865,0.116296,0.109111,S1-NORM+S1-UNC+S1-CAP
rec_over_buygap,recnorm,0.072145,0.030409,0.038971,0.021343,554.150000,0.058746,0.080859,0.109712,0.016620,0.021141,0.043501,S1-NORM+S1-UNC+S1-CAP
w90_orders,-,0.068456,0.028854,-0.002938,0.045776,294.450000,0.056496,0.082435,0.066271,0.038592,0.053692,0.042479,S1-NORM+S1-UNC+S1-CAP
lifetime_gmv_per_day,aov+long,0.063361,0.026707,-0.009758,0.014540,493.200000,0.000000,0.140803,0.000000,0.000000,0.032310,0.000000,S1-UNC
rec_buy,recency,0.042926,0.018094,0.016472,0.006041,357.350000,0.041792,0.046810,0.034988,0.005381,0.007253,0.003560,S1-NORM+S1-UNC+S1-CAP
tenure,long,0.036930,0.015566,-0.035306,0.000624,469.350000,0.000000,0.082068,0.000000,0.000000,0.001386,0.000000,S1-UNC
w180_lgmv_std,lgmv,0.032085,0.013524,0.014314,0.017886,1239.700000,0.028288,0.041086,0.018531,0.015828,0.022599,0.005937,S1-NORM+S1-UNC+S1-CAP
w365_gmv,long,0.031443,0.013253,0.005013,0.006275,657.450000,0.048819,0.023112,0.000000,0.009217,0.004728,0.000000,S1-NORM+S1-UNC
w14_searches,-,0.030501,0.012856,0.002409,0.005508,266.000000,0.030803,0.029625,0.033699,0.005362,0.005437,0.006485,S1-NORM+S1-UNC+S1-CAP
w7_searches,-,0.028141,0.011862,-0.000205,0.003669,309.800000,0.028889,0.028513,0.023863,0.003665,0.003862,0.002819,S1-NORM+S1-UNC+S1-CAP
rec_cart,recency,0.027779,0.011709,0.001948,0.002385,384.900000,0.028977,0.027103,0.026335,0.002335,0.002482,0.002181,S1-NORM+S1-UNC+S1-CAP
w30_gmv,-,0.026985,0.011374,-0.010226,0.004882,268.800000,0.028193,0.024261,0.035115,0.004961,0.004539,0.006074,S1-NORM+S1-UNC+S1-CAP
rec_any,recency,0.024538,0.010343,0.003682,0.001538,222.200000,0.020712,0.028067,0.026306,0.001256,0.001799,0.001635,S1-NORM+S1-UNC+S1-CAP
w180_gmv,-,0.024094,0.010156,-0.001619,0.006421,704.600000,0.026609,0.010275,0.086526,0.005644,0.003973,0.020936,S1-NORM+S1-UNC+S1-CAP
w14_days_present,-,0.023794,0.010029,0.004459,0.003712,166.750000,0.018984,0.028493,0.025326,0.002475,0.004829,0.004247,S1-NORM+S1-UNC+S1-CAP
w365_lgmv_mean,lgmv+long,0.022313,0.009405,0.000998,0.002463,1188.000000,0.030087,0.020607,0.000000,0.002450,0.003024,0.000000,S1-NORM+S1-UNC
w180_lgmv_mean,lgmv,0.021081,0.008886,-0.002048,0.001491,1087.000000,0.015757,0.020651,0.049842,0.001127,0.001196,0.004456,S1-NORM+S1-UNC+S1-CAP
all_days_buy,long,0.019339,0.008151,0.009696,0.002448,55.800000,0.000000,0.042975,0.000000,0.000000,0.005440,0.000000,S1-UNC
w60_gmv,-,0.018532,0.007811,-0.007544,0.003374,358.600000,0.022672,0.013400,0.024716,0.004277,0.002256,0.004341,S1-NORM+S1-UNC+S1-CAP
w7_days_present,-,0.018099,0.007629,0.002521,0.002252,140.900000,0.013481,0.022294,0.021800,0.001428,0.003042,0.002403,S1-NORM+S1-UNC+S1-CAP
first_buy_age,long,0.016882,0.007116,0.013688,0.000721,306.900000,0.000000,0.037515,0.000000,0.000000,0.001602,0.000000,S1-UNC
gap_cv,recnorm+gapstruct,0.016060,0.006769,-0.006358,0.001103,1125.000000,0.013724,0.019916,0.016632,0.000909,0.001257,0.001281,S1-NORM+S1-UNC+S1-CAP
w60_orders,-,0.015258,0.006431,-0.002521,0.004149,206.800000,0.018024,0.016369,0.008182,0.004129,0.004476,0.002765,S1-NORM+S1-UNC+S1-CAP
w60_days_buy,-,0.014600,0.006154,-0.002796,0.003382,87.450000,0.013497,0.019285,0.008269,0.003050,0.003930,0.002415,S1-NORM+S1-UNC+S1-CAP
rec_over_gap,recnorm,0.013696,0.005773,0.001091,0.000817,276.100000,0.017454,0.010695,0.011814,0.001099,0.000553,0.000736,S1-NORM+S1-UNC+S1-CAP
w365_srch_per_day,conv+long,0.013223,0.005573,-0.002089,0.000720,862.200000,0.014565,0.015103,0.000000,0.000786,0.000815,0.000000,S1-NORM+S1-UNC
w14_days_search,-,0.012963,0.005464,0.000185,0.002387,122.500000,0.013090,0.013168,0.012552,0.002339,0.002456,0.002287,S1-NORM+S1-UNC+S1-CAP
w365_days_cat,cat+long,0.012948,0.005458,-0.001275,0.000538,740.700000,0.014707,0.015394,0.000000,0.000666,0.000530,0.000000,S1-NORM+S1-UNC
w30_searches,-,0.012915,0.005444,0.002376,0.001420,301.300000,0.012843,0.013207,0.012502,0.001433,0.001385,0.001521,S1-NORM+S1-UNC+S1-CAP
w365_buyday_rate,long,0.012748,0.005373,-0.001337,0.000609,558.000000,0.008711,0.019920,0.000000,0.000468,0.000884,0.000000,S1-NORM+S1-UNC
w365_lgmv_std,lgmv+long,0.012269,0.005172,0.000951,0.001032,1179.000000,0.009019,0.018675,0.000000,0.000943,0.001350,0.000000,S1-NORM+S1-UNC
buygap_cv,recnorm+gapstruct,0.012109,0.005104,-0.000960,0.001312,1646.300000,0.013933,0.012912,0.012138,0.001258,0.001366,0.001311,S1-NORM+S1-UNC+S1-CAP
dlog_buyd_90_365,trend+long,0.011956,0.005039,0.008079,0.000590,451.350000,0.006453,0.021137,0.000000,0.000932,0.000379,0.000000,S1-NORM+S1-UNC
w14_carts,-,0.011841,0.004991,0.000898,0.000830,163.450000,0.011615,0.012973,0.009024,0.000842,0.000867,0.000613,S1-NORM+S1-UNC+S1-CAP
rec_cat,cat+recency,0.011415,0.004812,0.000637,0.000592,833.000000,0.011131,0.012421,0.010759,0.000559,0.000622,0.000603,S1-NORM+S1-UNC+S1-CAP
w365_lgmv,long,0.011383,0.004798,-0.002791,0.003867,145.800000,0.023687,0.002914,0.000000,0.008447,0.000146,0.000000,S1-NORM+S1-UNC
w14_days_cart,-,0.011333,0.004777,-0.001040,0.001497,74.450000,0.012784,0.009919,0.013161,0.001676,0.001254,0.001781,S1-NORM+S1-UNC+S1-CAP
trend_srch_60_180,trend,0.010958,0.004619,-0.004218,0.000994,649.200000,0.010537,0.011001,0.014175,0.000905,0.001037,0.001203,S1-NORM+S1-UNC+S1-CAP
w14_gmv,-,0.010381,0.004376,-0.004222,0.001384,131.100000,0.012754,0.008443,0.009120,0.001695,0.001113,0.001203,S1-NORM+S1-UNC+S1-CAP
trend_srch_30_90,trend,0.010294,0.004339,-0.003928,0.000922,531.000000,0.010681,0.010506,0.008549,0.000929,0.000894,0.001013,S1-NORM+S1-UNC+S1-CAP
tenure_frac,-,0.010280,0.004333,0.000940,0.000596,638.550000,0.022844,0.000000,0.000000,0.001323,0.000000,0.000000,S1-NORM
w7_carts,-,0.010233,0.004313,0.000997,0.000728,129.050000,0.010087,0.010457,0.010405,0.000712,0.000669,0.001061,S1-NORM+S1-UNC+S1-CAP
w30_days_cart,-,0.010177,0.004290,0.001224,0.001484,123.950000,0.011258,0.009581,0.008075,0.001664,0.001409,0.001017,S1-NORM+S1-UNC+S1-CAP
w30_days_present,-,0.009832,0.004144,0.002950,0.000984,243.650000,0.010761,0.009092,0.010071,0.001017,0.000955,0.000964,S1-NORM+S1-UNC+S1-CAP
rec_search,recency,0.009728,0.004100,0.000959,0.000687,207.900000,0.009595,0.009737,0.010821,0.000605,0.000742,0.000808,S1-NORM+S1-UNC+S1-CAP
w365_cart2ord,conv+long,0.009689,0.004084,-0.001580,0.000588,751.950000,0.009882,0.012020,0.000000,0.000652,0.000654,0.000000,S1-NORM+S1-UNC
trend_pres_60_180,trend,0.008568,0.003611,-0.003404,0.000830,547.350000,0.006628,0.009140,0.017922,0.000716,0.000805,0.001459,S1-NORM+S1-UNC+S1-CAP
w180_gmv_max,lgmv,0.008504,0.003584,0.000894,0.000946,713.050000,0.009384,0.008461,0.012402,0.000467,0.001332,0.001360,S1-NORM+S1-UNC+S1-CAP
buygap_std,gapstruct,0.008472,0.003571,-0.001477,0.001611,1459.900000,0.007724,0.011149,0.011788,0.001253,0.001788,0.002426,S1-NORM+S1-UNC+S1-CAP
first_buy_frac,-,0.008278,0.003489,0.002209,0.000668,485.550000,0.018395,0.000000,0.000000,0.001484,0.000000,0.000000,S1-NORM
w30_days_buy,-,0.008157,0.003438,-0.003392,0.001381,70.550000,0.008301,0.008544,0.006031,0.001311,0.001534,0.001009,S1-NORM+S1-UNC+S1-CAP
w30_lgmv,-,0.008027,0.003383,-0.003434,0.001255,84.000000,0.009881,0.006788,0.006528,0.001688,0.000894,0.000937,S1-NORM+S1-UNC+S1-CAP
w365_gmv_max,lgmv+long,0.008017,0.003379,0.002446,0.001461,556.650000,0.008752,0.010821,0.000000,0.001930,0.001316,0.000000,S1-NORM+S1-UNC
w30_orders,-,0.007974,0.003361,-0.002505,0.001489,139.400000,0.008857,0.007326,0.008734,0.001546,0.001491,0.001225,S1-NORM+S1-UNC+S1-CAP
w365_aov,aov+long,0.007901,0.003330,0.001331,0.000806,787.050000,0.010381,0.008250,0.000000,0.001071,0.000720,0.000000,S1-NORM+S1-UNC
weekend_share,weekend,0.007803,0.003289,-0.002103,0.000745,1159.700000,0.008151,0.008386,0.008609,0.000771,0.000720,0.000738,S1-NORM+S1-UNC+S1-CAP
w90_gmv,-,0.007549,0.003182,-0.001489,0.002642,416.800000,0.011765,0.003410,0.011527,0.004679,0.000521,0.003020,S1-NORM+S1-UNC+S1-CAP
w14_presence_rate,-,0.007505,0.003163,0.001736,0.001039,56.400000,0.011982,0.004650,0.004974,0.001929,0.000241,0.000629,S1-NORM+S1-UNC+S1-CAP
w180_srch_per_day,conv,0.007453,0.003141,-0.000300,0.000586,762.950000,0.006600,0.006377,0.017992,0.000560,0.000533,0.000940,S1-NORM+S1-UNC+S1-CAP
w365_ponly_share,ponly+long,0.007439,0.003136,0.001417,0.000754,659.700000,0.008459,0.008339,0.000000,0.000848,0.000826,0.000000,S1-NORM+S1-UNC
trend_srch_90_365,trend+long,0.007316,0.003084,-0.001023,0.000549,545.850000,0.009833,0.008651,0.000000,0.000662,0.000558,0.000000,S1-NORM+S1-UNC
w60_lgmv,-,0.007258,0.003059,-0.002296,0.001451,111.800000,0.005920,0.009950,0.003410,0.001452,0.001635,0.000620,S1-NORM+S1-UNC+S1-CAP
dlog_gmv_90_365,trend+long,0.007151,0.003014,0.001944,0.000753,382.950000,0.008454,0.008249,0.000000,0.001341,0.000333,0.000000,S1-NORM+S1-UNC
trend_pres_90_365,trend+long,0.006996,0.002949,-0.001097,0.000506,524.700000,0.010243,0.008816,0.000000,0.000690,0.000435,0.000000,S1-NORM+S1-UNC
w365_searches,long,0.006941,0.002926,-0.004274,0.000430,507.150000,0.004080,0.012457,0.000000,0.000401,0.000554,0.000000,S1-NORM+S1-UNC
w7_presence_rate,-,0.006860,0.002891,0.001184,0.000816,50.850000,0.011587,0.002945,0.004210,0.001397,0.000316,0.000445,S1-NORM+S1-UNC+S1-CAP
w30_days_search,-,0.006635,0.002797,0.000966,0.000926,156.500000,0.006173,0.007150,0.006966,0.000785,0.001057,0.000969,S1-NORM+S1-UNC+S1-CAP
buygap_mean,gapstruct,0.006589,0.002777,-0.001582,0.002540,1317.850000,0.005420,0.008913,0.023138,0.000979,0.001563,0.013960,S1-NORM+S1-UNC+S1-CAP
w90_aov,aov,0.006517,0.002747,0.000766,0.001113,579.850000,0.006703,0.007250,0.005066,0.000985,0.001313,0.000788,S1-NORM+S1-UNC+S1-CAP
w365_gmv_per_day,aov+long,0.006316,0.002662,-0.000770,0.000564,509.400000,0.008576,0.005864,0.000000,0.000700,0.000553,0.000000,S1-NORM+S1-UNC
w90_lgmv_mean,lgmv,0.006200,0.002613,-0.001219,0.000736,821.250000,0.005933,0.007178,0.006803,0.000726,0.000708,0.000904,S1-NORM+S1-UNC+S1-CAP
w30_days_presence_only,ponly,0.006198,0.002612,0.001321,0.000169,128.900000,0.005774,0.006942,0.005588,0.000155,0.000187,0.000153,S1-NORM+S1-UNC+S1-CAP
w60_aov,aov,0.005988,0.002524,0.000470,0.000744,504.150000,0.007181,0.005507,0.006265,0.000826,0.000643,0.000830,S1-NORM+S1-UNC+S1-CAP
w90_days_presence_only,ponly,0.005887,0.002481,-0.001154,0.000259,316.000000,0.005602,0.006067,0.007779,0.000228,0.000269,0.000356,S1-NORM+S1-UNC+S1-CAP
w90_lgmv_std,lgmv,0.005809,0.002448,-0.000763,0.000801,918.400000,0.005533,0.007772,0.004574,0.000612,0.000987,0.000813,S1-NORM+S1-UNC+S1-CAP
trend_gmv_90_365,trend+long,0.005489,0.002313,-0.001088,0.000273,389.700000,0.009106,0.004055,0.000000,0.000300,0.000306,0.000000,S1-NORM+S1-UNC
w180_days_cat,cat,0.005487,0.002313,-0.000617,0.000414,600.050000,0.003754,0.005483,0.016776,0.000374,0.000389,0.000706,S1-NORM+S1-UNC+S1-CAP
w180_ponly_share,ponly,0.005478,0.002309,0.000852,0.000640,655.150000,0.005239,0.004492,0.013794,0.000568,0.000581,0.001236,S1-NORM+S1-UNC+S1-CAP
w180_aov,aov,0.005425,0.002287,-0.001583,0.000672,755.650000,0.005759,0.004448,0.019271,0.000572,0.000485,0.001956,S1-NORM+S1-UNC+S1-CAP
w7_days_search,-,0.005357,0.002258,-0.000570,0.000731,65.750000,0.004731,0.005428,0.008618,0.000692,0.000628,0.001371,S1-NORM+S1-UNC+S1-CAP
w14_days_presence_only,ponly,0.005306,0.002237,0.000552,0.000077,44.750000,0.005218,0.005697,0.004180,0.000066,0.000092,0.000061,S1-NORM+S1-UNC+S1-CAP
w7_srch_per_day,conv,0.005133,0.002164,0.000519,0.000241,105.250000,0.005040,0.005103,0.006561,0.000304,0.000170,0.000276,S1-NORM+S1-UNC+S1-CAP
w60_lgmv_std,lgmv,0.005026,0.002118,-0.000315,0.001001,730.850000,0.008177,0.002994,0.003927,0.001506,0.000580,0.000627,S1-NORM+S1-UNC+S1-CAP
w180_srch2cart,conv,0.005022,0.002117,-0.000648,0.000402,619.400000,0.004400,0.006340,0.006776,0.000383,0.000366,0.000651,S1-NORM+S1-UNC+S1-CAP
w365_carts,long,0.005003,0.002109,-0.002520,0.000393,559.350000,0.006411,0.005665,0.000000,0.000438,0.000435,0.000000,S1-NORM+S1-UNC
w180_carts,-,0.004812,0.002028,-0.001917,0.000412,553.150000,0.004561,0.004737,0.009379,0.000414,0.000372,0.000588,S1-NORM+S1-UNC+S1-CAP
w365_days_presence_only,ponly+long,0.004775,0.002012,-0.000439,0.000406,536.400000,0.007177,0.005421,0.000000,0.000566,0.000336,0.000000,S1-NORM+S1-UNC
w60_ponly_share,ponly,0.004610,0.001943,0.000617,0.000426,412.850000,0.004508,0.004861,0.005453,0.000403,0.000431,0.000505,S1-NORM+S1-UNC+S1-CAP
trend_pres_30_90,trend,0.004478,0.001888,-0.001577,0.000620,415.300000,0.006210,0.003524,0.003431,0.000704,0.000531,0.000638,S1-NORM+S1-UNC+S1-CAP
w90_ponly_share,ponly,0.004362,0.001839,0.001011,0.000451,502.550000,0.003990,0.005128,0.004335,0.000433,0.000461,0.000489,S1-NORM+S1-UNC+S1-CAP
gap_std,gapstruct,0.004172,0.001759,-0.000154,0.000501,727.100000,0.003444,0.005192,0.011569,0.000477,0.000506,0.000585,S1-NORM+S1-UNC+S1-CAP
w180_searches,-,0.004148,0.001749,-0.002390,0.000422,514.850000,0.005295,0.002576,0.010585,0.000457,0.000318,0.000735,S1-NORM+S1-UNC+S1-CAP
lifetime_buyrate,long,0.003874,0.001633,-0.001125,0.000138,120.600000,0.000000,0.008609,0.000000,0.000000,0.000308,0.000000,S1-UNC
all_orders,long,0.003800,0.001602,0.002378,0.000614,75.600000,0.000000,0.008444,0.000000,0.000000,0.001365,0.000000,S1-UNC
w180_days_presence_only,ponly,0.003775,0.001591,-0.000610,0.000339,458.100000,0.003700,0.003480,0.008574,0.000323,0.000307,0.000550,S1-NORM+S1-UNC+S1-CAP
