exp_id,train_blocks,seed,rounds,wcv,fold_cal,fold_scores,fold_bias,mean_z,oof_bias
S1-ROUNDS-R150,1,42,150,1.7511677184057333,"[1.7706030238158668, 1.764776994777314, 1.752461100216513, 1.7446892952311817]","[1.7720206400747696, 1.7652665700370953, 1.7528001363669439, 1.745327088814939]","[-0.07086663209777111, -0.04157188948416213, -0.03447328640663816, -0.04717955125849249]",2.6740178994864867,-0.04839041406305711
S1-ROUNDS-R200,1,42,200,1.7510303861747165,"[1.7707730467879186, 1.7647347024921611, 1.7523269602425449, 1.744488187484791]","[1.7724270952074332, 1.7653017824866741, 1.7526184102621303, 1.7450546559335376]","[-0.0765544787083341, -0.044741598368561064, -0.031960761798282, -0.044460272633092934]",2.674867045714542,-0.049239560291112205
S1-ROUNDS-R250,1,42,250,1.7510427629722705,"[1.7709420872816322, 1.7647485100208293, 1.7522963587749067, 1.7445021127701426]","[1.7727151181610572, 1.7653613357473965, 1.752581935368756, 1.745049985920297]","[-0.07926496525114457, -0.04651166150546304, -0.03163207596558726, -0.043724406274221916]",2.6756978002966925,-0.050070314873262856
S1-ROUNDS-R300,1,42,300,1.7510761354262978,"[1.7710585353628023, 1.764798728982834, 1.7524253461227577, 1.744473081696871]","[1.7728967805515827, 1.7654544516552035, 1.7527093892355967, 1.7450177200735355]","[-0.08071269098503953, -0.04811289040264022, -0.03154573159475271, -0.043590812350107644]",2.6763929637610815,-0.05076547833765188
S1-ROUNDS-R450,1,42,450,1.7514072993880996,"[1.7716026897111932, 1.7651029066015507, 1.7528274518293783, 1.7447488975737109]","[1.7736461659197682, 1.7658622005124098, 1.7531222317907929, 1.745305930841081]","[-0.08511407083882272, -0.05177824797298891, -0.03214003004027477, -0.04408393505122188]",2.678653958038233,-0.05302647261480331
S1-SEED43,1,43,300,1.7511052585245082,"[1.7710202478070438, 1.764697588899446, 1.7524624370743882, 1.7445392129955166]","[1.7730087474760283, 1.7653822529137635, 1.7527618496539263, 1.7450895783369427]","[-0.0839478463549117, -0.049162043796910915, -0.03239280741658357, -0.04382167365286538]",2.6777165026241065,-0.052089017200676935
S1-SEED44,1,44,300,1.751110026089686,"[1.7712143301217254, 1.7645753083608307, 1.7525046254807388, 1.7445333678223682]","[1.7730247459582937, 1.7652118669227832, 1.7527725893514703, 1.7451086190894247]","[-0.08010250692505894, -0.04740147116878113, -0.030644351643072554, -0.04479686501406821]",2.676149688306941,-0.05052220288351128
SAMPLE-TB0-S42-R150,0,42,150,1.7511311005229213,"[1.7707399509508257, 1.7644453147031514, 1.7523815616885454, 1.7447262100915637]","[1.7721989910689293, 1.7649434820986984, 1.7527357879933427, 1.7454221857206125]","[-0.07189777501701977, -0.04193121062854743, -0.03523641251119303, -0.04928547681871276]",2.6750904268414275,-0.04946294143246499
SAMPLE-TB0-S42-R200,0,42,200,1.7510271439195029,"[1.7709221122359915, 1.7644957853370604, 1.752160162267643, 1.7446066033514824]","[1.7725953431021424, 1.7651106924123425, 1.7524650330500737, 1.7452693278262696]","[-0.07700079396637971, -0.04658733729383746, -0.032687270203032526, -0.04809185163375673]",2.6765465313174754,-0.05091904590851293
SAMPLE-TB0-S42-R250,0,42,250,1.7510332875271044,"[1.7709931899985623, 1.764567335913248, 1.7520498800569078, 1.7446464913567348]","[1.772745357581864, 1.7652356969738232, 1.7523424795382416, 1.7452947321940495]","[-0.078798575059154, -0.048571419278638395, -0.032021584941758885, -0.047563877269770405]",2.677175603467817,-0.05154811805885462
SAMPLE-TB0-S42-R300,0,42,300,1.7511297512748305,"[1.7710992290045828, 1.7646700787464136, 1.7521140377724747, 1.7447563414418936]","[1.7729451934325613, 1.7653850198662637, 1.752395031748771, 1.7454003010070964]","[-0.08088356692031384, -0.050237209853948084, -0.03138058871766125, -0.04740702383977924]",2.6778972981179963,-0.05226981270903375
SAMPLE-TB0-S42-R450,0,42,450,1.751483836641761,"[1.7717074319717294, 1.765023119201789, 1.752314755192631, 1.7451556073100736]","[1.7737684226725583, 1.7658399572399492, 1.7526227039320275, 1.7457978551053326]","[-0.0854814662307204, -0.0537040800112738, -0.032848444043717784, -0.047347105380566745]",2.6802350821478718,-0.05460759673890925
