ckpt,fold_ckpt,fold_panel,depth,train_max,avail,over_train,seen_in_train,rmsle,rmsle_cal,offset,bias,mean_z,std_z,zero_share,var_vs_clip,corr_vs_clip,d_cal_vs_clip
SEQ-01-S43-V0904,2025-09-04,2025-10-16,212,212,289,0,1,1.7529198390347758,1.7528794336630642,-0.011902206562711192,-0.01185340590452233,2.6433725357055664,1.5363340377807617,0.00006079674129466661,0.0,1.0,0.0
SEQ-01-S43-V0904,2025-09-04,2025-10-16,226,212,289,14,0,1.7521797331728723,1.7514259904787197,-0.05140685314170908,-0.05137843794797936,2.6828975677490234,1.5427536964416504,0.00005066395107888884,0.00919356569647789,0.9980692745116556,-0.0014534431843444828
SEQ-01-S43-V0904,2025-09-04,2025-10-16,240,212,289,28,0,1.7530676218489094,1.750537193541889,-0.09417598030210621,-0.0941392869470028,2.725658416748047,1.5530781745910645,0.00003546476575522219,0.019300302490592003,0.9960143419719576,-0.002342240121175232
SEQ-01-S43-V0904,2025-09-04,2025-10-16,247,212,289,35,0,1.7541280635254264,1.7501220856699178,-0.11851635181506291,-0.11845607466672936,2.7499752044677734,1.5606547594070435,0.00004053116086311107,0.02567923627793789,0.9947683468114644,-0.0027573479931464195
SEQ-01-S43-V0904,2025-09-04,2025-10-16,254,212,289,42,0,1.7551486884461094,1.7496648467979596,-0.1387305627582029,-0.13860006041502038,2.7701191902160645,1.567499041557312,0.000045597555970999955,0.03142442926764488,0.9936771981197089,-0.003214586865104563
SEQ-01-S43-V0904,2025-09-04,2025-10-16,261,212,289,49,0,1.7561366828927647,1.749317984026555,-0.15470281613377707,-0.1545638532159237,2.7860829830169678,1.572837233543396,0.000045597555970999955,0.03673064336180687,0.9926754464526234,-0.003561449636509284
SEQ-01-S43-V0904,2025-09-04,2025-10-16,268,212,289,56,0,1.7586751470416802,1.7493656154578923,-0.1808580570880595,-0.1806575746056942,2.8121767044067383,1.5866557359695435,0.00005066395107888884,0.04482891783118248,0.9913242409709866,-0.003513818205171937
SEQ-01-S43-V0904,2025-09-04,2025-10-16,275,212,289,63,0,1.7615073864948736,1.7495708607861957,-0.20489318799996217,-0.20465392775510827,2.8361730575561523,1.5975536108016968,0.00005066395107888884,0.05286679416894913,0.989993594558902,-0.0033085728768684763
SEQ-01-S43-V0904,2025-09-04,2025-10-16,282,212,289,70,0,1.764418591138064,1.7499624765491226,-0.22570173909248928,-0.2253198117730526,2.8568389415740967,1.606166124343872,0.00005066395107888884,0.06045566871762276,0.9887382528044222,-0.002916957113941576
SEQ-01-S43-V0904,2025-09-04,2025-10-16,289,212,289,77,0,1.7670414648706714,1.7504462844393889,-0.24202658545356417,-0.24150652594541588,2.87302565574646,1.613182544708252,0.00004053116086311107,0.06707598268985748,0.9876592551669063,-0.002433149223675324
