segment,n_users,share_users,share_total_squared_error,strongest_rmsle,btyd_standalone_rmsle,honest_nested_blend_rmsle,blend_delta,btyd_bias,blend_bias,n_zero,n_positive,zero_base_rmsle,zero_mix_rmsle,zero_blend_delta,positive_base_rmsle,positive_mix_rmsle,positive_blend_delta
all,770616,1.0,1.0,1.7475294897986016,1.8007109762773346,1.7472596023673976,-0.0002698874312039301,-9.486769009248164e-19,7.0635671172022355e-09,301289,469327,1.856679675138208,1.854324339397677,-0.0023553357405310393,1.6745122756675985,1.675709019071341,0.0011967434037425395
rec_buy_15_60,223152,0.28957613130275,0.3578535447250177,1.9464981827609698,1.9950825901791078,1.9458675386063535,-0.0006306441546162223,-0.11030836464095481,-0.029441183142292143,91454,131698,2.09020918735913,2.0957143946310404,0.005505207271910173,1.8407647468561275,1.8353089244359029,-0.005455822420224576
w180_days_buy_2_15,438482,0.5690019413040995,0.7057008822523242,1.9495953240627504,2.009706412715916,1.949322038681011,-0.0002732853817393188,0.048415257800962314,0.004930679469031512,159450,279032,2.254430898541947,2.251391475047145,-0.003039423494801685,1.7536255781944037,1.7553601162359447,0.0017345380415410006
rec15_60_intersect_w180_2_15,181406,0.23540388468446022,0.30322301622088954,1.9870033452719378,2.0296516779659526,1.9862886747753516,-0.0007146704965861339,-0.0981682965002709,-0.0261585991787498,74419,106987,2.1491773513465793,2.155104731687904,0.005927380341324895,1.8666246588939845,1.8606020598726216,-0.006022599021362929
hist_purchase_days_0,82278,0.10676913015042512,0.04918699528320439,1.1967583539088598,1.2100091648311837,1.1967146609779968,-4.369293086292636e-05,-0.006070064167029172,-0.022308210914222016,72336,9942,0.468419561550345,0.46166387717944507,-0.006755684370899906,3.224614033773884,3.231672721735254,0.0070586879613698805
hist_purchase_days_1,52852,0.06858409376394987,0.05795512417918578,1.6304709382513844,1.6674810480934563,1.629787632336514,-0.0006833059148705356,0.17728284106321684,-0.025994368397862445,39068,13784,0.9728045987318016,0.9484962347930446,-0.024308363938757016,2.7560685500816193,2.778839686320785,0.022771136239165823
hist_purchase_days_2_3,91970,0.1193460815762974,0.127872197271792,1.832673732303573,1.8876519153761948,1.8326311091079703,-4.262319560277561e-05,0.19429611711185482,-0.018104679817936474,57597,34373,1.3641581496586577,1.3410725019717986,-0.023085647686859057,2.4297031617298113,2.451355599675703,0.021652437945891556
hist_purchase_days_4_10,215066,0.2790832269249535,0.3620297225198557,2.007901258041398,2.065485113847477,2.007773931454921,-0.00012732658647696127,0.10721192572799,-0.004665593029321786,90941,124125,2.0991902779422755,2.0907886767799373,-0.008401601162338235,1.936689955399379,1.9432568962349765,0.006566940835597501
hist_purchase_days_11_plus,328450,0.42621746758437407,0.40295596074596235,1.6760607250278805,1.7356956800370378,1.6756346712450159,-0.0004260537828646438,-0.14417536590315286,0.017017656435035416,41347,287103,3.323295774994494,3.3452621392056883,0.021966364211194467,1.2659802600292107,1.25682472463534,-0.009155535393870817
long_recency_gt60,114155,0.1481347389620771,0.1567086231070093,1.7901295317941275,1.8257259511783637,1.7895376273732888,-0.0005919044208386737,-0.10032767882718804,-0.021720714694466656,74904,39251,1.2556308834551961,1.262445984371425,0.006815100916228944,2.5131951022231895,2.5054301987808336,-0.007764903442355919
actual_target_zero,301289,0.39097163827379655,0.4384736708809842,1.856679675138208,1.8721124180734168,1.854324339397677,-0.0023553357405310393,-1.5197678523888327,-1.5377665872457484,301289,0,1.856679675138208,1.854324339397677,-0.0023553357405310393,nan,nan,nan
actual_target_positive,469327,0.6090283617262034,0.5615263291190159,1.6745122756675985,1.7538515496649385,1.675709019071341,0.0011967434037425395,0.9652801028690073,0.9767120055508476,0,469327,nan,nan,nan,1.6745122756675985,1.675709019071341,0.0011967434037425395
rare_buyers_x1_3,144822,0.18793017534024728,0.18582732145097777,1.7617374302529911,1.8105865390408005,1.7614790013539827,-0.0002584288990084005,0.18810132893195303,-0.020977433390987704,96665,48157,1.2215675160682602,1.1983838790892007,-0.023183636979059452,2.5268997768497465,2.5488628500223443,0.021963073172597714
frequent_buyers_x11_plus,328450,0.42621746758437407,0.40295596074596235,1.6760607250278805,1.7356956800370378,1.6756346712450159,-0.0004260537828646438,-0.14417536590315286,0.017017656435035416,41347,287103,3.323295774994494,3.3452621392056883,0.021966364211194467,1.2659802600292107,1.25682472463534,-0.009155535393870817
