fold,past,future,weighted_count,row_rate_within_past
2025-09-04,no_purchase,no_purchase,30109.0,0.7993469084344387
2025-09-04,no_purchase,catalog_heavy,409.0,0.010858310988398333
2025-09-04,no_purchase,mixed,164.0,0.004353943770409111
2025-09-04,no_purchase,search_heavy,6985.0,0.1854408368067539
2025-09-04,catalog_heavy,no_purchase,1927.0,0.4442139234670355
2025-09-04,catalog_heavy,catalog_heavy,652.0,0.15029967727063162
2025-09-04,catalog_heavy,mixed,216.0,0.04979253112033195
2025-09-04,catalog_heavy,search_heavy,1543.0,0.35569386814200094
2025-09-04,mixed,no_purchase,1855.0,0.24936147331630595
2025-09-04,mixed,catalog_heavy,629.0,0.08455437558811668
2025-09-04,mixed,mixed,682.0,0.09167898911143971
2025-09-04,mixed,search_heavy,4273.0,0.5744051619841376
2025-09-04,search_heavy,no_purchase,41482.0,0.2982728619296202
2025-09-04,search_heavy,catalog_heavy,2530.0,0.01819175403022851
2025-09-04,search_heavy,mixed,3229.0,0.023217855242532753
2025-09-04,search_heavy,search_heavy,91833.0,0.6603175287976185
2025-09-18,no_purchase,no_purchase,29993.0,0.791748059764532
2025-09-18,no_purchase,catalog_heavy,447.0,0.011799799377012829
2025-09-18,no_purchase,mixed,189.0,0.004989176917797371
2025-09-18,no_purchase,search_heavy,7253.0,0.19146296394065784
2025-09-18,catalog_heavy,no_purchase,1845.0,0.42678695350451074
2025-09-18,catalog_heavy,catalog_heavy,702.0,0.16238723108952116
2025-09-18,catalog_heavy,mixed,250.0,0.057830210501966225
2025-09-18,catalog_heavy,search_heavy,1526.0,0.35299560490400184
2025-09-18,mixed,no_purchase,1836.0,0.24405157516948026
2025-09-18,mixed,catalog_heavy,631.0,0.08387611325269174
2025-09-18,mixed,mixed,701.0,0.09318091187026452
2025-09-18,mixed,search_heavy,4355.0,0.5788913997075634
2025-09-18,search_heavy,no_purchase,40757.0,0.28844915320212033
2025-09-18,search_heavy,catalog_heavy,2608.0,0.018457575178524668
2025-09-18,search_heavy,mixed,3416.0,0.024176026384141205
2025-09-18,search_heavy,search_heavy,94516.0,0.6689172452352138
2025-10-02,no_purchase,no_purchase,30396.0,0.7959151610369206
2025-10-02,no_purchase,catalog_heavy,434.0,0.011364231474207908
2025-10-02,no_purchase,mixed,201.0,0.005263157894736842
2025-10-02,no_purchase,search_heavy,7159.0,0.1874574495941346
2025-10-02,catalog_heavy,no_purchase,1821.0,0.4183321847002068
2025-10-02,catalog_heavy,catalog_heavy,667.0,0.15322765908568803
2025-10-02,catalog_heavy,mixed,250.0,0.05743165632896853
2025-10-02,catalog_heavy,search_heavy,1615.0,0.3710084998851367
2025-10-02,mixed,no_purchase,1875.0,0.24382314694408322
2025-10-02,mixed,catalog_heavy,653.0,0.08491547464239271
2025-10-02,mixed,mixed,724.0,0.094148244473342
2025-10-02,mixed,search_heavy,4438.0,0.577113133940182
2025-10-02,search_heavy,no_purchase,40980.0,0.2856525466851618
2025-10-02,search_heavy,catalog_heavy,2791.0,0.019454764709572636
2025-10-02,search_heavy,mixed,3583.0,0.024975428862199483
2025-10-02,search_heavy,search_heavy,96107.0,0.669917259743066
2025-10-16,no_purchase,no_purchase,30899.0,0.7970438775246989
2025-10-16,no_purchase,catalog_heavy,438.0,0.011298269146438982
2025-10-16,no_purchase,mixed,184.0,0.004746304846905873
2025-10-16,no_purchase,search_heavy,7246.0,0.1869115484819563
2025-10-16,catalog_heavy,no_purchase,1888.0,0.4272459832541299
2025-10-16,catalog_heavy,catalog_heavy,651.0,0.14731839782756279
2025-10-16,catalog_heavy,mixed,254.0,0.05747906766236705
2025-10-16,catalog_heavy,search_heavy,1626.0,0.36795655125594023
2025-10-16,mixed,no_purchase,1914.0,0.23835616438356164
2025-10-16,mixed,catalog_heavy,661.0,0.08231631382316314
2025-10-16,mixed,mixed,786.0,0.0978829389788294
2025-10-16,mixed,search_heavy,4669.0,0.5814445828144458
2025-10-16,search_heavy,no_purchase,41712.0,0.2853800209355309
2025-10-16,search_heavy,catalog_heavy,2853.0,0.01951930379097309
2025-10-16,search_heavy,mixed,3576.0,0.024465836087108228
2025-10-16,search_heavy,search_heavy,98022.0,0.6706348391863878
wcv_weighted,no_purchase,no_purchase,2.3538200076882565,0.7961879472592084
wcv_weighted,no_purchase,catalog_heavy,0.03356480874149189,0.011353415335390298
wcv_weighted,no_purchase,mixed,0.01445735279581279,0.0048902507446206
wcv_weighted,no_purchase,search_heavy,0.5545201015059031,0.18756838666078077
wcv_weighted,catalog_heavy,no_purchase,0.14366721860772164,0.42596623308322734
wcv_weighted,catalog_heavy,catalog_heavy,0.05096846852390104,0.1511190009352647
wcv_weighted,catalog_heavy,mixed,0.01922093502324118,0.056989126451616794
wcv_weighted,catalog_heavy,search_heavy,0.12341710390513402,0.3659256395298911
wcv_weighted,mixed,no_purchase,0.14536003491893068,0.24126251190242687
wcv_weighted,mixed,catalog_heavy,0.05021930184663547,0.0833518987269282
wcv_weighted,mixed,mixed,0.057765955821839715,0.0958775196483297
wcv_weighted,mixed,search_heavy,0.34915210235689553,0.5795080697223154
wcv_weighted,search_heavy,no_purchase,3.1836807590593716,0.2867182100953793
wcv_weighted,search_heavy,catalog_heavy,0.2139985018047907,0.01927243088867069
wcv_weighted,search_heavy,mixed,0.27182572062230353,0.02448027612471432
wcv_weighted,search_heavy,search_heavy,7.434361626777771,0.6695290828912358
