feature,n_audit,status,matched,max_abs_pearson,max_abs_spearman
fp_uid_rank_frac,50000,KEPT,w180_cart2ord,0.013339712975293593,0.01472915317049731
fp_uid_rank_bucket256,50000,REMOVED_NEAR,fp_uid_rank_frac,0.9999923645168637,0.9999922855930968
fp_uid_rank_bucket4096,50000,REMOVED_NEAR,fp_uid_rank_frac,0.9999999699938747,0.9999999645268953
fp_uid_bits_low16,50000,KEPT,fp_uid_rank_frac,0.06730058972161217,0.06709460654007728
fp_uid_bits_high16,50000,KEPT,fp_uid_rank_frac,0.997428940322229,0.9974508087203314
fp_sample_rank_frac,50000,REMOVED_EXACT,fp_uid_rank_frac,1.0,1.0
fp_sample_id_neighborhood,50000,REMOVED_CONSTANT,,1.0,1.0
fp_first_observed_day,50000,REMOVED_NEAR,tenure_frac,0.9999999999999987,1.0
fp_last_observed_day,50000,REMOVED_NEAR,rec_any,0.9999999999999997,0.9999999999999999
fp_observed_days,50000,REMOVED_NEAR,w365_days_present,1.0,1.0
fp_active_months,50000,KEPT,tenure_frac,0.8729962164604589,0.6488008932300819
fp_month_mask_lo7,50000,KEPT,fp_active_months,0.7884830859703903,0.9395932098260122
fp_month_mask_hi7,50000,KEPT,rec_any,0.7557315578017646,0.42207176803951524
fp_initial_missing_prefix,50000,REMOVED_NEAR,tenure_frac,0.9999999999999987,1.0
fp_longest_internal_absence,50000,REMOVED_NEAR,gap_max_frac,1.0,1.0
fp_rows_q0,50000,KEPT,w365_days_present,0.9096883646020011,0.8845314747894096
fp_rows_q1,50000,KEPT,w365_days_present,0.9463796750707002,0.9360041242818468
fp_rows_q2,50000,KEPT,w90_days_present,0.9802446794846891,0.9772753497988665
fp_rows_q3,50000,KEPT,w14_presence_rate,0.987790765729784,0.9867534207187858
fp_rows_q4,50000,REMOVED_CONSTANT,,1.0,1.0
fp_raw_file_count,50000,REMOVED_CONSTANT,,1.0,1.0
fp_partition_count,50000,REMOVED_CONSTANT,,1.0,1.0
fp_rowgroup_count,50000,KEPT,gap_mean,0.02172603783488438,0.02227888891428979
fp_rowgroup_first,50000,REMOVED_NEAR,fp_uid_rank_frac,0.9999907094188026,0.9999918664723516
fp_rowgroup_last,50000,REMOVED_NEAR,fp_uid_rank_frac,0.9999907077312826,0.9999918666929855
fp_rowgroup_span,50000,REMOVED_NEAR,fp_rowgroup_count,1.0,1.0
fp_panel1_pass_count,50000,KEPT,fp_active_months,0.9054685601927775,0.7932179733947683
fp_panel3_pass_count,50000,KEPT,fp_panel1_pass_count,0.930323164432608,0.8978115620714564
fp_panel1_first_day,50000,KEPT,fp_panel1_pass_count,0.8507410869596241,0.6421102121287253
fp_panel3_first_day,50000,KEPT,fp_active_months,0.905057693301399,0.8136027099350022
