cutoff,blocks,rows,mapped_panel_invariant,numeric_marginals_checked,numeric_marginals_identical
2025-04-03,1,197912,True,True,True
2025-04-10,1,198671,True,False,True
2025-04-17,1,199382,True,False,True
2025-04-24,1,199994,True,False,True
2025-05-01,1,200639,True,False,True
2025-05-08,1,201274,True,False,True
2025-05-15,1,201556,True,False,True
2025-05-22,1,202557,True,False,True
2025-05-29,1,203292,True,False,True
2025-06-05,1,203992,True,False,True
2025-06-12,1,205122,True,False,True
2025-06-19,1,205683,True,False,True
2025-06-26,1,206429,True,False,True
2025-07-03,1,207093,True,False,True
2025-07-10,1,207577,True,False,True
2025-07-17,1,208274,True,False,True
2025-07-24,1,209056,True,False,True
2025-07-31,1,209914,True,False,True
2025-08-07,1,211018,True,False,True
2025-08-14,1,212368,True,False,True
2025-08-21,1,213792,True,False,True
2025-08-28,1,215249,True,False,True
2025-09-04,1,216510,True,False,True
2025-09-11,1,217820,True,False,True
2025-10-16,3,197379,True,True,True
