exp,arm,lam,head,kind,trained_on,prevalence,own_head,main_z_head,gap
FNL-BASE-L00-S42,BASE,0.0,any_cart_7,bin,false,0.5259779691696167,,0.7576562472340511,
FNL-BASE-L00-S42,BASE,0.0,any_cart_14,bin,false,0.6842268109321594,,0.7787422002965091,
FNL-BASE-L00-S42,BASE,0.0,any_cart_30,bin,false,0.8326671123504639,,0.8081357262140743,
FNL-BASE-L00-S42,BASE,0.0,log_cart_30,reg,false,1.8913331031799316,,0.606052986292241,
FNL-BASE-L00-S42,BASE,0.0,any_search_7,bin,false,0.7708165645599365,,0.7454813551611729,
FNL-BASE-L00-S42,BASE,0.0,any_search_14,bin,false,0.8877540230751038,,0.7702063674645662,
FNL-BASE-L00-S42,BASE,0.0,any_search_30,bin,false,0.9618044495582581,,0.8009413303246212,
FNL-BASE-L00-S42,BASE,0.0,log_search_30,reg,false,3.050333023071289,,0.5650795565860135,
FNL-BASE-L00-S42,BASE,0.0,buy30,bin,false,0.6128615736961365,,0.8425774347452367,
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_cart_7,bin,true,0.5259779691696167,0.8123647509509954,0.7563581990886373,0.056006551862358034
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_cart_14,bin,true,0.6842268109321594,0.8334006206518744,0.7777437057524778,0.055656914899396615
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_cart_30,bin,true,0.8326671123504639,0.8619682190747984,0.8077049642606605,0.05426325481413785
FNL-FUNNEL-L30-S42,FUNNEL,0.3,log_cart_30,reg,true,1.8913331031799316,0.7736467834804844,0.603366660839761,0.17028012264072345
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_search_7,bin,true,0.7708165645599365,0.8327671696821368,0.7445717937591427,0.08819537592299409
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_search_14,bin,true,0.8877540230751038,0.8629643236139961,0.7699192442513896,0.09304507936260653
FNL-FUNNEL-L30-S42,FUNNEL,0.3,any_search_30,bin,true,0.9618044495582581,0.9002247129367519,0.8024350121187496,0.09778970081800231
FNL-FUNNEL-L30-S42,FUNNEL,0.3,log_search_30,reg,true,3.050333023071289,0.7842866675036434,0.5638318618798275,0.22045480562381592
FNL-FUNNEL-L30-S42,FUNNEL,0.3,buy30,bin,false,0.6128615736961365,,0.8423255391431888,
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,any_cart_7,bin,false,0.5259779691696167,,0.7577013567560681,
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,any_cart_14,bin,false,0.6842268109321594,,0.7791174148225507,
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,any_cart_30,bin,false,0.8326671123504639,,0.8091942388075222,
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,log_cart_30,reg,false,1.8913331031799316,,0.6071837631365958,
