exp,arm,lam,epoch,train_mse,train_aux,grad_norm,rmsle,rmsle_cal,bias,offset
FNL-BASE-L00-S42,BASE,0.0,1,3.234236375957736,,2.6879962962774737,1.7563733343936643,1.7515056068434864,0.13067298226381263,0.13067287004175224
FNL-BASE-L00-S42,BASE,0.0,2,3.1706624227524602,,1.4270367287422496,1.7484156039832979,1.7471231650375412,-0.06721062369321862,-0.06723588449326069
FNL-BASE-L00-S42,BASE,0.0,3,3.1503079407504155,,0.9370723595825023,1.7473683915693852,1.7470630109395489,0.03266697220827064,0.03266698122903768
FNL-BASE-L00-S42,BASE,0.0,4,3.1356892815469246,,0.7173940861572268,1.7479237997523942,1.7471317720499147,0.05261354737306556,0.052613504298541426
FNL-FUNNEL-L30-S42,FUNNEL,0.3,1,3.2261549241257725,0.6667212392541614,2.474892287874015,1.7566301847630699,1.7474604766656279,0.1792524366858097,0.17925258300028132
FNL-FUNNEL-L30-S42,FUNNEL,0.3,2,3.166092048432608,0.6527157270360233,1.3512797724272485,1.7509281306426192,1.7492036720272226,-0.0776900739190487,-0.07769129488195478
FNL-FUNNEL-L30-S42,FUNNEL,0.3,3,3.144562027488843,0.6497248128925442,0.9224860209083813,1.748281636554517,1.747797176702831,-0.04114098257993737,-0.04117464733130689
FNL-FUNNEL-L30-S42,FUNNEL,0.3,4,3.1285296944163816,0.6480577674971656,0.7266167167209486,1.7469716924627792,1.7469710001318608,-0.00146836943601647,-0.0015555300043723793
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,1,3.232331296539738,0.7213832450686898,2.8516794776606296,1.7525107439410674,1.7496094636906891,0.10080008797670326,0.10079996127406525
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,2,3.1715164795423934,0.7135006762628315,1.6256823171605654,1.7518529321269098,1.7482975946299335,-0.11155385680173913,-0.11155387098721453
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,3,3.1500072449524477,0.7110935458573201,1.0752396855975714,1.746081514150258,1.7460799467988164,-0.0023264379022029935,-0.002339602670780497
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,4,3.135278196083528,0.7093445659022266,0.8220346533023637,1.7459965458956423,1.7459117188153948,0.017210772562274546,0.017210705464583295
FNL-CART-L30-S42,CART,0.3,1,3.2264245412976416,0.6714419614729977,2.4774808902070324,1.7546844129453691,1.7491903995885887,0.13874559693361244,0.13874557658011472
FNL-CART-L30-S42,CART,0.3,2,3.167376967993455,0.6599150705908612,1.3191142262123874,1.7490236972128357,1.7490171556988403,0.004783680963763803,0.00478356385927975
FNL-CART-L30-S42,CART,0.3,3,3.1477649422603524,0.6574152592825196,0.9049379046497046,1.7470293530227825,1.7469728266738223,-0.014015862416973501,-0.014054463830792197
FNL-CART-L30-S42,CART,0.3,4,3.133916589003736,0.6559718185476433,0.7143975188113204,1.7476611832641202,1.7474090605573154,0.029684832620868296,0.029684786850260634
FNL-FUNNEL-L10-S42,FUNNEL,0.1,1,3.226696378371375,0.6747136427499821,2.4881219418703253,1.7514542631922836,1.74714050425749,0.12284999184633216,0.12284988578467765
FNL-FUNNEL-L10-S42,FUNNEL,0.1,2,3.166933189429877,0.6564434467891541,1.3490441458277445,1.7478342460459342,1.7472145006103512,-0.04647416777586022,-0.04656858331592823
FNL-FUNNEL-L10-S42,FUNNEL,0.1,3,3.147119354436393,0.6525627051643393,0.9105822109501502,1.7470649208901958,1.746914245217493,-0.022363373708477408,-0.023127895030283892
FNL-FUNNEL-L10-S42,FUNNEL,0.1,4,3.1324480230159426,0.6505821490829585,0.7030666723619655,1.746028731594973,1.7459517301422516,0.016397765207538217,0.016397791571659718
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,1,3.234881560163175,0.7229572059427176,2.8024752755664393,1.761987738527825,1.7507818348213797,0.1984031706335636,0.19840301807654762
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,2,3.170819026738516,0.7143283969442848,1.5191485002076808,1.7504404514356755,1.7481003383311389,-0.09047574706052819,-0.09049018969598269
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,3,3.1498603278108903,0.7119561795408194,0.9900193997081377,1.7472230933640047,1.7472179849943945,0.004225066232928842,0.004225032142933915
