segment,exp,arm,lam,n,share,mse_share,rmsle,auc,d_vs_BASE,d_vs_BUYCTRL,d_auc_vs_BASE
ВСЕ,FNL-BASE-L00-S42,BASE,0.0,197379,1.0,1.0,1.7471317720924608,0.8425774347452367,0.0,,0.0
ВСЕ,FNL-FUNNEL-L30-S42,FUNNEL,0.3,197379,1.0,1.0,1.7469710001727266,0.8423255391431888,-0.00016077191973429272,0.001059281312328686,-0.000251895602047969
ВСЕ,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,197379,1.0,1.0,1.7459117188603979,0.8429491224151204,-0.0012200532320629787,,0.0003716876698837135
ВСЕ,FNL-CART-L30-S42,CART,0.3,197379,1.0,1.0,1.7474090605996635,0.8426454683912651,0.0002772885072026554,0.001497341739265634,0.00006803364602836481
ВСЕ,FNL-FUNNEL-L10-S42,FUNNEL,0.1,197379,1.0,1.0,1.745951730188639,0.8426238145580158,-0.0011800419038219268,-0.00008175020594869409,0.00004637981277910708
ВСЕ,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,197379,1.0,1.0,1.7460334803945876,0.8429173350537578,-0.0010982916978732327,,0.00033990030852104614
ВСЕ,FNL-CART-L10-S42,CART,0.1,197379,1.0,1.0,1.7460895934971516,0.8427685910607631,-0.0010421785953091955,0.00005611310256403712,0.00019115631552635293
ВСЕ,FNL-BASER2-L00-S42,BASE-R2,0.0,197379,1.0,1.0,1.7474646568192642,0.842288875911248,0.000332884726803373,,-0.00028855883398870574
rec_buy 15-60,FNL-BASE-L00-S42,BASE,0.0,56145,0.28445275333242137,0.3524184600674224,1.9446879144415412,0.7181645358731851,0.0,,0.0
rec_buy 15-60,FNL-FUNNEL-L30-S42,FUNNEL,0.3,56145,0.28445275333242137,0.35258173769495815,1.9449593625934123,0.7183700932877266,0.00027144815187107874,0.0004165021414264114,0.0002055574145415351
rec_buy 15-60,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,56145,0.28445275333242137,0.35285853106679355,1.9445428604519859,0.719355368615856,-0.00014505398955533266,,0.0011908327426709553
rec_buy 15-60,FNL-CART-L30-S42,CART,0.3,56145,0.28445275333242137,0.3523946719044405,1.9449309127101269,0.7187051049396328,0.000242998268585648,0.00038805225814098065,0.000540569066447727
rec_buy 15-60,FNL-FUNNEL-L10-S42,FUNNEL,0.1,56145,0.28445275333242137,0.3527832704650403,1.9443800338935624,0.7183788013990308,-0.0003078805479788116,0.0009393373659989379,0.00021426552584569158
rec_buy 15-60,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,56145,0.28445275333242137,0.35240948861696864,1.9434406965275635,0.7197229468302262,-0.0012472179139777495,,0.001558410957041123
rec_buy 15-60,FNL-CART-L10-S42,CART,0.1,56145,0.28445275333242137,0.35256158209868704,1.94392249874374,0.7189920646355216,-0.0007654156978011972,0.0004818022161765523,0.0008275287623364935
rec_buy 15-60,FNL-BASER2-L00-S42,BASE-R2,0.0,56145,0.28445275333242137,0.3523947325292121,1.9449929606637195,0.7175617151436109,0.0003050462221783068,,-0.0006028207295741828
w180_days_buy 2-15,FNL-BASE-L00-S42,BASE,0.0,111441,0.5646041372182451,0.7035930859765857,1.9503583546227945,0.7142264426285957,0.0,,0.0
w180_days_buy 2-15,FNL-FUNNEL-L30-S42,FUNNEL,0.3,111441,0.5646041372182451,0.7036210598575289,1.9502176495060548,0.7137815973722061,-0.00014070511673969222,0.0010328253936866538,-0.00044484525638954775
w180_days_buy 2-15,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,111441,0.5646041372182451,0.7037291468890144,1.9491848241123682,0.71510201888736,-0.001173530510426346,,0.0008755762587643323
w180_days_buy 2-15,FNL-CART-L30-S42,CART,0.3,111441,0.5646041372182451,0.7030783672593649,1.9499542540698054,0.7146400437791183,-0.0004041005529891173,0.0007694299574372288,0.00041360115052258006
w180_days_buy 2-15,FNL-FUNNEL-L10-S42,FUNNEL,0.1,111441,0.5646041372182451,0.7040481054772763,1.9496711787676653,0.7142497936666374,-0.0006871758551292295,0.00035124815510667595,0.000023351038041741212
