contrast,variant,alpha,delta_wcv,improved_folds,delta_20250904,delta_20250918,delta_20251002,delta_20251016
FRESH,GLOBAL,0.0,0.0,0,0.0,0.0,0.0,0.0
FRESH,GLOBAL,0.25,-9.625637454968583e-05,4,-9.59579127406407e-05,-6.91067615679053e-05,-8.1027729180283e-05,-0.00011069540820596302
FRESH,GLOBAL,0.5,-0.00016583650635017358,4,-0.0001684239050692149,-0.00011945379136379941,-0.00014038714427866417,-0.00018983344129264168
FRESH,GLOBAL,0.75,-0.00020873709843637715,4,-0.00021739499546513663,-0.0001510394797776815,-0.00017807603839625763,-0.00023740979599251588
FRESH,GLOBAL,1.0,-0.000224956130423933,4,-0.0002428692028486612,-0.00016386281691160853,-0.00019409301015738123,-0.00025342188488219897
FRESH,HIGH16,0.0,0.0,0,0.0,0.0,0.0,0.0
FRESH,HIGH16,0.25,-2.2079847187953897e-05,2,7.809757249366278e-05,6.373708798745881e-06,-1.8494271034841248e-05,-4.350820172138725e-05
FRESH,HIGH16,0.5,-2.748035937035394e-05,2,0.00017482966096227237,2.457459801519235e-05,-2.2941678459398318e-05,-6.805219171379662e-05
FRESH,HIGH16,0.75,-1.6201332782224872e-05,2,0.00029019321112322416,5.460230083742523e-05,-1.3342115094072682e-05,-7.363116801939462e-05
FRESH,HIGH16,1.0,1.1756944185966253e-05,1,0.0004241845743897521,9.645621213505429e-05,1.030418771863495e-05,-6.0244948343113336e-05
VOL,GLOBAL,0.0,0.0,0,0.0,0.0,0.0,0.0
VOL,GLOBAL,0.25,-4.912983991071466e-06,3,-3.157036151701931e-05,-2.2798012657254674e-05,3.556982543395648e-06,-1.344537901015741e-06
VOL,GLOBAL,0.5,-7.46209442488895e-06,3,-6.027758075122236e-05,-4.283199871046861e-05,9.674876089382778e-06,-5.861678198382236e-07
VOL,GLOBAL,0.75,-7.647318048172498e-06,2,-8.612151814046953e-05,-6.010186379423743e-05,1.835365375879583e-05,2.2751074963967e-06
VOL,GLOBAL,1.0,-5.468651335061025e-06,2,-0.00010910204803460388,-7.460752656163194e-05,2.9593277421247066e-05,7.239277680870515e-06
VOL,HIGH16,0.0,0.0,0,0.0,0.0,0.0,0.0
VOL,HIGH16,0.25,-3.63047408386367e-06,3,-1.9165696119261e-05,-2.349380812560753e-06,1.5111632232223116e-06,-4.579663300807724e-06
VOL,HIGH16,0.5,-6.023237843925481e-06,3,-3.681229568419653e-05,-3.3276969122475464e-06,4.44883825601039e-06,-8.08452889677902e-06
VOL,HIGH16,0.75,-7.178286397276542e-06,3,-5.293975317788302e-05,-2.9349460131111726e-06,8.813017908115839e-06,-1.0514590298438264e-05
VOL,HIGH16,1.0,-7.095617540908705e-06,3,-6.754802699981965e-05,-1.1711290328619839e-06,1.4603691499193161e-05,-1.186984300560745e-05
