family,status,alpha,wcv,delta_wcv,improved_folds,fold_2025_10_16_delta,reason
SAFE-ANCHOR,BLOCKED_NOT_RUN,0,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,BLOCKED_NOT_RUN,0.05,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,BLOCKED_NOT_RUN,0.10,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,BLOCKED_NOT_RUN,0.20,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,BLOCKED_NOT_RUN,0.30,,,,,missing canonical z_latest OOF
BTYD05,BLOCKED_NOT_RUN,0,,,,,missing canonical z_latest OOF
BTYD05,BLOCKED_NOT_RUN,0.05,,,,,missing canonical z_latest OOF
BTYD05,BLOCKED_NOT_RUN,0.25,,,,,missing canonical z_latest OOF
BTYD05,BLOCKED_NOT_RUN,0.50,,,,,missing canonical z_latest OOF
BTYD05,BLOCKED_NOT_RUN,1.00,,,,,missing canonical z_latest OOF
FRESH,BLOCKED_NOT_RUN,0,,,,,missing canonical z_latest OOF
FRESH,BLOCKED_NOT_RUN,0.25,,,,,missing canonical z_latest OOF
FRESH,BLOCKED_NOT_RUN,0.50,,,,,missing canonical z_latest OOF
FRESH,BLOCKED_NOT_RUN,1.00,,,,,missing canonical z_latest OOF
SEQ65,BLOCKED_NOT_RUN,0,,,,,missing canonical z_latest OOF
SEQ65,BLOCKED_NOT_RUN,0.25,,,,,missing canonical z_latest OOF
SEQ65,BLOCKED_NOT_RUN,0.50,,,,,missing canonical z_latest OOF
SEQ65,BLOCKED_NOT_RUN,1.00,,,,,missing canonical z_latest OOF
