family,segment,status,rows,baseline_rmsle,candidate_rmsle,delta_rmsle,reason
SAFE-ANCHOR,rec_buy_15_60,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,w180_days_buy_0_1,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,w180_days_buy_2_15,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,w180_days_buy_16_plus,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SAFE-ANCHOR,never_purchased,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
BTYD05,rec_buy_15_60,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
BTYD05,w180_days_buy_0_1,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
BTYD05,w180_days_buy_2_15,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
BTYD05,w180_days_buy_16_plus,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
BTYD05,never_purchased,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
FRESH,rec_buy_15_60,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
FRESH,w180_days_buy_0_1,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
FRESH,w180_days_buy_2_15,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
FRESH,w180_days_buy_16_plus,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
FRESH,never_purchased,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SEQ65,rec_buy_15_60,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SEQ65,w180_days_buy_0_1,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SEQ65,w180_days_buy_2_15,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SEQ65,w180_days_buy_16_plus,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
SEQ65,never_purchased,BLOCKED_NOT_RUN,,,,,missing canonical z_latest OOF
