fold,h,col,poison,rate,mean_p,auc,auc_mix_z,brier,bias
2025-09-04,7,haz_p7,false,0.28486,0.28726,0.80032,0.79776,0.15422,0.0024
2025-09-04,14,haz_p14,false,0.42906,0.43104,0.81633,0.81454,0.1718,0.00197
2025-09-04,21,haz_p21,false,0.52246,0.52353,0.8283,0.82652,0.16902,0.00107
2025-09-04,30,haz_p30,false,0.60018,0.60378,0.84127,0.83982,0.15864,0.0036
2025-09-04,45,haz_p45,false,0.68886,0.69161,0.85486,0.85357,0.14074,0.00274
2025-09-04,60,haz_p60,false,0.74167,0.75037,0.865,0.86358,0.12608,0.0087
2025-09-18,7,haz_p7,false,0.29711,0.2924,0.80051,0.79715,0.15755,-0.00471
2025-09-18,14,haz_p14,false,0.43828,0.43531,0.81887,0.81656,0.17146,-0.00297
2025-09-18,21,haz_p21,false,0.52726,0.52755,0.83167,0.8298,0.16735,0.00029
2025-09-18,30,haz_p30,false,0.61036,0.60867,0.84337,0.84175,0.15671,-0.00169
2025-09-18,45,haz_p45,false,0.69096,0.69853,0.85685,0.85518,0.13953,0.00757
2025-09-18,60,haz_p60,true,0.74766,0.75438,0.86695,0.86524,0.12378,0.00672
2025-10-02,7,haz_p7,false,0.29442,0.29594,0.80333,0.79961,0.156,0.00152
2025-10-02,14,haz_p14,false,0.44924,0.44187,0.82075,0.81781,0.17137,-0.00738
2025-10-02,21,haz_p21,false,0.53906,0.53615,0.8339,0.83139,0.16599,-0.00291
2025-10-02,30,haz_p30,false,0.61242,0.61821,0.84548,0.84331,0.1555,0.00579
2025-10-02,45,haz_p45,true,0.69787,0.70329,0.85956,0.85738,0.13712,0.00541
2025-10-02,60,haz_p60,true,0.75078,0.75804,0.86832,0.86671,0.12259,0.00727
2025-10-16,7,haz_p7,false,0.30363,0.30714,0.80514,0.80167,0.15745,0.00351
2025-10-16,14,haz_p14,false,0.44173,0.4547,0.82068,0.81823,0.17104,0.01297
2025-10-16,21,haz_p21,false,0.52981,0.54685,0.83395,0.83149,0.16648,0.01704
2025-10-16,30,haz_p30,false,0.61286,0.62372,0.84665,0.84419,0.15497,0.01086
2025-10-16,45,haz_p45,true,0.69661,0.70724,0.85994,0.85779,0.13726,0.01063
2025-10-16,60,haz_p60,true,0.75276,0.76095,0.86967,0.86816,0.12158,0.00819
