arm,alpha,cutoff,score,delta,fixed_wcv,selected_when_held
REAL_E11,0.0,2025-09-04,1.766883359278252,0.0,1.7475098625535046,False
REAL_E11,0.0,2025-09-18,1.7605095766063483,0.0,1.7475098625535046,False
REAL_E11,0.0,2025-10-02,1.748629224024413,0.0,1.7475098625535046,False
REAL_E11,0.0,2025-10-16,1.741278566214246,0.0,1.7475098625535046,True
REAL_E11,0.025,2025-09-04,1.7669012688977965,1.7909619544509425e-05,1.7475027424594223,False
REAL_E11,0.025,2025-09-18,1.7605264471902693,1.6870583920969295e-05,1.7475027424594223,False
REAL_E11,0.025,2025-10-02,1.7486222251868402,-6.998837572824712e-06,1.7475027424594223,False
REAL_E11,0.025,2025-10-16,1.7412622591082048,-1.630710604128005e-05,1.7475027424594223,False
REAL_E11,0.05,2025-09-04,1.7669238393390339,4.0480060781833416e-05,1.7475000770405296,False
REAL_E11,0.05,2025-09-18,1.7605478126313103,3.8236024962001736e-05,1.7475000770405296,False
REAL_E11,0.05,2025-10-02,1.7486196139808639,-9.61004354915751e-06,1.7475000770405296,True
REAL_E11,0.05,2025-10-16,1.7412504043853545,-2.816182889153751e-05,1.7475000770405296,False
REAL_E11,0.075,2025-09-04,1.766951070423357,6.771114510506493e-05,1.7475018663168433,True
REAL_E11,0.075,2025-09-18,1.7605736727658299,6.409615948155256e-05,1.7475018663168433,True
REAL_E11,0.075,2025-10-02,1.7486213904261407,-7.833598272277698e-06,1.7475018663168433,False
REAL_E11,0.075,2025-10-16,1.7412430021366334,-3.556407761262648e-05,1.7475018663168433,False
REAL_E11,0.1,2025-09-04,1.7669829619352893,9.960265703723437e-05,1.7475081102743084,False
REAL_E11,0.1,2025-09-18,1.7606040273957702,9.445078942182938e-05,1.7475081102743084,False
REAL_E11,0.1,2025-10-02,1.7486275545092982,-1.669515114821607e-06,1.7475081102743084,False
REAL_E11,0.1,2025-10-16,1.7412400524188256,-3.8513795420414e-05,1.7475081102743084,False
REAL_E11,0.15,2025-09-04,1.7670607251957828,0.000177365917530814,1.7475339620061365,False
REAL_E11,0.15,2025-09-18,1.7606782191776573,0.00016864257130899674,1.7475339620061365,False
REAL_E11,0.15,2025-10-02,1.7486530453706268,2.382134621381482e-05,1.7475339620061365,False
REAL_E11,0.15,2025-10-16,1.7412475106323058,-3.10555819402758e-05,1.7475339620061365,False
REAL_E11,0.2,2025-09-04,1.7671571266596828,0.0002737673814308117,1.7475776314422464,False
REAL_E11,0.2,2025-09-18,1.760770385704534,0.0002608090981857103,1.7475776314422464,False
REAL_E11,0.2,2025-10-02,1.7486960857973533,6.686177294024098e-05,1.7475776314422464,False
REAL_E11,0.2,2025-10-16,1.7412727787969418,-5.787417304281561e-06,1.7475776314422464,False
DIRECT_CONTROL_E10,0.0,2025-09-04,1.766883359278252,0.0,1.7475098625535046,True
DIRECT_CONTROL_E10,0.0,2025-09-18,1.7605095766063483,0.0,1.7475098625535046,True
DIRECT_CONTROL_E10,0.0,2025-10-02,1.748629224024413,0.0,1.7475098625535046,True
DIRECT_CONTROL_E10,0.0,2025-10-16,1.741278566214246,0.0,1.7475098625535046,True
DIRECT_CONTROL_E10,0.025,2025-09-04,1.766912402477745,2.904319949292855e-05,1.7475186973292738,False
DIRECT_CONTROL_E10,0.025,2025-09-18,1.7605343310341306,2.4754427782269772e-05,1.7475186973292738,False
DIRECT_CONTROL_E10,0.025,2025-10-02,1.748649394313549,2.017028913603447e-05,1.7475186973292738,False
DIRECT_CONTROL_E10,0.025,2025-10-16,1.7412752272673633,-3.3389468827582647e-06,1.7475186973292738,False
DIRECT_CONTROL_E10,0.05,2025-09-04,1.7669466449295783,6.328565132629471e-05,1.747532455298833,False
DIRECT_CONTROL_E10,0.05,2025-09-18,1.7605640574555212,5.4480849172922063e-05,1.747532455298833,False
DIRECT_CONTROL_E10,0.05,2025-10-02,1.748674469701955,4.5245677541938534e-05,1.747532455298833,False
DIRECT_CONTROL_E10,0.05,2025-10-16,1.7412767738542567,-1.7923599893165942e-06,1.747532455298833,False
DIRECT_CONTROL_E10,0.075,2025-09-04,1.7669860863314826,0.00010272705323055575,1.747551136345239,False
DIRECT_CONTROL_E10,0.075,2025-09-18,1.760598755618675,8.917901232674552e-05,1.747551136345239,False
DIRECT_CONTROL_E10,0.075,2025-10-02,1.7487044499786224,7.522595420939027e-05,1.747551136345239,False
DIRECT_CONTROL_E10,0.075,2025-10-16,1.741283205961908,4.639747662071869e-06,1.747551136345239,False
DIRECT_CONTROL_E10,0.1,2025-09-04,1.7670307263353249,0.0001473670570728558,1.7475747403099455,False
DIRECT_CONTROL_E10,0.1,2025-09-18,1.760638425229647,0.00012884862329864966,1.7475747403099455,False
DIRECT_CONTROL_E10,0.1,2025-10-02,1.7487393348912839,0.00011011086687084948,1.7475747403099455,False
DIRECT_CONTROL_E10,0.1,2025-10-16,1.7412945235361785,1.5957321932491553e-05,1.7475747403099455,False
DIRECT_CONTROL_E10,0.15,2025-09-04,1.7671356005270666,0.00025224124881462195,1.7476367161520887,False
DIRECT_CONTROL_E10,0.15,2025-09-18,1.7607326774088434,0.000223100802495102,1.7476367161520887,False
DIRECT_CONTROL_E10,0.15,2025-10-02,1.7488238174092925,0.0001945933848794823,1.7476367161520887,False
DIRECT_CONTROL_E10,0.15,2025-10-16,1.7413318146624261,5.3248448180109875e-05,1.7476367161520887,False
DIRECT_CONTROL_E10,0.2,2025-09-04,1.7672612638030991,0.0003779045248470947,1.7477183807250922,False
DIRECT_CONTROL_E10,0.2,2025-09-18,1.7608468108000757,0.00033723419372733154,1.7477183807250922,False
DIRECT_CONTROL_E10,0.2,2025-10-02,1.7489279144131167,0.0002986903887036707,1.7477183807250922,False
DIRECT_CONTROL_E10,0.2,2025-10-16,1.7413886459775831,0.0001100797633371009,1.7477183807250922,False
