cutoff,arm,recipient_side,segment,n,base_score,candidate_score,delta
2025-09-04,REAL,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,REAL,0,RECENT_SEARCH,76976,1.784529390605015,1.784529390605015,0.0
2025-09-04,REAL,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,REAL,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,REAL,1,RECENT_SEARCH,77089,1.7889000399779489,1.7889000399779489,0.0
2025-09-04,REAL,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-04,PLACEBO,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,PLACEBO,0,RECENT_SEARCH,76976,1.784529390605015,1.784529390605015,0.0
2025-09-04,PLACEBO,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,PLACEBO,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,PLACEBO,1,RECENT_SEARCH,77089,1.7889000399779489,1.7889000399779489,0.0
2025-09-04,PLACEBO,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-04,CONTROL_ONLY,0,ALL,94169,1.765742687191174,1.765742687191174,0.0
2025-09-04,CONTROL_ONLY,0,RECENT_SEARCH,76976,1.784529390605015,1.784529390605015,0.0
2025-09-04,CONTROL_ONLY,0,LOW_BUY90,30901,1.6486299996040956,1.6486299996040956,0.0
2025-09-04,CONTROL_ONLY,1,ALL,94349,1.7680144376125488,1.7680144376125488,0.0
2025-09-04,CONTROL_ONLY,1,RECENT_SEARCH,77089,1.7889000399779489,1.7889000399779489,0.0
2025-09-04,CONTROL_ONLY,1,LOW_BUY90,31169,1.645043276424305,1.645043276424305,0.0
2025-09-18,REAL,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,REAL,0,RECENT_SEARCH,78122,1.7745270906060242,1.7745270906060242,0.0
