candidate,wcv,rmsle_2025-09-04,rmsle_2025-09-18,rmsle_2025-10-02,rmsle_2025-10-16,oracle_selected_share,oracle,fold,baseline,oracle_rmsle,delta,gain
STRONGEST,1.7475098625201952,1.7668833567997195,1.7605095767798136,1.748629223964952,1.7412785664479717,0.0012353753360947605,,,,,,
FULL_ETX,1.7478628557985951,1.7677364506088247,1.7612085005055362,1.7490444498254103,1.741451448257174,0.16290214581581489,,,,,,
FULL_SEQ,1.74776777550392,1.766753957295164,1.7604716642612257,1.7487947251578722,1.741705055763712,0.21536537004162903,,,,,,
DIST_FULL,1.7497739486269979,1.7692755348020044,1.7628405742374154,1.7509639888634425,1.7434745738342954,0.26109761541416215,,,,,,
FRESH,1.747284906392448,1.7666404876037531,1.7603457139640983,1.7484351309506052,1.7410251445690437,0.08658138424325475,,,,,,
BTYD05,1.7471888795027912,1.7662286884236902,1.7599386487719195,1.7483873415449236,1.741022230049331,0.0829790712884238,,,,,,
ZERO2D,1.747485106715659,1.7669191743415928,1.7605145128134958,1.7485844594677786,1.7412488203618983,0.05000804551164263,,,,,,
RIDGE_CONTROL,1.747716581036849,1.7670487865022573,1.7608738506118413,1.7488223008628898,1.7414578780469048,0.13983099234897797,,,,,,
,,,,,,,best_existing,2025-09-04,1.7668833567997195,1.7277678184394805,-0.039115538360239066,0.039115538360239066
,,,,,,,best_existing,2025-09-18,1.7605095767798136,1.7225297172676042,-0.03797985951220939,0.03797985951220939
,,,,,,,best_existing,2025-10-02,1.748629223964952,1.7118931760683822,-0.0367360478965697,0.0367360478965697
,,,,,,,best_existing,2025-10-16,1.7412785664479717,1.7036743474887572,-0.03760421895921451,0.03760421895921451
,,,,,,,best_existing,wCV,1.747509863,1.7099863162903566,-0.037523546709643515,0.037523546709643515
