oracle,segment,n,baseline,oracle_rmsle,gain
ETX_vs_SEQ,all,770616,1.7541854667714094,1.7333880978742973,0.020797368897112145
best_existing,all,770616,1.7541854667714094,1.7163336768560045,0.03785178991540494
ETX_vs_SEQ,y_zero,301289,1.8613335759766942,1.8398397398689383,0.021493836107755904
best_existing,y_zero,301289,1.8613335759766942,1.8220620067390285,0.03927156923766573
ETX_vs_SEQ,y_positive,469327,1.681806775387115,1.6614596805880733,0.020347094799041843
best_existing,y_positive,469327,1.681806775387115,1.6448825548645933,0.036924220522521756
ETX_vs_SEQ,rec_buy_15_60,223152,1.9526925559491837,1.930248918419913,0.0224436375292707
best_existing,rec_buy_15_60,223152,1.9526925559491837,1.9115791813637788,0.04111337458540487
ETX_vs_SEQ,w180_days_buy_2_15,438482,1.9552319174583952,1.9328301933130054,0.022401724145389768
best_existing,w180_days_buy_2_15,438482,1.9552319174583952,1.9145274748603127,0.04070444259808248
ETX_vs_SEQ,intersection,181406,1.9921649777051182,1.9696717390017058,0.022493238703412466
best_existing,intersection,181406,1.9921649777051182,1.951048739883397,0.041116237821721136
ETX_vs_SEQ,never_buyer,82278,1.2070383397120867,1.1923272392238473,0.014711100488239426
best_existing,never_buyer,82278,1.2070383397120867,1.1811538561502746,0.025884483561812166
ETX_vs_SEQ,frequent_buyer,163898,1.4075626903822596,1.3872836988425894,0.020278991539670166
best_existing,frequent_buyer,163898,1.4075626903822596,1.3702104395569747,0.037352250825284816
ETX_vs_SEQ,disagreement_low,256932,1.72788975389783,1.7137278991701936,0.014161854727636314
best_existing,disagreement_low,256932,1.72788975389783,1.694975438566253,0.03291431533157696
ETX_vs_SEQ,disagreement_medium,257309,1.7120377197630103,1.6991408174037734,0.012896902359236906
best_existing,disagreement_medium,257309,1.7120377197630103,1.6789430733312394,0.03309464643177096
ETX_vs_SEQ,disagreement_high,256375,1.8208665421737267,1.7862070335998996,0.03465950857382705
best_existing,disagreement_high,256375,1.8208665421737267,1.7737624084432184,0.04710413373050826
ETX_vs_SEQ,etx_much_greater_seq,77312,1.9025908091774404,1.8546159504958148,0.04797485868162554
best_existing,etx_much_greater_seq,77312,1.9025908091774404,1.8456217903662133,0.05696901881122707
ETX_vs_SEQ,seq_much_greater_etx,77070,1.8011660982409212,1.7530989564653114,0.04806714177560978
best_existing,seq_much_greater_etx,77070,1.8011660982409212,1.742892854436837,0.058273243804084274
ETX_vs_SEQ,neural_much_greater_tabular,77062,1.891594226225757,1.863643257515598,0.02795096871015912
best_existing,neural_much_greater_tabular,77062,1.891594226225757,1.828944262031591,0.06264996419416602
ETX_vs_SEQ,tabular_much_greater_neural,77062,1.8387213812519643,1.8150756303826299,0.023645750869334403
best_existing,tabular_much_greater_neural,77062,1.8387213812519643,1.7856698138616904,0.053051567390273835
ETX_vs_SEQ,prediction_decile_01,77063,1.1591963312684872,1.1488987157644233,0.01029761550406394
best_existing,prediction_decile_01,77063,1.1591963312684872,1.1381444357041504,0.021051895564336842
ETX_vs_SEQ,prediction_decile_02,77061,1.6082016112373472,1.5910082711279192,0.017193340109427968
best_existing,prediction_decile_02,77061,1.6082016112373472,1.5777167874707447,0.030484823766602442
ETX_vs_SEQ,prediction_decile_03,77063,1.8651494535028235,1.8441257658657844,0.0210236876370391
best_existing,prediction_decile_03,77063,1.8651494535028235,1.8266076013741455,0.038541852128678
ETX_vs_SEQ,prediction_decile_04,77061,1.986981075382681,1.9634772749276337,0.023503800455047408
best_existing,prediction_decile_04,77061,1.986981075382681,1.943490427189727,0.04349064819295401
ETX_vs_SEQ,prediction_decile_05,77061,2.0441705794510105,2.0199612711831834,0.02420930826782719
best_existing,prediction_decile_05,77061,2.0441705794510105,1.9997721431520155,0.04439843629899509
ETX_vs_SEQ,prediction_decile_06,77062,2.039673303093845,2.015842665160286,0.023830637933559107
best_existing,prediction_decile_06,77062,2.039673303093845,1.9967313344518949,0.04294196864195032
ETX_vs_SEQ,prediction_decile_07,77062,1.9690821207929876,1.946281578290579,0.022800542502408705
best_existing,prediction_decile_07,77062,1.9690821207929876,1.9284526831084632,0.04062943768452443
ETX_vs_SEQ,prediction_decile_08,77062,1.8062244451197207,1.7844020623506451,0.021822382769075555
best_existing,prediction_decile_08,77062,1.8062244451197207,1.7678792266294654,0.038345218490255295
ETX_vs_SEQ,prediction_decile_09,77062,1.5745750358569854,1.5538707820058608,0.02070425385112462
best_existing,prediction_decile_09,77062,1.5745750358569854,1.5376337107202833,0.03694132513670212
ETX_vs_SEQ,prediction_decile_10,77059,1.2069784097019596,1.1868090375210965,0.02016937218086312
best_existing,prediction_decile_10,77059,1.2069784097019596,1.168376682083703,0.03860172761825664
