candidate,scope,n,base_rmsle,candidate_rmsle,delta_rmsle,base_mse,candidate_mse,delta_mse,base_offset,candidate_offset,variance_correction,mean_correction,corr_correction_residual
GATE_REAL,combined,197379,1.7412785664479717,1.741272147092863,-6.419355108810976e-06,3.032051045971104,3.032028690241389,-2.2355729714984562e-05,-0.035387154112119984,-0.03542773984796004,1.7973093294676412e-06,4.058573584005393e-05,0.005173233951521816
GATE_REAL,recipient_side_0,98707,1.7335501862368747,1.7335411425613232,-9.043675551545505e-06,3.005196248201903,3.005164892952818,-3.135524908470799e-05,-0.03380893520430265,-0.03385225303920706,1.8067385898958302e-06,4.3317834904406656e-05,0.007115844983521849
GATE_REAL,recipient_side_1,98672,1.7489740950682746,1.7489702826072866,-3.812460988017463e-06,3.0589103852198902,3.0588970494434116,-1.3335776478662353e-05,-0.036965932830843894,-0.03700378549851522,1.7878617877066396e-06,3.7852667671322516e-05,0.0032335228734832093
GATE_SHUFFLED,combined,197379,1.7412785664479717,1.741280020427719,1.4539797472679084e-06,3.032051045971104,3.032056109540757,5.063569653351863e-06,-0.035387154112119984,-0.03528159696732964,7.924434123199372e-07,-0.00010555714479034842,-0.0013777170349973064
GATE_SHUFFLED,recipient_side_0,98707,1.7335501862368747,1.7335500793096037,-1.0692727103744915e-07,3.005196248201903,3.0051958774743333,-3.7072756953193675e-07,-0.03380893520430265,-0.03374450027783212,7.519760350063592e-07,-6.4434926470528e-05,0.00037341924980967506
GATE_SHUFFLED,recipient_side_1,98672,1.7489740950682746,1.7489771700534245,3.074985149842391e-06,3.0589103852198902,3.0589211413680855,1.0756148195234516e-05,-0.036965932830843894,-0.03681923888124879,8.295412704617243e-07,-0.00014669394959510064,-0.0031157919691857973
RESIDUAL_REAL,combined,197379,1.7412785664479717,1.741278566214246,-2.3372570545632243e-10,3.032051045971104,3.0320510451571403,-8.139635632176123e-10,-0.035387154112119984,-0.03538715403236848,0.0,0.0,
RESIDUAL_REAL,recipient_side_0,98707,1.7335501862368747,1.7335501861000768,-1.3679790633602806e-10,3.005196248201903,3.0051962477276106,-4.742921611011752e-10,-0.03380893520430265,-0.033808935206765395,0.0,0.0,
RESIDUAL_REAL,recipient_side_1,98672,1.7489740950682746,1.7489740947385854,-3.296891648574274e-10,3.0589103852198902,3.0589103840666545,-1.1532357291343942e-09,-0.036965932830843894,-0.03696593266884898,0.0,0.0,
RESIDUAL_SHUFFLED,combined,197379,1.7412785664479717,1.741278566214246,-2.3372570545632243e-10,3.032051045971104,3.0320510451571403,-8.139635632176123e-10,-0.035387154112119984,-0.03538715403236848,0.0,0.0,
RESIDUAL_SHUFFLED,recipient_side_0,98707,1.7335501862368747,1.7335501861000768,-1.3679790633602806e-10,3.005196248201903,3.0051962477276106,-4.742921611011752e-10,-0.03380893520430265,-0.033808935206765395,0.0,0.0,
RESIDUAL_SHUFFLED,recipient_side_1,98672,1.7489740950682746,1.7489740947385854,-3.296891648574274e-10,3.0589103852198902,3.0589103840666545,-1.1532357291343942e-09,-0.036965932830843894,-0.03696593266884898,0.0,0.0,
