control,direction,donor_side,feature_set,recipient_side,recipient_user_overlap,sample_weight_sum,shuffle_strata_preserved,n_donor,n_recipient,recipient_prediction_mean_after_center,selected_scale,winsor_p01,winsor_p99
REAL,0->1,0.0,DISAGREEMENT_ONLY,1.0,0,41976.87463080442,False,,,,,,
REAL,1->0,1.0,DISAGREEMENT_ONLY,0.0,0,42234.414040989825,False,,,,,,
REAL,0->1,0.0,STATE_ONLY,1.0,0,41976.87463080442,False,,,,,,
REAL,1->0,1.0,STATE_ONLY,0.0,0,42234.414040989825,False,,,,,,
REAL,0->1,0.0,COMBINED,1.0,0,41976.87463080442,False,,,,,,
REAL,1->0,1.0,COMBINED,0.0,0,42234.414040989825,False,,,,,,
SHUFFLED,0->1,0.0,COMBINED,1.0,0,41976.87463080442,True,,,,,,
SHUFFLED,1->0,1.0,COMBINED,0.0,0,42234.41404098983,True,,,,,,
REAL,0->1,,,,0,,,286545.0,98672.0,1.3826030207752882e-17,0.0,-1.5898530297247995,0.7142876524780699
REAL,1->0,,,,0,,,286692.0,98707.0,2.6778434933971984e-17,0.0,-1.591841172124191,0.7108662991706001
SHUFFLED,0->1,,,,0,,,286545.0,98672.0,1.4402114799742586e-19,0.0,-1.4702252499911341,0.525755245650318
SHUFFLED,1->0,,,,0,,,286692.0,98707.0,-1.9435960839173216e-18,0.0,-1.4944704770695774,0.5372484602123282
