control,direction,feature_set,mean_probability,n,probability_bin,winner_rate
REAL,0->1,DISAGREEMENT_ONLY,0.38284551730129096,565,3,0.3858407079646018
REAL,0->1,DISAGREEMENT_ONLY,0.4817801775064768,52495,4,0.4558719878083627
REAL,0->1,DISAGREEMENT_ONLY,0.516472858233129,45441,5,0.48469443894280495
REAL,0->1,DISAGREEMENT_ONLY,0.6424533636690648,170,6,0.9588235294117647
REAL,0->1,DISAGREEMENT_ONLY,0.7033754179131881,1,7,1.0
REAL,1->0,DISAGREEMENT_ONLY,0.3839379983503834,287,3,0.3623693379790941
REAL,1->0,DISAGREEMENT_ONLY,0.48245577285893615,51836,4,0.44459449031561077
REAL,1->0,DISAGREEMENT_ONLY,0.5161203795424124,46371,5,0.49638782859977143
REAL,1->0,DISAGREEMENT_ONLY,0.615654507307774,213,6,0.8403755868544601
REAL,0->1,STATE_ONLY,0.38783088897616436,250,3,0.412
REAL,0->1,STATE_ONLY,0.4760703913597844,58925,4,0.4652354688162919
REAL,0->1,STATE_ONLY,0.516079791580944,39437,5,0.47592362502218727
REAL,0->1,STATE_ONLY,0.6180048746522733,60,6,0.8666666666666667
REAL,1->0,STATE_ONLY,0.3882683297990018,195,3,0.4666666666666667
REAL,1->0,STATE_ONLY,0.47686446040557007,60084,4,0.46556487584049
REAL,1->0,STATE_ONLY,0.517584191403641,38368,5,0.47537010008340286
REAL,1->0,STATE_ONLY,0.6160004341088369,60,6,0.7333333333333333
REAL,0->1,COMBINED,0.38171049527204237,463,3,0.408207343412527
REAL,0->1,COMBINED,0.4791046306991133,49927,4,0.45266088489194223
REAL,0->1,COMBINED,0.5175533278737522,48192,5,0.4869065405046481
REAL,0->1,COMBINED,0.6286626300070245,90,6,0.9333333333333333
REAL,1->0,COMBINED,0.3841799931117952,374,3,0.3689839572192513
REAL,1->0,COMBINED,0.4794434254078668,50519,4,0.4556107603080029
REAL,1->0,COMBINED,0.5181201179723345,47711,5,0.48431179392592905
REAL,1->0,COMBINED,0.6157657973179385,103,6,0.8252427184466019
SHUFFLED,0->1,COMBINED,0.39520044803537857,10,3,0.6
SHUFFLED,0->1,COMBINED,0.4797156796225881,61081,4,0.47234000753098343
SHUFFLED,0->1,COMBINED,0.5136949438584769,37581,5,0.4651552646284027
SHUFFLED,1->0,COMBINED,0.38985817902333275,5,3,1.0
SHUFFLED,1->0,COMBINED,0.4784120316133338,67153,4,0.47644930233943383
SHUFFLED,1->0,COMBINED,0.5132147942067611,31549,5,0.4547529240229484
