scheme,family,model,delta_mean,delta_median,delta_p025,delta_p10,delta_p90,delta_p975,p_delta_lt0,rank_median,rank_p10,rank_p90,bootstrap_offsets_fixed
A_STANDARD_4F,standalone,CAP,0.013117401901880897,0.013118290901183993,0.01246326565742496,0.01273850361506137,0.01352453629175816,0.013721042672793116,0.0,4.0,4.0,4.0,True
A_STANDARD_4F,standalone,DIST,0.0031199457327524783,0.003129176298777292,0.002792527476946477,0.002918372948964465,0.003320551713307851,0.003404571215311636,0.0,3.0,3.0,3.0,True
A_STANDARD_4F,standalone,ETX-AVG3,0.0010961176872253372,0.0010978539784750607,0.0007915025949478515,0.0008890724182129217,0.0013164472579956232,0.0013919206460316468,0.0,1.0,1.0,1.0,True
A_STANDARD_4F,standalone,SEQ-AVG3,0.0021200614134470577,0.0021240790685017608,0.001707703073819472,0.0018640494346617187,0.0023900524775188003,0.002497682174046917,0.0,2.0,2.0,2.0,True
A_STANDARD_4F,standalone,BTYD,0.0532087409178416,0.05318182706832886,0.0514871360858281,0.052107385794321594,0.054366423288981267,0.05488191088040676,0.0,5.0,5.0,5.0,True
A_STANDARD_4F,incremental,BTYD05,-0.00031976213455200053,-0.0003213008244833393,-0.0003997482856114787,-0.0003742869695027684,-0.0002644745508829205,-0.00023413360118860753,1.0,2.0,2.0,2.0,True
A_STANDARD_4F,incremental,FRESH,-0.0002246208031972219,-0.0002230246861775198,-0.0002920633554459928,-0.0002709627151489702,-0.00018285195032754497,-0.0001594505707422034,1.0,3.0,3.0,3.0,True
A_STANDARD_4F,incremental,ZERO2D,-2.49250094095812e-05,-2.558628718052347e-05,-4.353900750481698e-05,-3.7782192230317864e-05,-1.2400150299218812e-05,-6.779233614651051e-06,0.998,4.0,4.0,4.0,True
A_STANDARD_4F,incremental,SEQ_SLOT_25,5.256447792053365e-05,5.2924950917687674e-05,4.4663747150730684e-07,1.6751289367600288e-05,8.490880330418449e-05,0.00011007249355324821,0.026,6.0,6.0,7.0,True
A_STANDARD_4F,incremental,SEQ_SLOT_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,True
A_STANDARD_4F,incremental,SEQ_SLOT_75,0.0001001715183258014,9.95198885599402e-05,4.202306270609801e-05,6.752570470174302e-05,0.00013566573460881416,0.00015235443909956676,0.0,7.0,6.0,7.0,True
A_STANDARD_4F,incremental,BTYD05_FRESH1,-0.0004654162724812854,-0.00046453078587849195,-0.0005854101975759695,-0.0005388434727988222,-0.0003869843482970925,-0.0003458680709203077,1.0,1.0,1.0,1.0,True
B_SURVIVOR_K3,standalone,CAP,0.013147423966725667,0.013153394063313728,0.01250624358654035,0.012694096565246582,0.013539840380350632,0.013735121091206786,0.0,4.0,4.0,4.0,True
B_SURVIVOR_K3,standalone,DIST,0.0031258020877838145,0.0031354983647664536,0.002810497681299867,0.0029177260398864035,0.003325686454773025,0.003429991404215499,0.0,3.0,3.0,3.0,True
B_SURVIVOR_K3,standalone,ETX-AVG3,0.0011113758246103919,0.001107740402221724,0.0007897472381591219,0.0009092275301615382,0.0013118902842204738,0.0014403567711512297,0.0,1.0,1.0,1.0,True
B_SURVIVOR_K3,standalone,SEQ-AVG3,0.0021256078879038514,0.0021129806836446274,0.0017471851905186077,0.001870846748352184,0.0023799379666646914,0.0025090277194975805,0.0,2.0,2.0,2.0,True
B_SURVIVOR_K3,standalone,BTYD,0.053146213865280144,0.053180901209513354,0.05151190757751457,0.05200018167495737,0.05417637109756481,0.05480154534180968,0.0,5.0,5.0,5.0,True
B_SURVIVOR_K3,incremental,BTYD05,-0.00033361169497172225,-0.0003318031628926077,-0.000418291091918932,-0.00038707812627150064,-0.00028440713882429416,-0.0002573825915654027,1.0,2.0,2.0,2.0,True
B_SURVIVOR_K3,incremental,FRESH,-0.00021977416674296002,-0.0002198974291482969,-0.0002952120701472549,-0.00027029037475585494,-0.00016409794489555818,-0.00014371454715728652,1.0,3.0,3.0,3.0,True
B_SURVIVOR_K3,incremental,ZERO2D,-1.6640949249266512e-05,-1.6454855601089058e-05,-3.4930308659758545e-05,-2.9364426930622577e-05,-4.521210988395196e-06,1.1597077052061225e-06,0.96,4.0,4.0,4.0,True
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,5.1033846537271276e-05,5.120436350503077e-05,-5.720059076064203e-07,1.57984097798769e-05,8.857488632207922e-05,0.00010969519615178779,0.03,6.0,6.0,7.0,True
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,True
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,0.00010191144943237251,0.0001015623410542954,4.2973558108033716e-05,6.494363149012194e-05,0.00013728777567556527,0.0001539647579193226,0.002,7.0,6.0,7.0,True
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,-0.0004742916107177715,-0.00047246217727670015,-0.0005946791172027511,-0.0005537303288777107,-0.00039373636245727535,-0.0003435436884563159,1.0,1.0,1.0,1.0,True
