model,survivor_fixed_delta,survivor_shape_only_delta,level_component_fixed_minus_shape
STRONGEST,0.0,0.0,0.0
CAP,0.013162670333694226,0.013162938744765833,-2.6841107160675837e-07
DIST,0.0031307908171009776,0.003129688258382268,1.1025587187095398e-06
ETX-AVG3,0.0011095629651762362,0.0011104145995048053,-8.516343285691185e-07
SEQ-AVG3,0.0021283203135407697,0.0021290419366548187,-7.216231140490421e-07
BTYD,0.053083360874510814,0.053078189102822616,5.171771688197713e-06
BTYD05,-0.0003366541021178726,-0.0003369430874205825,2.8898530270989953e-07
FRESH,-0.00021987924328702076,-0.00021978631489748916,-9.29283895316046e-08
ZERO2D,-1.6308661944552937e-05,-1.5547720785550703e-05,-7.609411590022333e-07
SEQ_SLOT_25,5.157620258608257e-05,5.156133991697231e-05,1.4862669110256223e-08
SEQ_SLOT_50,0.0,-5.921189464667501e-17,5.921189464667501e-17
SEQ_SLOT_75,0.00010140003313128255,0.00010141659556894093,-1.656243765838514e-08
BTYD05_FRESH1,-0.0004774559127169583,-0.00047765163418448016,1.9572146752188128e-07
