scheme,family,model,score,rank,delta_to_strongest,fold_scores,fold_deltas_to_strongest,folds_correct_sign
A_STANDARD_4F,standalone,ETX-AVG3,1.7486097311201363,1,0.0010998685999410451,"[1.769272582268849, 1.7625220003282789, 1.7497690606119525, 1.7419691426786033]","[0.0023892254691295634, 0.002012423548465314, 0.0011398366470005694, 0.0006905762306315122]",0
A_STANDARD_4F,standalone,SEQ-AVG3,1.7496342430592933,2,0.0021243805390980253,"[1.7681575392181796, 1.7622534660004265, 1.7505151477850398, 1.743723572941276]","[0.0012741824184601125, 0.0017438892206129708, 0.001885923820087898, 0.002445006493304147]",0
A_STANDARD_4F,standalone,DIST,1.7506161139914842,3,0.0031062514712889566,"[1.7701492349196506, 1.7638236506069218, 1.7518319201898858, 1.7442646866224032]","[0.003265878119931065, 0.0033140738271082437, 0.003202696224933854, 0.0029861201744314503]",0
A_STANDARD_4F,standalone,CAP,1.760642087514469,4,0.0131322249942738,"[1.776991165734125, 1.7720337131895636, 1.7614534516578586, 1.7553448642465437]","[0.010107808934405549, 0.01152413640975003, 0.012824227692906698, 0.014066297798571936]",0
A_STANDARD_4F,standalone,BTYD,1.8007005538283163,5,0.05319069130812104,"[1.8157902251504985, 1.8097062208604682, 1.8016350191284123, 1.7960956955049574]","[0.048906868350778954, 0.049196644080654606, 0.05300579516346038, 0.05481712905698566]",0
A_STANDARD_4F,reference,UNC,1.7515059932485448,1,0.0039961307283495895,"[1.7715221656894633, 1.76426697076522, 1.7528700998603925, 1.7451316740083374]","[0.004638808889743773, 0.003757393985406532, 0.004240875895440643, 0.0038531075603656095]",0
A_STANDARD_4F,incremental,BTYD05_FRESH1,1.7470429194798422,1,-0.00046694304035299616,"[1.7660482034129645, 1.759805780762818, 1.748233241930776, 1.7408813824419915]","[-0.0008351533867549943, -0.0007037960169955504, -0.0003959820341759013, -0.0003971840059802112]",4
A_STANDARD_4F,incremental,BTYD05,1.7471888776280593,2,-0.00032098489213594483,"[1.7662286882524283, 1.7599386434229134, 1.7483873364482236, 1.7410222304412177]","[-0.0006546685472912372, -0.0005709333569001718, -0.00024188751672826747, -0.0002563360067540099]",4
A_STANDARD_4F,incremental,FRESH,1.747284906392448,3,-0.00022495612774720009,"[1.7666404876037531, 1.7603457139640983, 1.7484351309506052, 1.7410251445690437]","[-0.00024286919596638867, -0.0001638628157152322, -0.0001940930143466968, -0.0002534218789280729]",4
A_STANDARD_4F,incremental,ZERO2D,1.747485106715659,4,-2.4755804536313875e-05,"[1.7669191743415928, 1.7605145128134958, 1.7485844594677786, 1.7412488203618983]","[3.581754187331754e-05, 4.9360336822346085e-06, -4.476449717327746e-05, -2.9746086073423328e-05]",2
A_STANDARD_4F,incremental,SEQ_SLOT_50,1.7475098625201952,5,0.0,"[1.7668833567997195, 1.7605095767798136, 1.748629223964952, 1.7412785664479717]","[0.0, 0.0, 0.0, 0.0]",0
A_STANDARD_4F,incremental,SEQ_SLOT_25,1.7475624570006782,6,5.2594480483003636e-05,"[1.766728163443266, 1.7604079739996668, 1.7486393804248397, 1.741416902733527]","[-0.00015519335645342025, -0.00010160278014681445, 1.0156459887777913e-05, 0.00013833628555515176]",2
A_STANDARD_4F,incremental,SEQ_SLOT_75,1.7476100047781822,7,0.00010014225798693488,"[1.7672194895405842, 1.760776443996356, 1.7487642583078788, 1.7412900826134905]","[0.0003361327408646364, 0.0002668672165424546, 0.00013503434292694294, 1.1516165518754562e-05]",0
B_SURVIVOR_K3,standalone,ETX-AVG3,1.7513669822103557,1,0.0011095629651762806,"[1.7794858213483746, 1.7681139523693672, 1.7547594664098498, 1.7419691426786033]","[0.0023525113251781082, 0.001984421627842181, 0.0011993700129322438, 0.0006905762306315122]",0
