family,held_out,S1-E10,S1-E02,S1-E03a,S1-DIST,SEQ-AVG3,S1-ROUNDS
полная смесь (E10+E02+CAP+DIST+SEQ),2025-09-04,0.1,0.15000000000000002,0.1,0.2,0.45,
полная смесь (E10+E02+CAP+DIST+SEQ),2025-09-18,0.1,0.15000000000000002,0.1,0.2,0.45,
полная смесь (E10+E02+CAP+DIST+SEQ),2025-10-02,0.1,0.15000000000000002,0.1,0.2,0.45,
полная смесь (E10+E02+CAP+DIST+SEQ),2025-10-16,0.0,0.2,0.1,0.2,0.5,
CAP+DIST+SEQ,2025-09-04,,,0.1,0.35000000000000003,0.55,
CAP+DIST+SEQ,2025-09-18,,,0.1,0.35000000000000003,0.55,
CAP+DIST+SEQ,2025-10-02,,,0.1,0.35000000000000003,0.55,
CAP+DIST+SEQ,2025-10-16,,,0.1,0.35000000000000003,0.55,
CAP+best direct(ROUNDS)+DIST+SEQ,2025-09-04,,,0.1,0.25,0.5,0.15000000000000002
CAP+best direct(ROUNDS)+DIST+SEQ,2025-09-18,,,0.1,0.25,0.5,0.15000000000000002
CAP+best direct(ROUNDS)+DIST+SEQ,2025-10-02,,,0.1,0.25,0.5,0.15000000000000002
CAP+best direct(ROUNDS)+DIST+SEQ,2025-10-16,,,0.1,0.25,0.55,0.1
CAP+E02+DIST+SEQ,2025-09-04,,0.2,0.1,0.25,0.45,
CAP+E02+DIST+SEQ,2025-09-18,,0.2,0.1,0.25,0.45,
CAP+E02+DIST+SEQ,2025-10-02,,0.2,0.1,0.25,0.45,
CAP+E02+DIST+SEQ,2025-10-16,,0.2,0.1,0.2,0.5,
CAP+SEQ,2025-09-04,,,0.2,,0.8,
CAP+SEQ,2025-09-18,,,0.2,,0.8,
CAP+SEQ,2025-10-02,,,0.2,,0.8,
CAP+SEQ,2025-10-16,,,0.2,,0.8,
контроль: без SEQ (прежняя база),2025-09-04,0.15000000000000002,0.35000000000000003,0.1,0.4,,
контроль: без SEQ (прежняя база),2025-09-18,0.15000000000000002,0.35000000000000003,0.1,0.4,,
контроль: без SEQ (прежняя база),2025-10-02,0.15000000000000002,0.35000000000000003,0.1,0.4,,
контроль: без SEQ (прежняя база),2025-10-16,0.1,0.35000000000000003,0.1,0.45,,
