seed,where,base,exp,fold,n,base_cal,exp_cal,delta,base_auc,d_auc,var_delta,corr_resid,off_base,off_exp
42,"локальная 4060 Ti, eager (exp_030)",SEQ-D3A-BASE-S42,SEQ-D3A-S42,2025-09-04,188518,1.7697531561582953,1.7698868569084734,0.00013370075017804517,0.8393553572275951,-0.00012413465137739443,0.01954957428988637,0.9968804105973418,-0.07319132666366489,-0.06918404828262316
42,"локальная 4060 Ti, eager (exp_030)",SEQ-D3A-BASE-S42,SEQ-D3A-S42,2025-09-18,191025,1.764971362176542,1.7685257120216473,0.0035543498451053868,0.8406278226715943,-0.0013724955060752109,0.0350824404768667,0.9943849263207883,-0.06674569817016074,-0.08942160436229307
42,"локальная 4060 Ti, eager (exp_030)",SEQ-D3A-BASE-S42,SEQ-D3A-S42,2025-10-02,193694,1.7549574405635069,1.753671898823084,-0.0012855417404229463,0.8417592880736647,0.0008267331019148338,0.0326524351810783,0.9946954485336275,0.06243398465322544,0.040979455074460436
42,"локальная 4060 Ti, eager (exp_030)",SEQ-D3A-BASE-S42,SEQ-D3A-S42,2025-10-16,197379,1.7480797590300503,1.7463725369809606,-0.001707222049089685,0.8424762537908504,0.000470033783086965,0.023767799766870563,0.9961076885213296,0.08292672043414259,0.08998456149421331
43,"A10 #1, compile",SEQ-D3A-G1-BASE-S43,SEQ-D3A-G1-S43,2025-09-04,188518,1.769931932558103,1.769496661549616,-0.00043527100848717026,0.8393879114557848,0.00018632756222014546,0.017208585502976777,0.9972528260461205,-0.06810515763990568,-0.04626508890729252
43,"A10 #1, compile",SEQ-D3A-G1-BASE-S43,SEQ-D3A-G1-S43,2025-09-18,191025,1.7644938466195301,1.7641551100756807,-0.0003387365438494161,0.8411199289328306,-0.0002650971256150658,0.02181395682635162,0.9964965764512616,-0.05774244097132218,-0.031553838086201165
43,"A10 #1, compile",SEQ-D3A-G1-BASE-S43,SEQ-D3A-G1-S43,2025-10-02,193694,1.7525640136324712,1.7516175573816315,-0.0009464562508396668,0.8424779660509518,0.0003248998331621955,0.01903057608801632,0.9969005237194771,0.07077493184528535,0.10463784075710832
43,"A10 #1, compile",SEQ-D3A-G1-BASE-S43,SEQ-D3A-G1-S43,2025-10-16,197379,1.7453760946574963,1.7441085276651964,-0.0012675669922999067,0.8431475759570717,0.0003749620150377275,0.01946326799599062,0.9968034067004736,0.05531743023327472,0.02084356105395382
44,"A10 #2, compile",SEQ-D3A-G2-BASE-S44,SEQ-D3A-G2-S44,2025-09-04,188518,1.770543298895922,1.7693781139614668,-0.0011651849344551657,0.8391454862599327,0.000238479406465264,0.020717150370730925,0.9966950162557944,-0.07995681764117517,-0.05449555378503377
44,"A10 #2, compile",SEQ-D3A-G2-BASE-S44,SEQ-D3A-G2-S44,2025-09-18,191025,1.7648814853415304,1.7630793020029971,-0.0018021833385333252,0.8410374140865806,0.0003999171827180348,0.01858043147513824,0.9970166967011692,-0.026982855124880724,-0.025412065720017855
44,"A10 #2, compile",SEQ-D3A-G2-BASE-S44,SEQ-D3A-G2-S44,2025-10-02,193694,1.7542410881791168,1.75332233655014,-0.0009187516289768105,0.8420368957701153,0.000041991127317841936,0.025184117157454017,0.9959061574626623,0.11675830313116642,0.041554395834272326
44,"A10 #2, compile",SEQ-D3A-G2-BASE-S44,SEQ-D3A-G2-S44,2025-10-16,197379,1.7466549894759875,1.7457063539478748,-0.0009486355281127512,0.842905039652942,0.00008267196813627198,0.018296347553353964,0.9969999069634321,0.05225455227452532,0.0637815457103437
