method,outer_fold,fitting_folds,amount_bin,amount_bin_id,p0_bin,p0_lo,p0_hi,n_cell,weight_sum,c_raw,reliability,c_pre_isotonic,correction,eligible
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,0,-inf,0.09804721359788462,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,1,0.09804721359788462,0.2598057276598614,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,2,0.2598057276598614,0.4521300781614932,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,3,0.4521300781614932,0.6750778498881055,1179,0.023055247707789224,0.06795771681516881,0.05566835072477454,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,4,0.6750778498881055,inf,131952,2.5758754604903724,-0.02212956982097429,0.8683794882594503,-0.01921686451653943,-0.01921686451653943,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,0,-inf,0.09804721359788462,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,1,0.09804721359788462,0.2598057276598614,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,2,0.2598057276598614,0.4521300781614932,465,0.010766175702062009,-0.083926618322224,0.022721720009772784,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,3,0.4521300781614932,0.6750778498881055,91528,1.795524942905043,-0.010692926839014424,0.8206728355211247,-0.008775394588993905,-0.008360933074445279,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,4,0.6750778498881055,inf,22152,0.43141646638454556,-0.012627282084075151,0.5255266654014045,-0.006635973446726911,-0.008360933074445279,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,0,-inf,0.09804721359788462,3,7.165212478759617e-05,-2.3691730650615828,0.00014997750337449384,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,1,0.09804721359788462,0.2598057276598614,2778,0.06492344625166035,0.05560691661017752,0.12195978575818772,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,2,0.2598057276598614,0.4521300781614932,106391,2.0866358868620596,-0.016656476340174725,0.8417608848731318,-0.014020770262973862,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,3,0.4521300781614932,0.6750778498881055,61209,1.1610713806676025,-0.020471794976223527,0.7537218781169575,-0.01543003975790449,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,4,0.6750778498881055,inf,19,0.0003890281866099321,-1.5244307255905816,0.0009490983565612668,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,0,-inf,0.09804721359788462,3557,0.07652437569775336,0.016651207346770093,0.15099545782569937,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,1,0.09804721359788462,0.2598057276598614,105963,2.068757560237815,0.008427806112910675,0.8412232163413066,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,2,0.2598057276598614,0.4521300781614932,46821,0.8673813422921741,-0.005727847935687646,0.7006928959458852,-0.004013462357594637,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,3,0.4521300781614932,0.6750778498881055,207,0.004145224915120975,-0.17296997653194007,0.010243974860196962,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,4,0.6750778498881055,inf,1,4.053116086311107e-05,-2.8336474401852896,4.999750012499375e-05,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,0,-inf,0.09804721359788462,26744,0.5381038655500019,0.04584639466640555,0.5721376005476638,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,1,0.09804721359788462,0.2598057276598614,36349,0.6803593827326998,0.03082509660004074,0.645069122788337,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,2,0.2598057276598614,0.4521300781614932,409,0.007798030699844189,-0.1584532130536211,0.02004017835268754,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,3,0.4521300781614932,0.6750778498881055,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,4,0.6750778498881055,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,0,-inf,0.09804721359788462,59005,1.154530570601406,0.02401436715457036,0.7468514650971457,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,1,0.09804721359788462,0.2598057276598614,8509,0.1637884220137804,0.05395710246874404,0.29846715072433266,0.0,0.0,True
ZERO2D,PRODUCTION_ALL_OOF,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,2,0.2598057276598614,0.4521300781614932,37,0.000713743614461934,-0.6818932436096106,0.0018465838199331237,0.0,0.0,False
