fold,segment,n,user_share,base_rmsle,zero2d_rmsle,delta_rmsle,base_mse,zero2d_mse,delta_mse
2025-09-04,rec_buy 15–60,53224,0.28232847791722804,1.9684445253420007,1.9684980950275845,5.356968558389852e-05,3.8747738493488946,3.8749847501272296,0.00021090077833507692
2025-09-18,rec_buy 15–60,57084,0.29882999607381233,1.953322923204652,1.9534024114466293,7.948824197723248e-05,3.8154704423167667,3.8157809810455063,0.00031053872873965105
2025-10-02,rec_buy 15–60,56699,0.2927246068541101,1.9491611581299118,1.9492059715755456,4.4813445633895554e-05,3.7992292203623386,3.7994039196257665,0.0001746992634279465
2025-10-16,rec_buy 15–60,56145,0.28445275333242137,1.9405843349902085,1.9405657992519443,-1.853573826426924e-05,3.76586756120939,3.7657956212263373,-7.193998305288218e-05
AGGREGATE,rec_buy 15–60,223152,0.28843392827604425,1.946427312279508,1.9464435465492387,1.6234269730652785e-05,3.7886381403404603,3.7887018240354666,6.368369500687384e-05
2025-09-04,w180_days_buy 0–1,41580,0.22056249270626677,1.4856550543048848,1.4858191740817754,0.00016411977689068102,2.20717094038165,2.2076586180690496,0.0004876776873996569
2025-09-18,w180_days_buy 0–1,41940,0.21955241460541813,1.5060984823056474,1.5061660839182387,6.760161259133923e-05,2.268332638403374,2.2685362723456026,0.00020363394222844278
2025-10-02,w180_days_buy 0–1,42018,0.21692979648311253,1.478143726405781,1.4779867773436237,-0.00015694906215735216,2.1849088759127686,2.1844449140025906,-0.00046396191017805677
2025-10-16,w180_days_buy 0–1,42698,0.21632493831663957,1.4646315943520065,1.4644823458365401,-0.00014924851546638251,2.1451457071741005,2.1447085412668954,-0.00043716590720510595
AGGREGATE,w180_days_buy 0–1,168236,0.2171990676255113,1.4751653119570238,1.4750638145323378,-0.00010149742468580728,2.1763091585488183,2.1760119432603853,-0.00029721528843310214
2025-09-04,w180_days_buy 2–15,107913,0.5724280970517405,1.9674622529693149,1.967530987408845,6.873443953003822e-05,3.8709077168590924,3.8711781864140242,0.0002704695549318181
2025-09-18,w180_days_buy 2–15,108979,0.570496008375867,1.9603873138682641,1.9604277843793003,4.0470511036172496e-05,3.8431184203756277,3.8432770977663324,0.0001586773907047423
2025-10-02,w180_days_buy 2–15,110149,0.5686753332576125,1.948058314491455,1.9480470904666105,-1.1224024844436187e-05,3.7949311966592885,3.7948874666754264,-4.3729983862039745e-05
2025-10-16,w180_days_buy 2–15,111441,0.5646041372182451,1.9453560683692304,1.9453594688938796,3.40052464919971e-06,3.7844102327409894,3.784423463215077,1.3230474087411181e-05
AGGREGATE,w180_days_buy 2–15,438482,0.566996969638659,1.9495545790417002,1.9495633779456616,8.798903961215743e-06,3.8008100804116944,3.8008446636246007,3.4583212906162214e-05
2025-09-04,w180_days_buy >=16,39025,0.20700941024199282,1.4231051916108508,1.4228746613533192,-0.00023053025753161371,2.0252283863897564,2.0245723019213226,-0.000656084468433793
2025-09-18,w180_days_buy >=16,40106,0.20995157701871484,1.395548449869558,1.3953473189688375,-0.00020113090072060302,1.9475554759333267,1.9469941405535227,-0.0005613353798039622
2025-10-02,w180_days_buy >=16,41527,0.21439487025927495,1.4090239994502842,1.408972629813838,-5.136963644614134e-05,1.9853486310268744,1.985203871564523,-0.0001447594623513737
2025-10-16,w180_days_buy >=16,43240,0.21907092446511534,1.4031426275935308,1.403115801850788,-2.682574274270877e-05,1.9688092333700782,1.9687339534033799,-7.527996669831616e-05
AGGREGATE,w180_days_buy >=16,163898,0.21580396273582966,1.40502927399329,1.40495908222351,-7.019176977993702e-05,1.9741471819549687,1.9739498464342333,-0.00019733552073558275
2025-09-04,never purchased,20965,0.1112095396726042,1.212861206351384,1.2130410761023003,0.00017986975091632829,1.4710323058721344,1.4714686523114269,0.00043634643929246764
2025-09-18,never purchased,20572,0.10769271037822274,1.2258947646092082,1.2259747952977407,8.003068853246198e-05,1.502817973896266,1.503014198705337,0.00019622480907099948
2025-10-02,never purchased,20357,0.10509876402986154,1.2071380565953669,1.2069062296919368,-0.00023182690343004353,1.4571822876808393,1.4566226472692063,-0.0005596404116330334
2025-10-16,never purchased,20384,0.103273397879207,1.181486024400946,1.181284867464295,-0.00020115693665090362,1.3959092258547525,1.395433938100137,-0.0004752877546154721
AGGREGATE,never purchased,82278,0.10487847997214346,1.1963394104772556,1.1961929683453258,-0.00014644213192974338,1.4315114140817362,1.4311639429066683,-0.00034747117506809627
