path,size,sha256,semantic_role,artifact_kind,recovery_status
C:/Users/Admin/Desktop/submission_geometry_research/gpt_pro_research_packet/06_ALIGNED_OOF.parquet,48652121,7e64510b4c019ddcded125ba356517eeb2e31c32ecc11c856581f0c632c2de3f,canonical aligned OOF bank,OOF,exact
C:/Users/Admin/Desktop/submission_geometry_research/gpt_pro_research_packet/07_ALIGNED_TEST.parquet,41131499,d466eed2f649d51fc37a93e63d19f8f0c7a72d3e373d43c77085d8f55c112e2c,canonical aligned TEST bank,TEST,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/oof_FRESH_CONTRAST_MOE.npz,26380153,1fb3b8a2d0d77afd06bc529d69e32e07bd5f01060a775a7fc02fb65f6cb03cda,saved FRESH raw and nested corrections,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/FRESH_CONTRAST_MOE_fold_20250904.npz,5982010,aa67ae5967c315e17e0cfe8ba78e24d56a10d8f8ca97772496a97ff238b7b02d,FRESH fold source 2025-09-04,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/FRESH_CONTRAST_MOE_fold_20250918.npz,6081210,84abf5754bb0b7f2d2ce1f7ed9b4bea653e44937515a60f9b940d726c2f33c3a,FRESH fold source 2025-09-18,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/FRESH_CONTRAST_MOE_fold_20251002.npz,6177815,700afe9641e8cee4934bf8d3da7abf18117febbeb798c1b9457bdd6fb45853cf,FRESH fold source 2025-10-02,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/FRESH_CONTRAST_MOE_fold_20251016.npz,6290693,f3899f1e47325fbeb6ad84e444a0afda7b3160edd488c12236cf0757677fc089,FRESH fold source 2025-10-16,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/S04PROD_S42-V0904_z.npz,28918871,028e977273565c99de1257860e5009a253112beed2e63c62d304868bd3264bb2,EXP-032B conditional predictions 2025-09-04,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/S04PROD_S42-V0918_z.npz,29325493,68452e17500f112eee1c374f3da9d02d5e8888e84f94b09d6dd7070c64fde762,EXP-032B conditional predictions 2025-09-18,OOF,exact
C:/Users/Admin/Desktop/OZON-E-CUP/artifacts/S04PROD_S42-V1002_z.npz,29748857,b5a26ffdfe1292ac3b004fbf947b9d9070065cb76bce5eee2edc3abbd3646434,EXP-032B conditional predictions 2025-10-02,OOF,exact
