candidate,fold,n,rmsle_raw,rmsle_cal,offset,delta_vs_exp037,improved
EXP037,2025-09-04,188518,1.770775679619996,1.7668833567679014,-0.11734465883717776,0.0,False
EXP037,2025-09-18,191025,1.7622693780453773,1.7605095767346348,-0.07873621163148509,0.0,False
EXP037,2025-10-02,193694,1.7487550487698766,1.7486292239577714,-0.02097755274040695,0.0,False
EXP037,2025-10-16,197379,1.7416381072242886,1.7412785664162476,-0.03538715409834382,0.0,False
EXP037,wCV,770616,1.7482292992389712,1.747509862493216,,0.0,False
FRESH,2025-09-04,188518,1.770533341935829,1.766640487571291,-0.11734445668694454,-0.00024286919661031803,True
FRESH,2025-09-18,191025,1.7621056788777165,1.7603457139184395,-0.07873621163148502,-0.00016386281619529264,True
FRESH,2025-10-02,193694,1.748560969722382,1.7484351309435247,-0.020977552740406937,-0.00019409301424677672,True
FRESH,2025-10-16,197379,1.741384737669676,1.741025144538041,-0.035387154098343865,-0.00025342187820664996,True
FRESH,wCV,770616,1.7480044319958798,1.7472849063657732,,-0.00022495612744277693,True
BTYD05,2025-09-04,188518,1.7690747098595165,1.7662286883966611,-0.10030737006050641,-0.0006546683712402857,True
BTYD05,2025-09-18,191025,1.7610065503142247,1.7599386487267301,-0.06131902614635516,-0.000570928007904703,True
BTYD05,2025-10-02,193694,1.7484001741592297,1.7483873415359887,-0.0066987279942983275,-0.00024188242178269093,True
BTYD05,2025-10-16,197379,1.7411439709499401,1.7410222300216858,-0.02058936972428,-0.0002563363945617958,True
BTYD05,wCV,770616,1.7475893516482937,1.7471888794778374,,-0.0003209830153785287,True
BTYD05_FRESH1_FIXED,2025-09-04,188518,1.768894513587511,1.7660482023339925,-0.10030726410818866,-0.0008351544339089134,True
BTYD05_FRESH1_FIXED,2025-09-18,191025,1.760873771490326,1.759805789328762,-0.0613190261463551,-0.0007037874058728466,True
BTYD05_FRESH1_FIXED,2025-10-02,193694,1.7482460827345792,1.748233248980255,-0.006698727994298318,-0.0003959749775164223,True
BTYD05_FRESH1_FIXED,2025-10-16,197379,1.7410031338286291,1.740881383051546,-0.020589369724280042,-0.0003971833647016254,True
BTYD05_FRESH1_FIXED,wCV,770616,1.7474434305423676,1.7470429227549935,,-0.0004669397382224272,True
VOL,2025-09-04,188518,1.7707082801815368,1.7668158087401151,-0.11734466910036048,-6.754802778630165e-05,True
VOL,2025-09-18,191025,1.7622682080863579,1.7605084056061262,-0.07873621163148506,-1.1711285086146717e-06,True
VOL,2025-10-02,193694,1.7487846399155502,1.7486588172326767,-0.020977552740406986,2.9593274905259648e-05,False
VOL,2025-10-16,197379,1.7416453450079572,1.741285805694374,-0.03538715409834372,7.239278126514037e-06,False
VOL,wCV,770616,1.7482364010720075,1.7475169556292045,,7.093135988567312e-06,False
