comparison,heldout_fold,donor_folds,grid,selected_scale,selection_wcv,donor_scores,heldout_score,heldout_baseline_score,heldout_delta
FRESH_STANDALONE_NESTED,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",1.0,1.7459023648510932,"[1.7603457139184395, 1.7484351309435247, 1.741025144538041]",1.766640487571291,1.7668833567679014,-0.00024286919661031803
FRESH_STANDALONE_NESTED,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",1.0,1.7452755513576705,"[1.766640487571291, 1.7484351309435247, 1.741025144538041]",1.7603457139184395,1.7605095767346348,-0.00016386281619529264
FRESH_STANDALONE_NESTED,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",1.0,1.7468666428829545,"[1.766640487571291, 1.7603457139184395, 1.741025144538041]",1.7484351309435247,1.7486292239577714,-0.00019409301424677672
FRESH_STANDALONE_NESTED,2025-10-16,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02""]","[0.0, 0.25, 0.5, 0.75, 1.0]",1.0,1.7544389198831813,"[1.766640487571291, 1.7603457139184395, 1.7484351309435247]",1.741025144538041,1.7412785664162476,-0.00025342187820664996
FRESH_ON_BTYD05_NESTED,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.75,1.745680907464661,"[1.759810852562821, 1.7482392611518571, 1.7408692443465228]",1.7660580671447164,1.7662286883966611,-0.00017062125194478028
FRESH_ON_BTYD05_NESTED,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.75,1.7450745435787947,"[1.7660580671447164, 1.7482392611518571, 1.7408692443465228]",1.759810852562821,1.7599386487267301,-0.00012779616390901083
FRESH_ON_BTYD05_NESTED,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.75,1.7466030660947764,"[1.7660580671447164, 1.759810852562821, 1.7408692443465228]",1.7482392611518571,1.7483873415359887,-0.0001480803841316103
FRESH_ON_BTYD05_NESTED,2025-10-16,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02""]","[0.0, 0.25, 0.5, 0.75, 1.0]",1.0,1.7540846824160765,"[1.7660482023339925, 1.759805789328762, 1.748233248980255]",1.740881383051546,1.7410222300216858,-0.0001408469701398296
VOL_ON_EXP037_NESTED,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.25,1.7461259538210225,"[1.7605072273539533, 1.7486327809396855, 1.7412772218784585]",1.7668641910715854,1.7668833567679014,-1.916569631599252e-05
VOL_ON_EXP037_NESTED,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.25,1.7455086992198459,"[1.7668641910715854, 1.7486327809396855, 1.7412772218784585]",1.7605072273539533,1.7605095767346348,-2.349380681554436e-06
VOL_ON_EXP037_NESTED,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.5,1.7470984440488186,"[1.766846544471824, 1.7605062490379846, 1.7412779802486513]",1.7486388988326023,1.7486292239577714,9.674874830833957e-06
VOL_ON_EXP037_NESTED,2025-10-16,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02""]","[0.0, 0.25, 0.5, 0.75, 1.0]",0.25,1.7546299670768906,"[1.7668641910715854, 1.7605072273539533, 1.7486327809396855]",1.7412772218784585,1.7412785664162476,-1.3445377891052601e-06
BTYD_WEIGHT_DIAGNOSTIC_NESTED,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.025, 0.05, 0.1, 0.15]",0.05,1.7458288931264931,"[1.7599386487267301, 1.748387341535989, 1.7410222300216858]",1.7662286883966611,1.7668833567679014,-0.0006546683712402857
BTYD_WEIGHT_DIAGNOSTIC_NESTED,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0.0, 0.025, 0.05, 0.1, 0.15]",0.05,1.7452273765164692,"[1.7662286883966611, 1.748387341535989, 1.7410222300216858]",1.7599386487267301,1.7605095767346348,-0.000570928007904703
BTYD_WEIGHT_DIAGNOSTIC_NESTED,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0.0, 0.025, 0.05, 0.1, 0.15]",0.1,1.7467247436174262,"[1.765903854985285, 1.7596903478522792, 1.741085953637731]",1.7484541480830078,1.7486292239577714,-0.0001750758747636194
BTYD_WEIGHT_DIAGNOSTIC_NESTED,2025-10-16,"[""2025-09-04"", ""2025-09-18"", ""2025-10-02""]","[0.0, 0.025, 0.05, 0.1, 0.15]",0.1,1.754157306145982,"[1.765903854985285, 1.7596903478522792, 1.7484541480830078]",1.741085953637731,1.7412785664162476,-0.00019261277851656544
BTYD_FIXED_DIAGNOSTIC_CURVE,wCV,,"[0.0, 0.025, 0.05, 0.1, 0.15]",0.0,1.747509862493216,"[1.7668833567679014, 1.7605095767346348, 1.7486292239577714, 1.7412785664162476]",1.747509862493216,1.747509862493216,0.0
BTYD_FIXED_DIAGNOSTIC_CURVE,wCV,,"[0.0, 0.025, 0.05, 0.1, 0.15]",0.025,1.7473096252001745,"[1.7665148118667036, 1.7601837998022756, 1.7484697008008352, 1.741110395416003]",1.7473096252001745,1.747509862493216,-0.00020023729304141646
BTYD_FIXED_DIAGNOSTIC_CURVE,wCV,,"[0.0, 0.025, 0.05, 0.1, 0.15]",0.05,1.7471888794778374,"[1.7662286883966611, 1.7599386487267301, 1.748387341535989, 1.7410222300216858]",1.7471888794778374,1.747509862493216,-0.0003209830153785287
BTYD_FIXED_DIAGNOSTIC_CURVE,wCV,,"[0.0, 0.025, 0.05, 0.1, 0.15]",0.1,1.7471859181415814,"[1.765903854985285, 1.7596903478522792, 1.7484541480830078, 1.741085953637731]",1.7471859181415814,1.747509862493216,-0.00032394435163451973
BTYD_FIXED_DIAGNOSTIC_CURVE,wCV,,"[0.0, 0.025, 0.05, 0.1, 0.15]",0.15,1.7475009807234774,"[1.765909039569079, 1.7597648106782862, 1.748829608222407, 1.7414697021296104]",1.7475009807234774,1.747509862493216,-8.881769738566803e-06
