user_half,candidate,fold,n,rmsle_cal,delta_vs_exp037
A,EXP037,2025-09-04,94238,1.7656097132092388,0.0
A,EXP037,2025-09-18,95497,1.7576446034846729,0.0
A,EXP037,2025-10-02,96810,1.7434931015377,0.0
A,EXP037,2025-10-16,98707,1.7335501863616372,0.0
A,EXP037,wCV,385252,1.7415515211481654,0.0
A,FRESH,2025-09-04,94238,1.765302998775075,-0.0003067144341637462
A,FRESH,2025-09-18,95497,1.7574261605765302,-0.00021844290814265754
A,FRESH,2025-10-02,96810,1.743285255590577,-0.00020784594712308646
A,FRESH,2025-10-16,98707,1.7332803639909085,-0.00026982237072870063
A,FRESH,wCV,385252,1.7413026169478476,-0.0002489042003177566
A,BTYD05,2025-09-04,94238,1.7649236116573315,-0.0006861015519072922
A,BTYD05,2025-09-18,95497,1.7569891644793374,-0.0006554390053354897
A,BTYD05,2025-10-02,96810,1.7431760169239054,-0.00031708461379453823
A,BTYD05,2025-10-16,98707,1.7332254199373114,-0.0003247664243257731
A,BTYD05,wCV,385252,1.7411606245206745,-0.000390896627490811
A,BTYD05_FRESH1_FIXED,2025-09-04,94238,1.7646874611781982,-0.0009222520310405713
A,BTYD05_FRESH1_FIXED,2025-09-18,95497,1.7567996960366654,-0.0008449074480074703
A,BTYD05_FRESH1_FIXED,2025-10-02,96810,1.743012061718306,-0.000481039819393958
A,BTYD05_FRESH1_FIXED,2025-10-16,98707,1.7330608681373543,-0.0004893182242828864
A,BTYD05_FRESH1_FIXED,wCV,385252,1.7409881363482393,-0.0005633847999260144
A,VOL,2025-09-04,94238,1.7655494077542078,-6.03054550309956e-05
A,VOL,2025-09-18,95497,1.7576252020062004,-1.9401478472458322e-05
A,VOL,2025-10-02,96810,1.743594999071155,0.00010189753345501984
A,VOL,2025-10-16,98707,1.733583396163361,3.32098017239435e-05
A,VOL,wCV,385252,1.741589798490541,3.827734237571434e-05
B,EXP037,2025-09-04,94280,1.7681523127810859,0.0
B,EXP037,2025-09-18,95528,1.7633689669485886,0.0
B,EXP037,2025-10-02,96884,1.753744983268027,0.0
B,EXP037,2025-10-16,98672,1.748974094881521,0.0
B,EXP037,wCV,385364,1.7534441959201692,0.0
B,FRESH,2025-09-04,94280,1.7679719384924433,-0.00018037428864259297
B,FRESH,2025-09-18,95528,1.7632578791523041,-0.00011108779628443699
B,FRESH,2025-10-02,96884,1.7535649445353434,-0.00018003873268357395
B,FRESH,2025-10-16,98672,1.7487383380425543,-0.00023575683896659427
B,FRESH,wCV,385364,1.753243611951924,-0.00020058396824529368
B,BTYD05,2025-09-04,94280,1.7675290732924156,-0.0006232394886702686
B,BTYD05,2025-09-18,95528,1.7628822423723187,-0.0004867245762698591
B,BTYD05,2025-10-02,96884,1.753577842886238,-0.00016714038178888835
B,BTYD05,2025-10-16,98672,1.7487856874251861,-0.0001884074563347493
B,BTYD05,wCV,385364,1.753192695265566,-0.00025150065460310955
B,BTYD05_FRESH1_FIXED,2025-09-04,94280,1.7674029249660301,-0.0007493878150557354
B,BTYD05_FRESH1_FIXED,2025-09-18,95528,1.7628041635611633,-0.0005648033874252611
B,BTYD05_FRESH1_FIXED,2025-10-02,96884,1.7534339332164155,-0.00031105005161147226
B,BTYD05_FRESH1_FIXED,2025-10-16,98672,1.7486696700015891,-0.0003044248799317639
B,BTYD05_FRESH1_FIXED,wCV,385364,1.7530736229977821,-0.00037057292238706907
B,VOL,2025-09-04,94280,1.768077858780151,-7.44540009349759e-05
B,VOL,2025-09-18,95528,1.7633859400449619,1.6973096373273933e-05
B,VOL,2025-10-02,96884,1.75369402636604,-5.095690198686498e-05
B,VOL,2025-10-16,98672,1.7489568172124104,-1.7277669110526972e-05
B,VOL,wCV,385364,1.753418692135568,-2.5503784601310642e-05
