dataset,cutoff,panel_blocks,arm,class_index,n,frequency,N30_min,N30_max,z_mean,z_std,z_p50,z_p90,filter_status
training_cutoff,2025-04-03,1,real,0,98885,0.4996412546990582,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-04-03,1,real,1,38222,0.19312623792392578,1,1,3.2994405134900373,1.0693886118282525,3.1461240691732177,4.7301597728835905,after canonical panel and clean-corridor filters
training_cutoff,2025-04-03,1,real,2,35246,0.17808925178867374,2,3,4.357336469559762,0.9567660990520384,4.280066702995904,5.599639655693656,after canonical panel and clean-corridor filters
training_cutoff,2025-04-03,1,real,3,20312,0.1026314725736691,4,7,5.2848115702306435,0.8403689382310239,5.231356428593496,6.384604441806459,after canonical panel and clean-corridor filters
training_cutoff,2025-04-03,1,real,4,5247,0.026511783014673187,8,30,6.229962917141451,0.7879638073657804,6.169307651741051,7.29931320259241,after canonical panel and clean-corridor filters
training_cutoff,2025-04-10,1,real,0,99352,0.5000830518797409,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-04-10,1,real,1,38331,0.19293706680894543,1,1,3.2932540026541193,1.0721930414685692,3.139825930098188,4.733004476295473,after canonical panel and clean-corridor filters
training_cutoff,2025-04-10,1,real,2,35266,0.1775095509661702,2,3,4.353721270410484,0.9561099619542734,4.285095381299886,5.602308956706345,after canonical panel and clean-corridor filters
training_cutoff,2025-04-10,1,real,3,20433,0.10284842780274926,4,7,5.273563998267645,0.8373580209967352,5.220732721658167,6.371912216186217,after canonical panel and clean-corridor filters
training_cutoff,2025-04-10,1,real,4,5289,0.02662190254239421,8,30,6.229385053258301,0.7827514562131166,6.1649489587309185,7.2793891392457235,after canonical panel and clean-corridor filters
training_cutoff,2025-04-17,1,real,0,99609,0.499588729173145,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-04-17,1,real,1,38509,0.19314180818729876,1,1,3.288938216271625,1.0693273710342508,3.1347093350249335,4.7160297398871,after canonical panel and clean-corridor filters
training_cutoff,2025-04-17,1,real,2,35396,0.17752856326047486,2,3,4.345320512179843,0.9533552217194834,4.273482582831746,5.587521438656649,after canonical panel and clean-corridor filters
training_cutoff,2025-04-17,1,real,3,20609,0.10336439598358929,4,7,5.262293075918445,0.8364714019741875,5.203993554103687,6.36124463662191,after canonical panel and clean-corridor filters
training_cutoff,2025-04-17,1,real,4,5259,0.026376503395492072,8,30,6.220745723200819,0.7847087237594673,6.1546967231263645,7.268302660404435,after canonical panel and clean-corridor filters
training_cutoff,2025-04-24,1,real,0,99468,0.49735492064761944,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-04-24,1,real,1,38451,0.1922607678230347,1,1,3.2799211306027347,1.0587761672638532,3.1279430832347925,4.699158626036207,after canonical panel and clean-corridor filters
training_cutoff,2025-04-24,1,real,2,35801,0.17901037031110933,2,3,4.336981404133234,0.9511401397604162,4.254985408066323,5.592411741140497,after canonical panel and clean-corridor filters
training_cutoff,2025-04-24,1,real,3,20840,0.10420312609378281,4,7,5.261206550970449,0.8381505401590982,5.205247852054228,6.345242479604368,after canonical panel and clean-corridor filters
training_cutoff,2025-04-24,1,real,4,5434,0.027170815124453733,8,29,6.207865541297724,0.7867063283731093,6.155623179340846,7.23885128756282,after canonical panel and clean-corridor filters
training_cutoff,2025-05-01,1,real,0,99438,0.495606537113921,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-05-01,1,real,1,38583,0.19230059958432807,1,1,3.278166482889365,1.0555835950683916,3.12653448156553,4.689630642957088,after canonical panel and clean-corridor filters
training_cutoff,2025-05-01,1,real,2,35917,0.17901305329472336,2,3,4.328677507264699,0.9542980080032357,4.252684697481586,5.584567591619084,after canonical panel and clean-corridor filters
training_cutoff,2025-05-01,1,real,3,21140,0.10536336405185433,4,7,5.268569210829107,0.8394689543031223,5.21460820154757,6.375009539987938,after canonical panel and clean-corridor filters
training_cutoff,2025-05-01,1,real,4,5561,0.02771644595517322,8,29,6.211716464626113,0.7869348330174882,6.156720207926425,7.2570231135001535,after canonical panel and clean-corridor filters
training_cutoff,2025-05-08,1,real,0,99010,0.49191649194630205,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-05-08,1,real,1,38489,0.19122688474417956,1,1,3.2783308559961872,1.0549476746293962,3.124660532089447,4.693976532375217,after canonical panel and clean-corridor filters
training_cutoff,2025-05-08,1,real,2,36525,0.1814690422011785,2,3,4.336726988593429,0.9533631312239967,4.257070668236291,5.587839178362708,after canonical panel and clean-corridor filters
training_cutoff,2025-05-08,1,real,3,21392,0.10628297743374703,4,7,5.273260887255532,0.8432819179225417,5.222459152725008,6.375515166586351,after canonical panel and clean-corridor filters
training_cutoff,2025-05-08,1,real,4,5858,0.029104603674592843,8,28,6.233995375540545,0.7918332794923933,6.171993888252213,7.282316153426791,after canonical panel and clean-corridor filters
training_cutoff,2025-05-15,1,real,0,97601,0.48423763122903807,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-05-15,1,real,1,38628,0.19164897100557662,1,1,3.2904536267002418,1.0581272832199957,3.139494593551447,4.699802763190726,after canonical panel and clean-corridor filters
training_cutoff,2025-05-15,1,real,2,37245,0.18478735438290103,2,3,4.353225437657856,0.9446683590017162,4.285789735322987,5.585055706195826,after canonical panel and clean-corridor filters
training_cutoff,2025-05-15,1,real,3,21965,0.10897715771299292,4,7,5.286872043218022,0.8317683497539918,5.233914744677875,6.388566887541739,after canonical panel and clean-corridor filters
training_cutoff,2025-05-15,1,real,4,6117,0.030348885669491357,8,27,6.2558036203953815,0.7900999704228377,6.19544708536486,7.305199428153488,after canonical panel and clean-corridor filters
training_cutoff,2025-05-22,1,real,0,97736,0.4825110956422143,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-05-22,1,real,1,39099,0.19302714791392053,1,1,3.292163809508313,1.0594986708869036,3.144455236607301,4.713390212738432,after canonical panel and clean-corridor filters
training_cutoff,2025-05-22,1,real,2,37234,0.18381986305089432,2,3,4.35441797744925,0.9419038303584689,4.282694431870964,5.581370195424159,after canonical panel and clean-corridor filters
training_cutoff,2025-05-22,1,real,3,22236,0.10977650735348568,4,7,5.28191311819963,0.831965097945481,5.230486409641244,6.369219875588317,after canonical panel and clean-corridor filters
training_cutoff,2025-05-22,1,real,4,6252,0.03086538603948518,8,28,6.253326869899738,0.7933108363336546,6.2025203581086075,7.305485263938772,after canonical panel and clean-corridor filters
training_cutoff,2025-05-29,1,real,0,97415,0.47918757255573263,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-05-29,1,real,1,39251,0.19307695334789368,1,1,3.3081970343318114,1.0620663226941847,3.160449384053954,4.72501123993654,after canonical panel and clean-corridor filters
training_cutoff,2025-05-29,1,real,2,37732,0.18560494264407848,2,3,4.352802766698404,0.9405947040106982,4.274020865876254,5.587130030590041,after canonical panel and clean-corridor filters
training_cutoff,2025-05-29,1,real,3,22620,0.11126852015819609,4,7,5.281879272465201,0.8251602387757896,5.228564762320989,6.3614654630038165,after canonical panel and clean-corridor filters
training_cutoff,2025-05-29,1,real,4,6274,0.03086201129409913,8,27,6.243705740917481,0.7963752172380726,6.18051601910827,7.309340145425044,after canonical panel and clean-corridor filters
training_cutoff,2025-06-05,1,real,0,96943,0.4752294207615985,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-06-05,1,real,1,39467,0.19347327346170437,1,1,3.2991879513683555,1.0489721900530513,3.1486023614361742,4.6961066618125145,after canonical panel and clean-corridor filters
training_cutoff,2025-06-05,1,real,2,38088,0.18671320443938977,2,3,4.3616413564956344,0.9412595906714475,4.285529570360268,5.602532029335119,after canonical panel and clean-corridor filters
training_cutoff,2025-06-05,1,real,3,23167,0.11356817914428016,4,7,5.278602322760972,0.827243629571937,5.2190328239811565,6.36487340294544,after canonical panel and clean-corridor filters
training_cutoff,2025-06-05,1,real,4,6327,0.03101592219302718,8,27,6.235925350108934,0.7758429918334164,6.181276313807861,7.24868673084877,after canonical panel and clean-corridor filters
training_cutoff,2025-06-12,1,real,0,97321,0.474454227240374,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-06-12,1,real,1,39556,0.19284133345033688,1,1,3.2942734748648843,1.0466703675501676,3.1367968174453624,4.689569146567432,after canonical panel and clean-corridor filters
training_cutoff,2025-06-12,1,real,2,38448,0.18743967005001902,2,3,4.353423472260649,0.9439625583819352,4.274452629482177,5.596144655501268,after canonical panel and clean-corridor filters
training_cutoff,2025-06-12,1,real,3,23366,0.11391269585904974,4,7,5.269771390299888,0.8336167689729858,5.204563997260509,6.373185215376193,after canonical panel and clean-corridor filters
training_cutoff,2025-06-12,1,real,4,6431,0.03135207340022036,8,28,6.226565692656983,0.7758084260949166,6.171575614819669,7.254786275893575,after canonical panel and clean-corridor filters
training_cutoff,2025-06-19,1,real,0,96475,0.4690470286800562,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-06-19,1,real,1,39520,0.1921403324533384,1,1,3.304189773282852,1.0544434079404919,3.1412598685153412,4.70780200399593,after canonical panel and clean-corridor filters
training_cutoff,2025-06-19,1,real,2,39101,0.19010321708648745,2,3,4.348405141806666,0.9414836703881581,4.274290264055171,5.581643168090829,after canonical panel and clean-corridor filters
training_cutoff,2025-06-19,1,real,3,23939,0.11638783953948552,4,7,5.273831977584055,0.8282556110170036,5.20641396987808,6.368578303459047,after canonical panel and clean-corridor filters
training_cutoff,2025-06-19,1,real,4,6648,0.03232158224063243,8,28,6.223695369799532,0.7755187224958492,6.173539037092777,7.254165391659611,after canonical panel and clean-corridor filters
training_cutoff,2025-06-26,1,real,0,96205,0.4660440151335326,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-06-26,1,real,1,39458,0.19114562391911988,1,1,3.2902581671933135,1.054832830747567,3.122072003695963,4.7057731402420755,after canonical panel and clean-corridor filters
training_cutoff,2025-06-26,1,real,2,39606,0.19186257744793608,2,3,4.3489180796671825,0.9435927787956828,4.2723880712727755,5.593912690702918,after canonical panel and clean-corridor filters
training_cutoff,2025-06-26,1,real,3,24381,0.11810840531126925,4,7,5.279068962242409,0.8269241128628314,5.219301254268935,6.360271753448253,after canonical panel and clean-corridor filters
training_cutoff,2025-06-26,1,real,4,6779,0.03283937818814217,8,28,6.216440945716003,0.7786975447911804,6.163224082319264,7.258532881386191,after canonical panel and clean-corridor filters
training_cutoff,2025-07-03,1,real,0,95725,0.4622319441024081,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-07-03,1,real,1,39849,0.19242079645376714,1,1,3.2890640331541445,1.0570468886224422,3.1228976171455014,4.688656914879531,after canonical panel and clean-corridor filters
training_cutoff,2025-07-03,1,real,2,39812,0.1922421327616095,2,3,4.3471900766365446,0.9436999209996253,4.271224488916353,5.589008164060087,after canonical panel and clean-corridor filters
training_cutoff,2025-07-03,1,real,3,24734,0.11943426383315708,4,7,5.278719644191539,0.8300259432233457,5.221283617356522,6.379714752769467,after canonical panel and clean-corridor filters
training_cutoff,2025-07-03,1,real,4,6973,0.03367086284905815,8,28,6.206367936709443,0.7856950532227249,6.1589082899483865,7.254062227133509,after canonical panel and clean-corridor filters
training_cutoff,2025-07-10,1,real,0,94929,0.45731945254050305,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-07-10,1,real,1,39950,0.1924587020720022,1,1,3.295067417157031,1.0580863655332575,3.13118459148604,4.719064592637337,after canonical panel and clean-corridor filters
training_cutoff,2025-07-10,1,real,2,40186,0.19359562957360402,2,3,4.339005299462859,0.9466572637206392,4.260345347173811,5.581279339815264,after canonical panel and clean-corridor filters
training_cutoff,2025-07-10,1,real,3,25364,0.12219080148571373,4,7,5.274241705781932,0.8269035413276888,5.221610882699384,6.3642130699992,after canonical panel and clean-corridor filters
training_cutoff,2025-07-10,1,real,4,7148,0.03443541432817701,8,29,6.21185365199793,0.7764506166241172,6.1655586446080655,7.265448735831064,after canonical panel and clean-corridor filters
training_cutoff,2025-07-17,1,real,0,94115,0.4518806956221132,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-07-17,1,real,1,40119,0.19262605990186005,1,1,3.2933721041018007,1.062344043053885,3.13470804097499,4.726968403419517,after canonical panel and clean-corridor filters
training_cutoff,2025-07-17,1,real,2,40789,0.19584297607958748,2,3,4.338800282945047,0.9413886301997555,4.2634950425715115,5.575861248990798,after canonical panel and clean-corridor filters
training_cutoff,2025-07-17,1,real,3,25946,0.12457627932435157,4,7,5.28344904201226,0.830361604594704,5.225530440769513,6.371095243987664,after canonical panel and clean-corridor filters
training_cutoff,2025-07-17,1,real,4,7305,0.03507398907208773,8,29,6.220325012301169,0.7733840586948971,6.167867039477958,7.247469941092694,after canonical panel and clean-corridor filters
training_cutoff,2025-07-24,1,real,0,92803,0.4439145492116945,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-07-24,1,real,1,40206,0.19232167457523344,1,1,3.300009543555542,1.0589397278066166,3.143912992260633,4.729768929935464,after canonical panel and clean-corridor filters
training_cutoff,2025-07-24,1,real,2,41697,0.19945373488443288,2,3,4.350241770580604,0.943982825264383,4.279830159143617,5.588067636049109,after canonical panel and clean-corridor filters
training_cutoff,2025-07-24,1,real,3,26618,0.12732473595591612,4,7,5.279513124593149,0.832410134319225,5.222963948471238,6.378049145943035,after canonical panel and clean-corridor filters
training_cutoff,2025-07-24,1,real,4,7732,0.0369853053727231,8,28,6.230087096532455,0.7820211479331738,6.173789650542963,7.273427024221314,after canonical panel and clean-corridor filters
training_cutoff,2025-07-31,1,real,0,91383,0.4353354230780224,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-07-31,1,real,1,40110,0.19107825109330487,1,1,3.2993556763780267,1.0647589169402052,3.1446964816118714,4.73766598283025,after canonical panel and clean-corridor filters
training_cutoff,2025-07-31,1,real,2,42548,0.20269253122707395,2,3,4.348746651467984,0.9487957011382686,4.279975031644317,5.601765445193714,after canonical panel and clean-corridor filters
training_cutoff,2025-07-31,1,real,3,27502,0.13101555875263202,4,7,5.271670155202684,0.8264618394682162,5.2187890497041245,6.351599666679206,after canonical panel and clean-corridor filters
training_cutoff,2025-07-31,1,real,4,8371,0.03987823584896672,8,28,6.2264122137009705,0.7795549450432259,6.1748947130413425,7.27410512782916,after canonical panel and clean-corridor filters
training_cutoff,2025-08-07,1,real,0,91364,0.4329678036944716,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-08-07,1,real,1,40595,0.19237695362480925,1,1,3.2960683325261217,1.0674620222894797,3.139118973086209,4.733894908807131,after canonical panel and clean-corridor filters
training_cutoff,2025-08-07,1,real,2,42817,0.2029068610260736,2,3,4.345078418613319,0.9453120282209894,4.273666429990382,5.588050101275345,after canonical panel and clean-corridor filters
training_cutoff,2025-08-07,1,real,3,27684,0.13119259968343933,4,7,5.274800486848163,0.8285587578942843,5.223372122651828,6.363196196351386,after canonical panel and clean-corridor filters
training_cutoff,2025-08-07,1,real,4,8558,0.040555781971206246,8,28,6.237646738492403,0.7856533035292247,6.182681330063035,7.2805969621193025,after canonical panel and clean-corridor filters
training_cutoff,2025-08-14,1,real,0,92466,0.43540458072779326,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-08-14,1,real,1,40931,0.1927361937768402,1,1,3.28316837360179,1.0591837440278316,3.1280510416842495,4.7167018236828335,after canonical panel and clean-corridor filters
training_cutoff,2025-08-14,1,real,2,42644,0.2008023807729978,2,3,4.338386542460953,0.9466548483621784,4.263500874070425,5.586686383073608,after canonical panel and clean-corridor filters
training_cutoff,2025-08-14,1,real,3,27805,0.1309283884577714,4,7,5.27280094263629,0.8332644837559962,5.225457488051624,6.360101983658813,after canonical panel and clean-corridor filters
training_cutoff,2025-08-14,1,real,4,8522,0.0401284562645973,8,29,6.23546974985285,0.7844224127204464,6.181840206574071,7.270908409016374,after canonical panel and clean-corridor filters
training_cutoff,2025-08-21,1,real,0,93585,0.4377385496183206,0,0,0.0,0.0,0.0,0.0,after canonical panel and clean-corridor filters
training_cutoff,2025-08-21,1,real,1,41299,0.19317373896123335,1,1,3.2720518860314187,1.0610792479900533,3.110017784283517,4.706196125374457,after canonical panel and clean-corridor filters
