audit_index,cutoff,panel_blocks,user_id,fast_target,fast_N30,slow_target,slow_N30,target_abs_error,target_match,N30_match,feature_window_end,target_window_start,target_window_end,feature_target_nonoverlap
0,2025-09-04,3,146096,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
1,2025-05-01,1,356679,0.0,0,0.0,0,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
2,2025-08-21,1,770230,17.9949303527477,1,17.9949303527477,1,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
3,2025-04-10,1,525035,12.1162220210489,1,12.1162220210489,1,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
4,2025-06-26,1,165413,210.7523935234001,2,210.7523935234001,2,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
5,2025-04-24,1,110525,0.0,0,0.0,0,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
6,2025-09-18,3,804624,0.0,0,0.0,0,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
7,2025-06-19,1,465695,47.677403394559704,3,47.677403394559704,3,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
8,2025-04-10,1,568066,0.0,0,0.0,0,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
9,2025-07-31,1,483209,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
10,2025-04-10,1,114897,0.0,0,0.0,0,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
11,2025-07-10,1,602211,0.0,0,0.0,0,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
12,2025-09-04,3,63861,18.78346777226802,2,18.78346777226802,2,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
13,2025-06-12,1,109316,0.0,0,0.0,0,0.0,True,True,2025-06-12,2025-06-13,2025-07-12,True
14,2025-04-17,1,494067,0.0,0,0.0,0,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
15,2025-05-08,1,853331,135.00104217778392,3,135.00104217778392,3,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
16,2025-05-29,1,192529,975.3821956490508,7,975.3821956490508,7,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
17,2025-06-05,1,359018,0.0,0,0.0,0,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
18,2025-05-29,1,682296,0.0,0,0.0,0,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
19,2025-05-01,1,114859,30.09406257860928,3,30.09406257860928,3,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
20,2025-05-01,1,236562,40.25554568601401,5,40.25554568601401,5,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
21,2025-07-17,1,449079,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
22,2025-04-17,1,317447,11.5557447818743,1,11.5557447818743,1,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
23,2025-05-01,1,796749,35.5339936265496,1,35.5339936265496,1,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
24,2025-04-24,1,718510,415.8570734379103,4,415.85707343791034,4,5.684341886080802e-14,True,True,2025-04-24,2025-04-25,2025-05-24,True
25,2025-08-21,1,688932,0.0,0,0.0,0,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
26,2025-09-11,1,234777,8.66825898075119,1,8.66825898075119,1,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
27,2025-07-24,1,639164,523.2912518334718,3,523.2912518334717,3,1.1368683772161603e-13,True,True,2025-07-24,2025-07-25,2025-08-23,True
28,2025-04-03,1,80271,22.1861048733692,1,22.1861048733692,1,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
29,2025-07-03,1,831297,11.6108807171676,1,11.6108807171676,1,0.0,True,True,2025-07-03,2025-07-04,2025-08-02,True
30,2025-07-17,1,872890,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
31,2025-06-19,1,463248,509.1832460732463,5,509.1832460732463,5,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
32,2025-04-03,1,599989,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
33,2025-04-10,1,763805,10.6864606283432,1,10.6864606283432,1,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
34,2025-09-04,1,665065,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
35,2025-06-05,1,172940,41.916240159228025,2,41.916240159228025,2,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
36,2025-05-01,1,502736,0.0,0,0.0,0,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
37,2025-08-14,1,621060,11.7920236984385,1,11.7920236984385,1,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
38,2025-08-07,1,64488,0.0,0,0.0,0,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
39,2025-06-19,1,735183,10.4832888830402,1,10.4832888830402,1,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
40,2025-07-17,1,493590,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
41,2025-06-19,1,619240,37.45191883758702,2,37.45191883758702,2,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
42,2025-07-17,1,346417,119.6028683553767,3,119.6028683553767,3,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
43,2025-08-28,1,535196,23.331216638032203,2,23.331216638032203,2,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
44,2025-07-31,1,585586,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
45,2025-06-19,1,662044,0.0,0,0.0,0,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
46,2025-07-24,1,794365,913.742040546017,11,913.742040546017,11,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
47,2025-09-18,3,215434,33.14879031606253,3,33.14879031606253,3,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
48,2025-07-10,1,427788,158.4918268760509,3,158.4918268760509,3,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
49,2025-07-10,1,573667,93.14372718510998,8,93.14372718510998,8,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
