fold,arm,metric,class_index,value,n,note
2025-09-04,real,multiclass_log_loss,all,1.0979407716151732,188518,real_validation_count_labels
2025-09-04,real,brier,all,0.5883933246637384,188518,real_validation_count_labels
2025-09-04,real,probability_row_sum_max_error,all,5.157198756933212e-08,188518,audit
2025-09-04,real,expected_calibration_error_top_class_10bin,all,0.014221532709064158,188518,real_validation_count_labels
2025-09-04,real,ovr_auc,0,0.8416869933010236,188518,real_validation_count_labels
2025-09-04,real,observed_incidence,0,0.3998185849627091,188518,real_validation_count_labels
2025-09-04,real,predicted_incidence,0,0.38970126525138243,188518,real_validation_count_labels
2025-09-04,real,ovr_auc,1,0.6553373913550176,188518,real_validation_count_labels
2025-09-04,real,observed_incidence,1,0.19852746156865658,188518,real_validation_count_labels
2025-09-04,real,predicted_incidence,1,0.1995343506107551,188518,real_validation_count_labels
2025-09-04,real,ovr_auc,2,0.7146691306728531,188518,real_validation_count_labels
2025-09-04,real,observed_incidence,2,0.21248368856024358,188518,real_validation_count_labels
2025-09-04,real,predicted_incidence,2,0.21732170135171094,188518,real_validation_count_labels
2025-09-04,real,ovr_auc,3,0.8376214062389904,188518,real_validation_count_labels
2025-09-04,real,observed_incidence,3,0.14423556371274893,188518,real_validation_count_labels
2025-09-04,real,predicted_incidence,3,0.14679051629371487,188518,real_validation_count_labels
2025-09-04,real,ovr_auc,4,0.9434239477299824,188518,real_validation_count_labels
2025-09-04,real,observed_incidence,4,0.044934701195641795,188518,real_validation_count_labels
2025-09-04,real,predicted_incidence,4,0.04665216641301999,188518,real_validation_count_labels
2025-09-04,real,p0_calibration_decile,0,0.01784692210420376,18852,decile=0; observed_zero=0.0136855506
2025-09-04,real,p0_calibration_decile,0,0.07088647706328609,18852,decile=1; observed_zero=0.0667303204
2025-09-04,real,p0_calibration_decile,0,0.14066410506428326,18852,decile=2; observed_zero=0.1389242521
2025-09-04,real,p0_calibration_decile,0,0.22070198045376,18852,decile=3; observed_zero=0.2225758540
2025-09-04,real,p0_calibration_decile,0,0.3106527230188288,18851,decile=4; observed_zero=0.3252877831
2025-09-04,real,p0_calibration_decile,0,0.4065935790946649,18852,decile=5; observed_zero=0.4185232336
2025-09-04,real,p0_calibration_decile,0,0.5102671256350935,18852,decile=6; observed_zero=0.5266815192
2025-09-04,real,p0_calibration_decile,0,0.620126522035703,18852,decile=7; observed_zero=0.6328771483
2025-09-04,real,p0_calibration_decile,0,0.7368884452956764,18852,decile=8; observed_zero=0.7619350732
2025-09-04,real,p0_calibration_decile,0,0.8624056541320848,18851,decile=9; observed_zero=0.8909872155
2025-09-04,shuffled,multiclass_log_loss,all,1.1533579413609303,188518,real_validation_count_labels
2025-09-04,shuffled,brier,all,0.6084433898995162,188518,real_validation_count_labels
2025-09-04,shuffled,probability_row_sum_max_error,all,4.842877388000488e-08,188518,audit
2025-09-04,shuffled,expected_calibration_error_top_class_10bin,all,0.02559913364234541,188518,real_validation_count_labels
2025-09-04,shuffled,ovr_auc,0,0.8417221389688999,188518,real_validation_count_labels
2025-09-04,shuffled,observed_incidence,0,0.3998185849627091,188518,real_validation_count_labels
2025-09-04,shuffled,predicted_incidence,0,0.3953004956123678,188518,real_validation_count_labels
2025-09-04,shuffled,ovr_auc,1,0.6102448344632632,188518,real_validation_count_labels
