candidate,fold,segment_family,segment,n,base_rmsle,candidate_rmsle,delta_rmsle,base_mean_signed_residual,candidate_mean_signed_residual,signed_residual_improvement,mean_squared_error_improvement
replacement_beta1_partial_3fold,2025-09-04,target_zero_positive,positive,113145,1.7022125517667213,1.702239830231555,2.7278464833635496e-05,1.0230991613071139,1.0234174642785845,-0.0003183029714706187,-9.286823458025409e-05
replacement_beta1_partial_3fold,2025-09-04,target_zero_positive,zero,75373,1.8597459843782576,1.8594650366285908,-0.00028094774966680447,-1.5358093031469278,-1.5362871186738016,0.0004778155268738704,0.0010449039668880855
replacement_beta1_partial_3fold,2025-09-04,target_count_class,C0,75373,1.8597459843782576,1.8594650366285908,-0.00028094774966680447,-1.5358093031469278,-1.5362871186738016,0.0004778155268738704,0.0010449039668880855
replacement_beta1_partial_3fold,2025-09-04,target_count_class,C1,37426,1.7052663385064157,1.7048970017912755,-0.0003693367151402782,0.8036336638720619,0.8043423330647193,-0.0007086691926573296,0.0012594985261971754
replacement_beta1_partial_3fold,2025-09-04,target_count_class,C2,40057,1.7839749522892394,1.7844428113726718,0.000467859083432387,1.1426304185466032,1.1438653735040236,-0.001234954957420431,-0.0016695166642117887
replacement_beta1_partial_3fold,2025-09-04,target_count_class,C3,27191,1.6645502108772519,1.6651034501911344,0.0005532393138825142,1.1558764776243535,1.156629870537774,-0.0007533929134204698,-0.0018420953069157723
replacement_beta1_partial_3fold,2025-09-04,target_count_class,C4,8471,1.38228012028262,1.3797448214381678,-0.0025352988444522495,1.0012958473866758,0.9941582767414673,0.00713757064520848,0.007002558643092909
replacement_beta1_partial_3fold,2025-09-04,predicted_count_class,C0,105336,1.8183543613219262,1.8183742310825615,1.9869760635282674e-05,-0.02039804884181526,-0.020432597503180685,3.454866136542653e-05,-7.22609266268448e-05
replacement_beta1_partial_3fold,2025-09-04,predicted_count_class,C1,606,1.9467619689863305,1.9464382929351196,-0.00032367605121086385,-0.058883824361070626,-0.05773894130774308,-0.001144883053327543,0.0012601356873527178
replacement_beta1_partial_3fold,2025-09-04,predicted_count_class,C2,50848,1.8953215795420042,1.8951740700875361,-0.0001475094544680644,0.0028460431546002696,0.004243873481345773,-0.0013978303267455031,0.0005591339454409957
replacement_beta1_partial_3fold,2025-09-04,predicted_count_class,C3,26704,1.379975960738918,1.3797751529354823,-0.0002008078034356764,0.05912663766741009,0.059270150576344105,-0.00014351290893401675,0.0005541795591660113
replacement_beta1_partial_3fold,2025-09-04,predicted_count_class,C4,5024,0.939796261819769,0.9364153944451307,-0.0033808673746383855,0.0916996687437566,0.07737565868976225,0.014324010053994349,0.0063432227765823045
