bank,fit,component,family,weight
reference_40,2025-09-04,INTERCEPT,INTERCEPT,0.0
reference_40,2025-09-04,S1-E02,TABULAR,0.2
reference_40,2025-09-04,S1-E03a,TABULAR,0.1
reference_40,2025-09-04,S1-DIST,TABULAR,0.25
reference_40,2025-09-04,S1-E10,TABULAR,0.0
reference_40,2025-09-04,S1-E11,TABULAR,0.0
reference_40,2025-09-04,S1-SEEDAVG5,TABULAR,0.0
reference_40,2025-09-04,S1-B0,TABULAR,0.0
reference_40,2025-09-04,S1-E01,TABULAR,0.0
reference_40,2025-09-04,S1-E03b,TABULAR,0.0
reference_40,2025-09-04,SEQ-AVG3,SEQ,0.225
reference_40,2025-09-04,SEQ-D3A-AVG3,SEQ,0.0
reference_40,2025-09-04,SEQ-D3A-BASE-AVG3,SEQ,0.0
reference_40,2025-09-04,ETX-AVG3,ETX,0.225
reference_40,2025-09-04,ETX-AVG2,ETX,0.0
reference_40,2025-09-04,ETX-01-S42,ETX,0.0
reference_40,2025-09-04,PT-FULL-AVG3,BTYD_OTHER,0.0
reference_40,2025-09-04,PT-OD-AVG3,BTYD_OTHER,0.0
reference_40,2025-09-04,PT-SHUF-AVG3,BTYD_OTHER,0.0
reference_40,2025-09-04,RIDGE15,TABULAR,0.0
reference_40,2025-09-04,HOLIDAY-YOY-FAST,TABULAR,0.0
reference_40,2025-09-04,MHZ-FULL,TABULAR,0.0
reference_40,2025-09-04,MHZ-BASE,TABULAR,0.0
reference_40,2025-09-04,MHZ-P30,TABULAR,0.0
reference_40,2025-09-04,MHZ-SELF,TABULAR,0.0
reference_40,2025-09-04,S04-A,TABULAR,0.0
reference_40,2025-09-04,S04-B,TABULAR,0.0
reference_40,2025-09-04,S04-C,TABULAR,0.0
reference_40,2025-09-04,GAP-E02-K5-G090-S42,TABULAR,0.0
reference_40,2025-09-04,GAP-E10-K5-G090-S42,TABULAR,0.0
reference_40,2025-09-04,GAP-DIST-K5-G060-S42,TABULAR,0.0
reference_40,2025-09-04,SAMPLE-TB1-AVG3-R300,TABULAR,0.0
reference_40,2025-09-04,SAMPLE-DENSE-S3-F422-S42-R300,TABULAR,0.0
reference_40,2025-09-04,S1-ROUNDS-R600,TABULAR,0.0
reference_40,2025-09-04,S1-ROUNDS-R300,TABULAR,0.0
reference_40,2025-09-04,BTYD:z_btyd,BTYD_OTHER,0.0
reference_40,2025-09-04,BTYD:z_strongest,BTYD_OTHER,0.0
reference_40,2025-09-04,BLOCK4:z_new_honest,BTYD_OTHER,0.0
reference_40,2025-09-04,FRESH:z_fresh,BTYD_OTHER,0.0
reference_40,2025-09-04,FRESH:z_vol,BTYD_OTHER,0.0
reference_40,2025-09-04,FRESH:z_clean,BTYD_OTHER,0.0
reference_40,2025-09-18,INTERCEPT,INTERCEPT,-0.09089315374436116
reference_40,2025-09-18,S1-E02,TABULAR,0.023102540182987897
reference_40,2025-09-18,S1-E03a,TABULAR,0.07258895742440502
reference_40,2025-09-18,S1-DIST,TABULAR,0.0959849504173583
reference_40,2025-09-18,S1-E10,TABULAR,0.033418821785019474
reference_40,2025-09-18,S1-E11,TABULAR,-0.11804471296800431
reference_40,2025-09-18,S1-SEEDAVG5,TABULAR,-0.14993842251897582
reference_40,2025-09-18,S1-B0,TABULAR,-0.0167506904538537
reference_40,2025-09-18,S1-E01,TABULAR,-0.006208123875868473
reference_40,2025-09-18,S1-E03b,TABULAR,-0.031798938257585
reference_40,2025-09-18,SEQ-AVG3,SEQ,0.05255851839377427
