cutoff,n_columns,coefficient_source,nested_Delta_MSE,nested_Delta_RMSLE,nested_rho,coefficient_l2,through_component
2025-09-04,4,zero_no_prior_validation_fold,0.0,0.0,0.0,0.0,activity
2025-09-18,4,strictly_earlier_clean_validation_folds,-0.000544937343510798,-0.00015411306495516364,0.013728531381716806,0.701068680172352,activity
2025-10-02,4,strictly_earlier_clean_validation_folds,-2.8725052810545786e-06,-8.198365688549814e-07,0.00833212203577578,0.817973413358577,activity
2025-10-16,4,strictly_earlier_clean_validation_folds,-0.0003444838458416937,-9.888503399380077e-05,0.011005819159743404,0.7465970284547937,activity
2025-09-04,8,zero_no_prior_validation_fold,0.0,0.0,0.0,0.0,count
2025-09-18,8,strictly_earlier_clean_validation_folds,-0.0010283739249490663,-0.00029084442107074615,0.01822031030520533,0.7136824894146906,count
2025-10-02,8,strictly_earlier_clean_validation_folds,-0.0003472178536293112,-9.910160330162121e-05,0.01365862599786938,0.9164243409466063,count
2025-10-16,8,strictly_earlier_clean_validation_folds,-2.2231748949442816e-05,-6.38151513943086e-06,0.009726122275070331,0.8848182687545232,count
2025-09-04,9,zero_no_prior_validation_fold,0.0,0.0,0.0,0.0,monetary
2025-09-18,9,strictly_earlier_clean_validation_folds,-0.0010630142606069897,-0.00030064222403591856,0.018519780347199657,0.6844885173020165,monetary
2025-10-02,9,strictly_earlier_clean_validation_folds,-0.000358476179216392,-0.0001023150057433142,0.013815150205404445,0.8494663963843793,monetary
2025-10-16,9,strictly_earlier_clean_validation_folds,-8.588489167381281e-05,-2.4652968699578892e-05,0.010316411598428357,0.8153492326377756,monetary
2025-09-04,38,zero_no_prior_validation_fold,0.0,0.0,0.0,0.0,user_state_segments
2025-09-18,38,strictly_earlier_clean_validation_folds,-0.001294062070724028,-0.00036599404568193883,0.02077560179396817,0.7929244971504246,user_state_segments
2025-10-02,38,strictly_earlier_clean_validation_folds,-0.0006121308853577103,-0.00017471584703132592,0.01726771018347322,0.9934292710946226,user_state_segments
2025-10-16,38,strictly_earlier_clean_validation_folds,-0.0003617126861227889,-0.00010383076731845797,0.015127273480394585,1.0632654873442466,user_state_segments
