cutoff,component,nested_marginal_Delta_MSE,nested_marginal_rho,nested_marginal_Delta_RMSLE_equivalent
2025-09-04,activity,0.0,0.0,
2025-09-18,activity,-0.000544937343510798,0.013728531381716806,
2025-10-02,activity,-2.8725052810545786e-06,0.00833212203577578,
2025-10-16,activity,-0.0003444838458416937,0.011005819159743404,
2025-09-04,count,0.0,0.0,
2025-09-18,count,-0.00048343658143826853,0.01786511294188711,
2025-10-02,count,-0.0003443453483482567,0.011323266476133355,
2025-10-16,count,0.00032225209689225076,0.002688636738885692,
2025-09-04,monetary,0.0,0.0,
2025-09-18,monetary,-3.4640335657923196e-05,0.003183418861629365,
2025-10-02,monetary,-1.1258325587080904e-05,0.0020825722542382693,
2025-10-16,monetary,-6.365314272436986e-05,0.004942614407799574,
2025-09-04,user_state_segments,0.0,0.0,
2025-09-18,user_state_segments,-0.00023104781011703846,0.010395993065452861,
2025-10-02,user_state_segments,-0.0002536547061413184,0.010038411007163225,
2025-10-16,user_state_segments,-0.0002758277944489759,0.011100170729818892,
weighted_1_2_4_8,activity,-0.00025714903165862426,0.009922140278965598,-7.810651400653017e-05
weighted_1_2_4_8,count,1.5584147924562815e-05,0.006835492379959545,4.733533158956698e-06
weighted_1_2_4_8,monetary,-4.1569274363941927e-05,0.00361586946684056,-1.2626262247251334e-05
weighted_1_2_4_8,user_state_segments,-0.0002455557866927439,0.00998313306654065,-7.45851787540966e-05
