component,family,oof_path,oof_field,oof_sha256,rows,fold_coverage,alignment,target_log_max_abs_error,provenance,test_path,test_sha256,deployable,exclusion_reason,prediction_fields_used,forbidden_activity_used
S1-E02,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E02.npz,z,2a8e543f4e5a2362eeaf2e8136d2f5204e4c2d83874276499711fd9dcac874ff,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S1-UNC.npy,c2a94114f709f8127f4d7ce61dea545a103e4e66851188d153a40d7bc2757773,True,,z,False
S1-E03a,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E03a.npz,z,38fb0270611250934130730f92b37345a982fcdaddda9d0b387e7878e0e6d525,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S1-CAP.npy,d6b3c59920d816cb54c5b65e7daf8de0cea3edc338bedb8ea78e3fb01086e7d9,True,,z,False
S1-DIST,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-DIST.npz,z,7ef1251928305bd80040a63723cf0a3669e8a37411664b26bf0c0777e8dd4c4e,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S1-DIST.npy,ad974c09e0c97dedcc622877a5937f9d40c7f4f6604c7bb5eb08d3b7c73fe966,True,,z,False
S1-E10,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E10.npz,z,b4e4327772c53c2b3efcac77d3c0d80c48d2e4bcd1ddb6326d1b319e4f230f5c,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-E11,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E11.npz,z,39f566b449f44c085181b7be2ac4cf3f978c5fce8ce300bb27c39a16dbf50c44,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S1-E11.npy,d034754a33d0da88efe8c4834515decf78fd62ea11c03649d61faec097623d84,True,,z,False
S1-SEEDAVG5,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-SEEDAVG5.npz,z,931121c90794d70f92c86992cc9d51cf479b50b29c89da201a6319c2c38c003c,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S1-SEEDAVG5.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-B0,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-B0.npz,z,93ef6a762bf3e954fbd497d04052f89bade42ca9b87882d3d2001abc66d880d2,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-E01,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E01.npz,z,6d52ac5c4e068fab39e48a175295135030f64daace93fe31b494b557f0c3f704,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-E03b,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-E03b.npz,z,57c34c09174f3ce1dae2093ec3769e595d657fd4df2a24e743d0fae39d4cc868,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP076_STRONG_BASELINE_VALIDATION_CHANNEL\code\s3_build_matrix.py,,,False,no exact TEST counterpart; OOF-reference only,z,False
SEQ-AVG3,SEQ,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SEQ-AVG3.npz,z,8e8ec7907587406de1224555a42e11803b98f79492ac124b2fd136f6e8ac646c,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SEQ-AVG3.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_SEQ-01.npy;C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_SEQ-C289-S43.npy;C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_SEQ-C289-S44.npy,c20ae75cee1eef216ae86a6fa5f594850369cdd92d1a946675942481d194b630;66bdc5718af747ae0fd3059f18fa97395b4a5715d7085422064bb7d3a6ed022b;7662569a90c9ff78c32b6126e09b2b4571a7b46e2d75047c5993c0eef25fd631,True,,z,False
SEQ-D3A-AVG3,SEQ,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SEQ-D3A-AVG3.npz,z,78e796e9a8a10f63edd6d69c1ae2fa24b9ce030538cc8a23cd14e45ce3c4f6a2,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SEQ-D3A-AVG3.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
SEQ-D3A-BASE-AVG3,SEQ,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SEQ-D3A-BASE-AVG3.npz,z,2188e985c6ae4238b07fbbd02487d2c975b5734736eb6b041955fa1630f9fe3a,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SEQ-D3A-BASE-AVG3.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
