candidate,protocol,weighted_Delta_MSE,strict_forward_headroom,optimistic_headroom,latest_clean_post_projection_rho,positive_sign_folds,P_Delta_MSE_lt_0,CI_low,CI_high,passes_gate
lgbm_ensemble_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.0014688493041380027,0.0014688493041380027,0.0015643394094092392,0.021825686093326375,3,1.0,-0.0018757206638982027,-0.001034704140103049,True
lgbm_B_depth5_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.0014401542258620976,0.0014401542258620976,0.001533105137683274,0.02175598424823525,3,1.0,-0.0018573816384674158,-0.0010076984995919705,True
lgbm_A_depth3_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.0013340743867723721,0.0013340743867723721,0.0014227297024834472,0.02063308563285541,3,1.0,-0.001716101347231852,-0.0009291130749591083,True
fixed_interactions_current_only,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0011870616641124659,0.0011870616641124659,0.003529209292470643,0.023571041166130256,3,0.998,-0.00199473532367388,-0.0003614517127287493,True
tail_routed_20pct_full_span,post-projection scalar from earlier clean folds,-0.0008833431399644612,0.0008833431399644612,0.000999452087714715,0.018454182650754762,3,1.0,-0.001177661516378278,-0.0006021582284880569,False
tail_routed_10pct_full_span,post-projection scalar from earlier clean folds,-0.0007348186798674943,0.0007348186798674943,0.0008758744358612257,0.017089359690659604,3,1.0,-0.000976641864959855,-0.0004855951385628007,False
tail_routed_5pct_full_span,post-projection scalar from earlier clean folds,-0.0006998735670789235,0.0006998735670789235,0.0008744829404111076,0.01842419177338428,3,1.0,-0.0009051092645001978,-0.0004976687212017787,False
fixed_interactions_deployable_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0003748594813157345,0.0003748594813157345,0.0014451385358752518,0.014491357993405424,2,0.9645,-0.0007539816268814641,2.4538498684561244e-05,False
latent_state_k4_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.00020808745879126602,0.00020808745879126602,0.0005211195442296906,0.009037889355634723,2,0.978,-0.00041991289147438383,-5.410355215970572e-06,False
fixed_interactions_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.00016088221535525733,0.00016088221535525733,0.0010369429704348882,0.011172621879552595,2,0.824,-0.000487719227560105,0.00017671580553313914,False
disagreement_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.00012965911219857268,0.00012965911219857268,0.00044990981216081334,0.01040882674779921,1,0.951,-0.0002827663573307647,2.297625871979526e-05,False
transductive_rank_density_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),0.0001414819673885085,0.0,0.000634812595680047,0.0032663536623750273,1,0.1565,-0.00013576332901935254,0.0004190183616813974,False
lgbm_A_ordered_previous_folds_full_span,unit direct residual prediction,0.0005839859117776329,0.0,0.0007682271945765967,0.0130919488887292,1,0.0385,-6.200225586293612e-05,0.001168038078307893,False
behavioral_prototype_k128_full_span,unit direct residual prediction,0.0017302498557420372,0.0,0.0001244317966026495,0.00564301460310467,0,0.0,0.001191841275614268,0.0022347438468600465,False
