candidate,protocol,weighted_Delta_MSE,strict_forward_headroom,optimistic_headroom,latest_clean_post_projection_rho,positive_sign_folds,P_Delta_MSE_lt_0,CI_low,CI_high,passes_gate,numeric_gate_under_stated_protocol,primary_full_40_span,strict_target_availability_purged_4fold,validity,AUTHORIZED
lgbm_ensemble_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.001468849304138,0.001468849304138,0.0015643394094092,0.0218256860933263,3,1.0,-0.0018757206638982,-0.001034704140103,True,True,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
lgbm_B_depth5_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.001440154225862,0.001440154225862,0.0015331051376832,0.0217559842482352,3,1.0,-0.0018573816384674,-0.0010076984995919,True,True,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
lgbm_A_depth3_user_crossfit_full_span,post-projection scalar from earlier clean folds,-0.0013340743867723,0.0013340743867723,0.0014227297024834,0.0206330856328554,3,1.0,-0.0017161013472318,-0.0009291130749591,True,True,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
fixed_interactions_current_only,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0011870616641124,0.0011870616641124,0.0035292092924706,0.0235710411661302,3,0.998,-0.0019947353236738,-0.0003614517127287,True,True,False,False,NONPRIMARY_CURRENT_ONLY_PROJECTION,False
tail_routed_20pct_full_span,post-projection scalar from earlier clean folds,-0.0008833431399644,0.0008833431399644,0.0009994520877147,0.0184541826507547,3,1.0,-0.0011776615163782,-0.000602158228488,False,False,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
tail_routed_10pct_full_span,post-projection scalar from earlier clean folds,-0.0007348186798674,0.0007348186798674,0.0008758744358612,0.0170893596906596,3,1.0,-0.0009766418649598,-0.0004855951385628,False,False,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
tail_routed_5pct_full_span,post-projection scalar from earlier clean folds,-0.0006998735670789,0.0006998735670789,0.0008744829404111,0.0184241917733842,3,1.0,-0.0009051092645001,-0.0004976687212017,False,False,True,False,SAME_CUTOFF_USER_CROSSFIT_NOT_TEMPORAL,False
fixed_interactions_deployable_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0003748594813157,0.0003748594813157,0.0014451385358752,0.0144913579934054,2,0.9645,-0.0007539816268814,2.4538498684561244e-05,False,False,False,False,SENSITIVITY_16_COMPONENT_PROJECTION,False
latent_state_k4_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0002080874587912,0.0002080874587912,0.0005211195442296,0.0090378893556347,2,0.978,-0.0004199128914743,-5.410355215970572e-06,False,False,True,False,EXP080_COMPARABLE_FORWARD_NOT_FULLY_PURGED,False
fixed_interactions_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0001608822153552,0.0001608822153552,0.0010369429704348,0.0111726218795525,2,0.824,-0.0004877192275601,0.0001767158055331,False,False,True,False,EXP080_COMPARABLE_FORWARD_NOT_FULLY_PURGED,False
disagreement_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),-0.0001296591121985,0.0001296591121985,0.0004499098121608,0.0104088267477992,1,0.951,-0.0002827663573307,2.297625871979526e-05,False,False,True,False,EXP080_COMPARABLE_FORWARD_NOT_FULLY_PURGED,False
transductive_rank_density_full_span,earlier-clean-fold coefficients on fixed target-free basis (EXP080-comparable),0.0001414819673885,0.0,0.00063481259568,0.003266353662375,1,0.1565,-0.0001357633290193,0.0004190183616813,False,False,True,False,EXP080_COMPARABLE_FORWARD_NOT_FULLY_PURGED,False
lgbm_A_ordered_previous_folds_full_span,unit direct residual prediction,0.0005839859117776,0.0,0.0007682271945765,0.0130919488887292,1,0.0385,-6.200225586293612e-05,0.0011680380783078,False,False,True,False,ORDERED_BUT_TARGET_LABELS_NOT_AVAILABLE_AT_ADJACENT_CUTOFFS,False
behavioral_prototype_k128_full_span,unit direct residual prediction,0.001730249855742,0.0,0.0001244317966026,0.0056430146031046,0,0.0,0.0011918412756142,0.00223474384686,False,False,True,False,EXP080_COMPARABLE_FORWARD_NOT_FULLY_PURGED,False
