seq_seeds,etx_seeds,seed_models_total,additional_historical_seed_families,corr_vs_exact_AVG3,max_candidate_rho_difference,difference_EXP075_joint,difference_EXP081_A,difference_EXP081_B,difference_EXP081_AB_mean,fidelity_pass
42,42,2,0,0.999886499361053,0.00028081663232903953,1.6514689273399667e-06,0.00028081663232903953,0.00024155240890113422,0.00026620302540550367,True
43,42,2,1,0.9998880933599643,5.1099327371219305e-05,6.041392056316481e-06,3.3011729731649564e-05,5.1099327371219305e-05,1.365882448412653e-05,True
44,42,2,1,0.9998868624342468,0.00027669081875857093,3.250508167324407e-06,0.00023268043181480513,0.00027669081875857093,0.0002638556357380459,True
42,43,2,1,0.9998925406603213,0.00028142448130660455,1.6051014956539045e-06,0.00028142448130660455,0.00024219496696452347,0.000266846929218318,True
42,44,2,1,0.9998845430050077,0.0002824162081164344,1.5294971120911882e-06,0.0002824162081164344,0.00024324335867792132,0.00026789750100446666,True
43,43,2,2,0.9998995619820444,5.163771684103466e-05,6.0797110630068495e-06,3.249910803096098e-05,5.163771684103466e-05,1.4199871317340657e-05,True
43,44,2,2,0.9998981597873622,5.2531425583663555e-05,6.143271076926001e-06,3.16482069582201e-05,5.2531425583663555e-05,1.5097975491686066e-05,True
44,44,2,2,0.9998904394294352,0.00027536717538308164,3.157191309646019e-06,0.00023142692545035856,0.00027536717538308164,0.0002625285914081357,True
44,43,2,2,0.9998914263155358,0.00027608248572092917,3.2075985146951327e-06,0.00023210431744945248,0.00027608248572092917,0.0002632457324631028,True
42+44,42,3,1,0.9999509155293312,2.3003752601384597e-05,2.53191170101379e-06,2.3003752601384597e-05,1.8694154105075578e-05,4.6313493571453757e-08,True
43+44,42,3,1,0.9999462847770856,0.0001338359826746939,1.3217307792293218e-06,0.0001338359826746939,0.0001138413806804732,0.00012614657626492526,True
42+43,42,3,1,0.9999470225651526,0.00014531064688023607,2.121227379468663e-06,0.00012294503200923831,0.00014531064688023607,0.0001389149448918353,True
42,42+43,3,1,0.9999107604583496,0.0002807753053370235,1.6546213907626516e-06,0.0002807753053370235,0.00024150872207604965,0.0002661592470843757,True
42,42+44,3,1,0.9999087903695805,0.0002811848620022997,1.6234027775312385e-06,0.0002811848620022997,0.00024194168295027171,0.0002665931069153818,True
42,43+44,3,1,0.9999060784621994,0.0002816060168725175,1.5912765931533346e-06,0.0002816060168725175,0.00024238688639315054,0.0002670392427757684,True
42+44,43,3,2,0.9999563833507761,2.3596117845883086e-05,2.4872651450771367e-06,2.3596117845883086e-05,1.806831697568484e-05,6.736155040189262e-07,True
42+44,44,3,2,0.9999524339053333,2.4432910078767134e-05,2.424241844580172e-06,2.4432910078767134e-05,1.7184205577766565e-05,1.5597806727433994e-06,True
43,42+43,3,2,0.9999150327988523,5.1000186375334267e-05,6.0343358645412876e-06,3.3106125756771076e-05,5.1000186375334267e-05,1.3559194151680637e-05,True
43,42+44,3,2,0.9999163285964014,5.135494609522992e-05,6.059561183527481e-06,3.276836214589213e-05,5.135494609522992e-05,1.3915697029544954e-05,True
43,43+44,3,2,0.9999163580338325,5.174921691894485e-05,6.0876227740084676e-06,3.239296145237866e-05,5.174921691894485e-05,1.4311913881161209e-05,True
43+44,44,3,2,0.9999537387790196,0.00013252699338827528,1.419355855803708e-06,0.00013252699338827528,0.00011246283636376364,0.0001247628786295342,True
43+44,43,3,2,0.999954446103129,0.00013329167392436142,1.3623446126847204e-06,0.00013329167392436142,0.00011326816417606828,0.0001255712104249844,True
42+43,43,3,2,0.9999559362752075,0.00014590145550397865,2.1635676275037156e-06,0.0001235057533135915,0.00014590145550397865,0.00013950783386585536,True
42+43,44,3,2,0.99995173332087,0.00014687301899252506,2.2331463595578593e-06,0.00012442780533366768,0.00014687301899252506,0.00014048280274300481,True
44,43+44,3,2,0.9999083392145753,0.0002760651814208426,3.206402047031256e-06,0.00023208794657937973,0.0002760651814208426,0.0002632283913228742,True
44,42+44,3,2,0.9999117514725289,0.00027649628842172855,3.2368108018182573e-06,0.00023249622119385013,0.00027649628842172855,0.00026366061110300043,True
44,42+43,3,2,0.9999102454983448,0.0002767604656082265,3.2554208002546353e-06,0.00023274639001220204,0.0002767604656082265,0.00026392546236105735,True
